,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,783486.6687431139
Total Return [%],-21.651333125688613
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000311
Total Fees Paid,0.0
Max Drawdown [%],27.55150386978469
Max Drawdown Duration,329 days 00:00:00
Total Trades,43143
Total Closed Trades,42883
Total Open Trades,260
Open Trade PnL,19945.717577025272
Win Rate [%],67.29473217825246
Best Trade [%],181.9235552861286
Worst Trade [%],-33.76281255026796
Avg Winning Trade [%],11.308110054632948
Avg Losing Trade [%],-4.8355604676306285
Avg Winning Trade Duration,11 days 13:45:08.295793194
Avg Losing Trade Duration,8 days 16:19:46.796116504
Profit Factor,0.7630111855953577
Expectancy,-5.714846128776465
Sharpe Ratio,-0.8025381923932713
Calmar Ratio,-0.7974225173934715
Omega Ratio,0.888989131764822
Sortino Ratio,-0.9936859922612471
