,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,1187915.786132319
Total Return [%],18.791578613231902
Benchmark Return [%],31.085095644606152
Max Gross Exposure [%],100.00000000000169
Total Fees Paid,0.0
Max Drawdown [%],24.516653795062656
Max Drawdown Duration,157 days 00:00:00
Total Trades,3607
Total Closed Trades,3587
Total Open Trades,20
Open Trade PnL,-18789.347667891816
Win Rate [%],52.29997212155004
Best Trade [%],59.89251402066692
Worst Trade [%],-40.4042687296827
Avg Winning Trade [%],4.794221707118719
Avg Losing Trade [%],-4.1705326684670485
Avg Winning Trade Duration,4 days 07:47:27.761194029
Avg Losing Trade Duration,6 days 03:55:53.045535186
Profit Factor,1.1458875221858216
Expectancy,52.95434550633735
Sharpe Ratio,0.7156931426656117
Calmar Ratio,0.782824179847383
Omega Ratio,1.1087616573238677
Sortino Ratio,1.0140968821109677
