date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.000000005
2024-11-19,1023926.7294075025
2024-11-20,1052474.1212898893
2024-11-21,1064202.2274817221
2024-11-22,1035282.4385889265
2024-11-25,1053272.0041870787
2024-11-26,1047676.6000957439
2024-11-27,1058443.3136839583
2024-11-28,1065200.4876823334
2024-11-29,1078077.5917414236
2024-12-02,1099833.048249822
2024-12-03,1097078.9753502395
2024-12-04,1076788.2459812185
2024-12-05,1085614.1257818965
2024-12-06,1093480.6818993324
2024-12-09,1090222.0985881002
2024-12-10,1105858.3887463417
2024-12-11,1127962.8965931358
2024-12-12,1148567.713806808
2024-12-13,1128506.5603794954
2024-12-16,1118357.091734787
2024-12-17,1078561.7949060556
2024-12-18,1085029.1088819471
2024-12-19,1081576.9150555765
2024-12-20,1090534.5568372165
2024-12-23,1045480.9350122584
2024-12-24,1055076.38544239
2024-12-25,1036629.2851897016
2024-12-26,1050534.2894793046
2024-12-27,1070402.8426648213
2024-12-30,1059445.872643836
2024-12-31,1036341.5422299611
2025-01-02,1022282.3484142133
2025-01-03,988865.2973368894
2025-01-06,988281.2828071672
2025-01-07,1000672.4439566752
2025-01-08,999662.4384413335
2025-01-09,994526.6710881602
2025-01-10,965658.9898772844
2025-01-13,964920.4332774918
2025-01-14,1004769.6088327654
2025-01-15,1002364.278454247
2025-01-16,1014984.4797455486
2025-01-17,1012155.8320072409
2025-01-20,1019718.1654612895
2025-01-21,1016946.508549233
2025-01-22,1000773.1949906762
2025-01-23,995991.4597460341
2025-01-24,1004397.8362128176
2025-01-27,986344.3474034746
2025-02-05,994670.4684055324
2025-02-06,1011247.984534821
2025-02-07,1022363.6046289551
2025-02-10,1032151.6006801008
2025-02-11,1035579.1232225307
2025-02-12,1049837.1752353883
2025-02-13,1042233.9980780382
2025-02-14,1049305.049874764
2025-02-17,1059765.6393697194
