,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1056086.5285661703
Total Return [%],5.60865285661702
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000173
Total Fees Paid,0.0
Max Drawdown [%],21.118367409780767
Max Drawdown Duration,159 days 00:00:00
Total Trades,46281
Total Closed Trades,46021
Total Open Trades,260
Open Trade PnL,15123.588769625294
Win Rate [%],69.72469090197954
Best Trade [%],189.002476027017
Worst Trade [%],-31.708510060371896
Avg Winning Trade [%],8.211804782990352
Avg Losing Trade [%],-3.5063883078383635
Avg Winning Trade Duration,7 days 03:53:51.114435302
Avg Losing Trade Duration,5 days 13:37:01.721758082
Profit Factor,1.0337806075947407
Expectancy,0.5685037224324603
Sharpe Ratio,0.35273384148367865
Calmar Ratio,0.27014472847043525
Omega Ratio,1.0544582535599112
Sortino Ratio,0.44976961083361894
