,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1152459.4717314893
Total Return [%],15.245947173148933
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000225
Total Fees Paid,0.0
Max Drawdown [%],20.26540637811742
Max Drawdown Duration,73 days 00:00:00
Total Trades,41817
Total Closed Trades,41557
Total Open Trades,260
Open Trade PnL,-24660.459414874396
Win Rate [%],48.94241644007026
Best Trade [%],63.35460346399275
Worst Trade [%],-34.30831731912599
Avg Winning Trade [%],3.735028014140676
Avg Losing Trade [%],-4.5937676041204325
Avg Winning Trade Duration,4 days 15:08:04.802595997
Avg Losing Trade Duration,8 days 23:11:18.221165279
Profit Factor,1.1903479727712765
Expectancy,4.056556211708845
Sharpe Ratio,0.6754832929441247
Calmar Ratio,0.765816578622558
Omega Ratio,1.1074858741737124
Sortino Ratio,0.8898887238017371
