buy_trade_id,buy_order_id,buy_ts,buy_px,sell_trade_id,sell_order_id,sell_ts,sell_px,qty,pnl
7,485995292,2026-03-04 09:30:29,1.877000,3,485992791,2026-03-04 09:30:17,1.879000,100,0.200000
8,485995292,2026-03-04 09:30:29,1.877000,5,485993788,2026-03-04 09:30:23,1.879000,100,0.200000
14,485999279,2026-03-04 09:30:41,1.877000,9,485996287,2026-03-04 09:30:32,1.879000,100,0.200000
15,485999279,2026-03-04 09:30:41,1.877000,10,485997284,2026-03-04 09:30:32,1.879000,100,0.200000
16,485999279,2026-03-04 09:30:41,1.877000,11,485997284,2026-03-04 09:30:32,1.879000,100,0.200000
17,486000276,2026-03-04 09:30:44,1.875000,13,485997284,2026-03-04 09:30:38,1.879000,100,0.400000
18,486001273,2026-03-04 09:30:44,1.875000,19,486002271,2026-03-04 09:30:47,1.878000,100,0.300000
1,485992791,2026-03-04 09:30:14,1.879000,27,486005768,2026-03-04 09:31:05,1.880000,100,0.100000
2,485992791,2026-03-04 09:30:14,1.879000,28,486006765,2026-03-04 09:31:05,1.880000,100,0.100000
29,486008759,2026-03-04 09:31:08,1.875000,23,486003269,2026-03-04 09:30:50,1.879000,100,0.400000
30,486008759,2026-03-04 09:31:08,1.875000,25,486004792,2026-03-04 09:30:59,1.879000,100,0.400000
31,486008759,2026-03-04 09:31:08,1.875000,20,486003269,2026-03-04 09:30:47,1.878000,100,0.300000
32,486008759,2026-03-04 09:31:08,1.875000,21,486003269,2026-03-04 09:30:47,1.878000,100,0.300000
33,486009757,2026-03-04 09:31:08,1.875000,22,486003269,2026-03-04 09:30:47,1.878000,100,0.300000
38,486011752,2026-03-04 09:31:20,1.874000,35,486009757,2026-03-04 09:31:11,1.875000,100,0.100000
39,486011752,2026-03-04 09:31:20,1.874000,37,486010754,2026-03-04 09:31:17,1.875000,100,0.100000
34,486009757,2026-03-04 09:31:08,1.875000,40,486012749,2026-03-04 09:31:23,1.878000,100,0.300000
36,486010754,2026-03-04 09:31:14,1.875000,40,486012749,2026-03-04 09:31:23,1.878000,100,0.300000
45,486017735,2026-03-04 09:31:29,1.873000,40,486012749,2026-03-04 09:31:23,1.878000,100,0.500000
46,486017735,2026-03-04 09:31:29,1.873000,40,486012749,2026-03-04 09:31:23,1.878000,100,0.500000
47,486017735,2026-03-04 09:31:29,1.873000,40,486012749,2026-03-04 09:31:23,1.878000,100,0.500000
48,486017735,2026-03-04 09:31:29,1.873000,41,486012749,2026-03-04 09:31:23,1.878000,100,0.500000
49,486018733,2026-03-04 09:31:29,1.873000,42,486013746,2026-03-04 09:31:23,1.878000,100,0.500000
50,486018733,2026-03-04 09:31:29,1.873000,43,486013746,2026-03-04 09:31:23,1.878000,100,0.500000
54,486021725,2026-03-04 09:31:35,1.872000,44,486013746,2026-03-04 09:31:23,1.878000,100,0.600000
55,486021725,2026-03-04 09:31:35,1.872000,44,486013746,2026-03-04 09:31:23,1.878000,100,0.600000
56,486021725,2026-03-04 09:31:35,1.872000,44,486013746,2026-03-04 09:31:23,1.878000,100,0.600000
57,486021725,2026-03-04 09:31:35,1.872000,44,486013746,2026-03-04 09:31:23,1.878000,100,0.600000
62,486025221,2026-03-04 09:31:41,1.872000,51,486019731,2026-03-04 09:31:32,1.875000,100,0.300000
63,486025221,2026-03-04 09:31:41,1.872000,51,486019731,2026-03-04 09:31:32,1.875000,100,0.300000
64,486025221,2026-03-04 09:31:41,1.872000,51,486019731,2026-03-04 09:31:32,1.875000,100,0.300000
65,486025221,2026-03-04 09:31:41,1.872000,52,486019731,2026-03-04 09:31:32,1.875000,100,0.300000
69,486027216,2026-03-04 09:31:47,1.873000,53,486019731,2026-03-04 09:31:32,1.875000,100,0.200000
70,486028214,2026-03-04 09:31:47,1.873000,58,486023247,2026-03-04 09:31:38,1.875000,100,0.200000
71,486028724,2026-03-04 09:31:50,1.872000,58,486023247,2026-03-04 09:31:38,1.875000,100,0.300000
73,486029716,2026-03-04 09:31:56,1.872000,58,486023247,2026-03-04 09:31:38,1.875000,100,0.300000
75,486029716,2026-03-04 09:32:02,1.872000,58,486023247,2026-03-04 09:31:38,1.875000,100,0.300000
76,486031711,2026-03-04 09:32:05,1.871000,59,486023247,2026-03-04 09:31:38,1.875000,100,0.400000
78,486032708,2026-03-04 09:32:11,1.870000,59,486023247,2026-03-04 09:31:38,1.875000,100,0.500000
79,486032708,2026-03-04 09:32:11,1.870000,59,486023247,2026-03-04 09:31:38,1.875000,100,0.500000
81,486033706,2026-03-04 09:32:17,1.870000,60,486023247,2026-03-04 09:31:38,1.875000,100,0.500000
83,486034703,2026-03-04 09:32:23,1.870000,61,486023247,2026-03-04 09:31:38,1.875000,100,0.500000
84,486035227,2026-03-04 09:32:26,1.869000,66,486026218,2026-03-04 09:31:44,1.874000,100,0.500000
85,486037202,2026-03-04 09:32:29,1.868000,67,486026218,2026-03-04 09:31:44,1.874000,100,0.600000
87,486038702,2026-03-04 09:32:35,1.867000,68,486026218,2026-03-04 09:31:44,1.874000,100,0.700000
88,486038721,2026-03-04 09:32:35,1.867000,68,486026218,2026-03-04 09:31:44,1.874000,100,0.700000
90,486039701,2026-03-04 09:32:41,1.866000,68,486026218,2026-03-04 09:31:44,1.874000,100,0.800000
91,486040698,2026-03-04 09:32:41,1.866000,72,486028724,2026-03-04 09:31:53,1.872000,100,0.600000
93,486040698,2026-03-04 09:32:47,1.866000,74,486029716,2026-03-04 09:31:59,1.872000,100,0.600000
94,486041696,2026-03-04 09:32:50,1.865000,77,486031711,2026-03-04 09:32:08,1.871000,100,0.600000
95,486042693,2026-03-04 09:32:53,1.864000,80,486033706,2026-03-04 09:32:14,1.870000,100,0.600000
97,486043690,2026-03-04 09:32:59,1.864000,82,486033706,2026-03-04 09:32:20,1.870000,100,0.600000
99,486046084,2026-03-04 09:33:05,1.863000,86,486037202,2026-03-04 09:32:32,1.868000,100,0.500000
100,486046592,2026-03-04 09:33:05,1.863000,89,486038721,2026-03-04 09:32:38,1.867000,100,0.400000
102,486046592,2026-03-04 09:33:11,1.863000,92,486040698,2026-03-04 09:32:44,1.866000,100,0.300000
104,486047586,2026-03-04 09:33:17,1.863000,96,486043690,2026-03-04 09:32:56,1.864000,100,0.100000
105,486048583,2026-03-04 09:33:20,1.862000,98,486044688,2026-03-04 09:33:02,1.864000,100,0.200000
109,486053121,2026-03-04 09:33:26,1.863000,106,486051575,2026-03-04 09:33:23,1.864000,100,0.100000
110,486053121,2026-03-04 09:33:26,1.863000,107,486051575,2026-03-04 09:33:23,1.864000,100,0.100000
112,486054079,2026-03-04 09:33:32,1.863000,108,486051575,2026-03-04 09:33:23,1.864000,100,0.100000
