,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,773308.490445236
Total Return [%],-22.669150955476404
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000015
Total Fees Paid,0.0
Max Drawdown [%],28.884675204319965
Max Drawdown Duration,327 days 00:00:00
Total Trades,40848
Total Closed Trades,40588
Total Open Trades,260
Open Trade PnL,21911.76505503014
Win Rate [%],66.35458756282645
Best Trade [%],181.87259064633753
Worst Trade [%],-38.043121425986115
Avg Winning Trade [%],13.212427575738683
Avg Losing Trade [%],-5.9277831062633215
Avg Winning Trade Duration,15 days 14:33:23.980395069
Avg Losing Trade Duration,11 days 07:50:01.061946902
Profit Factor,0.7256089890318442
Expectancy,-6.283077840497864
Sharpe Ratio,-0.8027679618397746
Calmar Ratio,-0.7962940316182806
Omega Ratio,0.8858145223571581
Sortino Ratio,-0.9947636530365503
