stock_code,fail_time,fail_type
601003.SH,2026-04-24 21:44:12,开盘价小于2元
601003.SH,2026-04-25 05:51:37,开盘价小于2元
601003.SH,2026-04-25 05:58:56,开盘价小于2元
601003.SH,2026-04-25 06:10:46,开盘价小于2元
601003.SH,2026-04-25 06:14:59,开盘价小于2元
601003.SH,2026-04-25 06:16:59,开盘价小于2元
601003.SH,2026-04-25 06:29:40,开盘价小于2元
601003.SH,2026-04-25 06:30:30,开盘价小于2元
601003.SH,2026-04-25 07:02:44,开盘价小于2元
601003.SH,2026-04-25 07:22:52,开盘价小于2元
601003.SH,2026-04-25 07:35:18,开盘价小于2元
601003.SH,2026-04-25 07:46:47,开盘价小于2元
601003.SH,2026-04-25 07:53:20,开盘价小于2元
601003.SH,2026-04-25 07:57:28,开盘价小于2元
601003.SH,2026-04-25 08:04:12,开盘价小于2元
601003.SH,2026-04-25 08:47:56,开盘价小于2元
601003.SH,2026-04-26 07:07:39,开盘价小于2元
601003.SH,2026-04-26 10:17:35,开盘价小于2元
601003.SH,2026-04-26 14:54:19,开盘价小于2元
601003.SH,2026-04-26 14:55:53,开盘价小于2元
601003.SH,2026-04-26 15:00:24,开盘价小于2元
601003.SH,2026-04-26 15:12:27,开盘价小于2元
601003.SH,2026-04-26 15:13:22,开盘价小于2元
601003.SH,2026-04-26 19:31:57,开盘价小于2元
601003.SH,2026-04-26 19:47:13,开盘价小于2元
601003.SH,2026-04-26 19:48:57,开盘价小于2元
601003.SH,2026-04-26 20:04:45,开盘价小于2元
601003.SH,2026-04-26 20:06:06,开盘价小于2元
601003.SH,2026-04-26 20:07:34,开盘价小于2元
601003.SH,2026-04-26 20:18:25,开盘价小于2元
601003.SH,2026-04-26 21:44:58,开盘价小于2元
601003.SH,2026-04-26 21:49:57,开盘价小于2元
601003.SH,2026-04-26 21:52:53,开盘价小于2元
601003.SH,2026-04-26 21:53:59,开盘价小于2元
601003.SH,2026-04-26 22:04:43,开盘价小于2元
601003.SH,2026-04-26 22:09:15,开盘价小于2元
601003.SH,2026-04-27 08:05:09,开盘价小于2元
601003.SH,2026-04-27 08:05:34,开盘价小于2元
601003.SH,2026-04-27 08:39:01,开盘价小于2元
601003.SH,2026-04-27 08:39:19,开盘价小于2元
601003.SH,2026-04-27 08:41:18,开盘价小于2元
601003.SH,2026-04-27 08:41:44,开盘价小于2元
601003.SH,2026-04-27 08:46:36,下载失败
601003.SH,2026-04-27 08:47:33,下载失败
601003.SH,2026-04-27 10:56:10,开盘价小于2元
601003.SH,2026-04-27 10:59:24,开盘价小于2元
601003.SH,2026-04-27 13:54:46,开盘价小于2元
601003.SH,2026-04-27 15:24:19,开盘价小于2元
601003.SH,2026-04-27 19:56:07,开盘价小于2元
601003.SH,2026-04-28 08:39:10,开盘价小于2元
601003.SH,2026-04-28 08:41:47,开盘价小于2元
601003.SH,2026-04-28 08:58:33,下载失败
601003.SH,2026-04-28 09:04:49,下载失败
601003.SH,2026-04-28 09:47:46,开盘价小于2元
601003.SH,2026-04-28 09:49:17,开盘价小于2元
601003.SH,2026-04-28 09:53:33,开盘价小于2元
601003.SH,2026-04-28 10:07:06,开盘价小于2元
