stock_code,fail_time,fail_type
002303.SZ,2026-04-16 22:02:54,下载失败
002609.SZ,2026-04-16 22:03:14,下载失败
000782.SZ,2026-04-16 22:03:34,下载失败
003015.SZ,2026-04-16 22:03:54,下载失败
002695.SZ,2026-04-16 22:04:14,下载失败
001298.SZ,2026-04-16 22:04:34,下载失败
002160.SZ,2026-04-16 22:04:54,下载失败
002016.SZ,2026-04-16 22:05:14,下载失败
002479.SZ,2026-04-16 22:05:34,下载失败
000586.SZ,2026-04-16 22:05:54,下载失败
000153.SZ,2026-04-16 22:06:14,下载失败
002870.SZ,2026-04-16 22:06:35,下载失败
002132.SZ,2026-04-16 22:06:55,下载失败
000025.SZ,2026-04-16 22:07:15,下载失败
002915.SZ,2026-04-16 22:07:35,下载失败
002989.SZ,2026-04-16 22:07:55,下载失败
000042.SZ,2026-04-16 22:08:15,下载失败
002863.SZ,2026-04-16 22:08:35,下载失败
000900.SZ,2026-04-16 22:08:55,下载失败
002351.SZ,2026-04-16 22:09:15,下载失败
003020.SZ,2026-04-16 22:09:35,下载失败
000570.SZ,2026-04-16 22:09:56,下载失败
001318.SZ,2026-04-16 22:10:16,下载失败
002094.SZ,2026-04-16 22:10:36,下载失败
002278.SZ,2026-04-16 22:10:56,下载失败
002369.SZ,2026-04-16 22:11:16,下载失败
002772.SZ,2026-04-16 22:11:36,下载失败
000665.SZ,2026-04-16 22:11:56,下载失败
000713.SZ,2026-04-16 22:12:16,下载失败
002959.SZ,2026-04-16 22:12:36,下载失败
002576.SZ,2026-04-16 22:14:19,下载失败
000868.SZ,2026-04-16 22:14:39,下载失败
002452.SZ,2026-04-16 22:15:00,下载失败
000531.SZ,2026-04-16 22:15:20,下载失败
002997.SZ,2026-04-16 22:15:40,下载失败
000880.SZ,2026-04-16 22:16:00,下载失败
002406.SZ,2026-04-17 08:33:40,下载失败
