,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1059957.3710417289
Total Return [%],5.995737104172883
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000008
Total Fees Paid,0.0
Max Drawdown [%],14.523156810317456
Max Drawdown Duration,90 days 00:00:00
Total Trades,25645
Total Closed Trades,25385
Total Open Trades,260
Open Trade PnL,-39911.37908052382
Win Rate [%],53.224345085680525
Best Trade [%],113.86551702479034
Worst Trade [%],-36.202210508929085
Avg Winning Trade [%],6.2261454580792766
Avg Losing Trade [%],-5.940926324798341
Avg Winning Trade Duration,22 days 22:14:22.763674043
Avg Losing Trade Duration,29 days 10:32:26.488633482
Profit Factor,1.3702773795001828
Expectancy,3.897349775195547
Sharpe Ratio,0.45050177270311526
Calmar Ratio,0.41994591676946313
Omega Ratio,1.083792328797767
Sortino Ratio,0.6088059044156122
