,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,836467.0192375336
Total Return [%],-16.35329807624665
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000189
Total Fees Paid,0.0
Max Drawdown [%],26.95938947414055
Max Drawdown Duration,329 days 00:00:00
Total Trades,42870
Total Closed Trades,42610
Total Open Trades,260
Open Trade PnL,23445.52886440496
Win Rate [%],67.31049049518893
Best Trade [%],181.83896028063694
Worst Trade [%],-32.878069845151565
Avg Winning Trade [%],12.021026912213081
Avg Losing Trade [%],-5.126375850053807
Avg Winning Trade Duration,11 days 12:06:12.037237195
Avg Losing Trade Duration,8 days 22:28:26.539213556
Profit Factor,0.8146586114747144
Expectancy,-4.59388061685015
Sharpe Ratio,-0.5331429089754103
Calmar Ratio,-0.6158360294182044
Omega Ratio,0.9245944340352232
Sortino Ratio,-0.6646528858258506
