,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1723000.6013732003
Total Return [%],72.30006013732002
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000028
Total Fees Paid,0.0
Max Drawdown [%],15.487256317680211
Max Drawdown Duration,93 days 00:00:00
Total Trades,39157
Total Closed Trades,38897
Total Open Trades,260
Open Trade PnL,-90659.04626357157
Win Rate [%],61.212947013908526
Best Trade [%],206.5711032754808
Worst Trade [%],-30.713665613199687
Avg Winning Trade [%],10.48853348865682
Avg Losing Trade [%],-5.676116433792791
Avg Winning Trade Duration,134 days 04:12:44.451910960
Avg Losing Trade Duration,100 days 12:45:55.372668747
Profit Factor,13.63425074620724
Expectancy,20.916115930329305
Sharpe Ratio,2.2681915022858434
Calmar Ratio,4.769982234209795
Omega Ratio,1.3855609513200335
Sortino Ratio,3.1359597673634267
