,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1377400.1824399796
Total Return [%],37.740018243997966
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000019
Total Fees Paid,0.0
Max Drawdown [%],16.42554801882748
Max Drawdown Duration,54 days 00:00:00
Total Trades,4166
Total Closed Trades,4140
Total Open Trades,26
Open Trade PnL,-9686.206926494247
Win Rate [%],62.48792270531401
Best Trade [%],110.53864168618264
Worst Trade [%],-27.79601339822796
Avg Winning Trade [%],8.39572253176036
Avg Losing Trade [%],-3.969625231067221
Avg Winning Trade Duration,3 days 06:00:08.349439505
Avg Losing Trade Duration,4 days 02:39:34.967405475
Profit Factor,1.1750309557779277
Expectancy,86.88274029841216
Sharpe Ratio,1.322059678454461
Calmar Ratio,2.3426377679605426
Omega Ratio,1.217873479044115
Sortino Ratio,1.87717051783657
Excess Return [%],-14.328831601665392
