,IC,RankIC,RR
20260105,,,
20260106,,,
20260107,,,
20260108,,,
20260109,0.028417105741765075,-0.03626720693642424,0.017609041969787586
20260112,,,
20260113,,,
20260114,,,
20260115,,,
20260116,0.034941311616098,0.05746059053695512,0.033127657528677454
20260119,,,
20260120,,,
20260121,,,
20260122,,,
20260123,-0.10234188320973628,-0.16629971518824235,0.023801373500318315
20260126,,,
20260127,,,
20260128,,,
20260129,,,
20260130,-0.026513878741933037,0.006898623342030538,-0.010445814965485509
20260202,,,
20260203,,,
20260204,,,
20260205,,,
20260206,0.0830792615071068,0.09486358479986562,0.008546677175475241
20260209,,,
20260210,,,
20260211,,,
20260212,,,
20260213,-0.2757201316027744,-0.3540034337831541,-0.08538755876467467
20260224,,,
20260225,,,
20260226,,,
20260227,,,
20260302,-0.002988066798924,-0.010862773095561416,0.01907067492859166
20260303,,,
20260304,,,
20260305,,,
20260306,,,
20260309,-0.08307121399322054,-0.09804350463091402,-0.0029811090479408297
20260310,,,
20260311,,,
20260312,,,
20260313,,,
20260316,-0.107873145612248,-0.11038948592310015,-0.011624259029520106
20260317,,,
20260318,,,
20260319,,,
20260320,,,
20260323,-0.1983291136676929,-0.11651736689130059,-0.04910064910343445
20260324,,,
20260325,,,
20260326,,,
20260327,,,
20260330,0.25707660865843934,0.2564378889261385,0.07476379422464415
20260331,,,
20260401,,,
20260402,,,
20260403,,,
20260407,-0.1014893312177885,-0.18256935925247125,0.0002586865010848825
20260408,,,
20260409,,,
20260410,,,
20260413,,,
20260414,-0.036604994342383936,-0.0355647822922259,-0.023930044258522867
20260415,,,
20260416,,,
20260417,,,
20260420,,,
20260421,,,
20260422,,,
20260423,,,
20260424,,,
