,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,850240.8935220261
Total Return [%],-14.975910647797383
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000158
Total Fees Paid,0.0
Max Drawdown [%],28.212907950615268
Max Drawdown Duration,329 days 00:00:00
Total Trades,40149
Total Closed Trades,39889
Total Open Trades,260
Open Trade PnL,-838.5511225032928
Win Rate [%],57.075885582491416
Best Trade [%],158.21712241563662
Worst Trade [%],-42.195615869085366
Avg Winning Trade [%],13.739864449698258
Avg Losing Trade [%],-7.463366986106973
Avg Winning Trade Duration,21 days 02:50:35.024377388
Avg Losing Trade Duration,17 days 18:31:47.072599531
Profit Factor,0.8071909862868178
Expectancy,-3.7809880977698143
Sharpe Ratio,-0.39597486170197066
Calmar Ratio,-0.5389780326222335
Omega Ratio,0.9439730278374668
Sortino Ratio,-0.5063068347854799
