,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1224065.2389429966
Total Return [%],22.40652389429967
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000269
Total Fees Paid,0.0
Max Drawdown [%],20.719805979942237
Max Drawdown Duration,138 days 00:00:00
Total Trades,39744
Total Closed Trades,39484
Total Open Trades,260
Open Trade PnL,-23152.699573207316
Win Rate [%],60.23705804882991
Best Trade [%],188.33060234734222
Worst Trade [%],-32.91827930943336
Avg Winning Trade [%],9.513547420915573
Avg Losing Trade [%],-5.51069541834299
Avg Winning Trade Duration,38 days 19:23:22.219979818
Avg Losing Trade Duration,39 days 07:59:12.217471763
Profit Factor,1.9720075995699986
Expectancy,6.249297787399396
Sharpe Ratio,1.0050064461812798
Calmar Ratio,1.101402034252549
Omega Ratio,1.1661987459360261
Sortino Ratio,1.292353590818573
