date,code,score
20241104,600843.SH,0.9871794871794872
20241104,603038.SH,0.9969834087481146
20241104,600172.SH,0.9913273001508296
20241104,600198.SH,0.9962292609351433
20241104,600203.SH,0.9901960784313726
20241104,600770.SH,0.9984917043740573
20241104,600292.SH,0.9913273001508296
20241104,603887.SH,0.9947209653092006
20241104,603106.SH,0.9894419306184012
20241104,002094.SZ,0.9864253393665159
20241104,002178.SZ,0.9879336349924586
20241104,000045.SZ,0.9992458521870287
20241104,002628.SZ,0.997737556561086
20241104,000677.SZ,0.9856711915535445
20241104,002583.SZ,0.9939668174962293
20241104,002248.SZ,0.9886877828054299
20241104,002725.SZ,0.9932126696832579
20241104,001376.SZ,1.0
20241104,000058.SZ,0.995475113122172
20241104,002654.SZ,0.9924585218702866
20241105,600178.SH,0.9932177844762623
20241105,603038.SH,0.9992464204973625
20241105,600337.SH,0.9894498869630746
20241105,600505.SH,0.9864355689525245
20241105,600198.SH,0.9917106254709872
20241105,600366.SH,0.9879427279577996
20241105,600199.SH,0.9886963074604371
20241105,600292.SH,0.9981160512434062
20241105,603887.SH,0.9962321024868124
20241105,603106.SH,0.9969856819894499
20241105,002094.SZ,0.9981160512434062
20241105,002628.SZ,1.0
20241105,002167.SZ,0.987189148455162
20241105,000677.SZ,0.9902034664657121
20241105,002685.SZ,0.9939713639788997
20241105,002725.SZ,0.9924642049736248
20241105,001376.SZ,0.9954785229841748
20241105,000917.SZ,0.9947249434815373
20241105,002194.SZ,0.9856819894498869
20241105,002654.SZ,0.9909570459683497
20241106,603038.SH,0.9992464204973625
20241106,603977.SH,0.9894498869630746
20241106,603219.SH,0.9984928409947249
20241106,600481.SH,0.9902034664657121
20241106,600366.SH,0.9864355689525245
20241106,600203.SH,0.9932177844762623
20241106,603887.SH,0.9939713639788997
20241106,603098.SH,0.9947249434815373
20241106,601011.SH,0.9853051996985682
20241106,002845.SZ,0.9886963074604371
20241106,002094.SZ,0.9875659382064808
20241106,000016.SZ,0.9924642049736248
20241106,002628.SZ,1.0
20241106,000525.SZ,0.9875659382064808
20241106,000803.SZ,0.9977392614920875
20241106,002583.SZ,0.9969856819894499
20241106,000514.SZ,0.9917106254709872
20241106,001376.SZ,0.9962321024868124
20241106,000520.SZ,0.9909570459683497
20241106,002654.SZ,0.9954785229841748
20241107,600246.SH,0.9887048192771084
20241107,600843.SH,0.9969879518072289
20241107,601519.SH,0.9864457831325302
20241107,600178.SH,0.990210843373494
20241107,600318.SH,0.9947289156626506
20241107,603809.SH,0.9924698795180723
20241107,600481.SH,0.9984939759036144
20241107,600203.SH,0.9917168674698795
20241107,000010.SZ,0.9992469879518072
20241107,002094.SZ,1.0
20241107,002369.SZ,0.9932228915662651
20241107,000576.SZ,0.9856927710843374
20241107,002735.SZ,0.9879518072289156
20241107,000677.SZ,0.9894578313253012
20241107,002708.SZ,0.9871987951807228
20241107,002583.SZ,0.9962349397590361
20241107,002640.SZ,0.9954819277108434
20241107,002416.SZ,0.9977409638554217
20241107,000007.SZ,0.9939759036144579
20241107,000572.SZ,0.9909638554216867
20241108,600676.SH,0.990210843373494
20241108,600630.SH,0.9924698795180723
20241108,600651.SH,0.9887048192771084
20241108,603336.SH,0.9969879518072289
20241108,600318.SH,0.9984939759036144
20241108,603305.SH,0.9856927710843374
20241108,600313.SH,0.9909638554216867
20241108,600619.SH,0.9977409638554217
20241108,600860.SH,0.9962349397590361
20241108,603758.SH,0.9954819277108434
20241108,002094.SZ,0.9992469879518072
20241108,002178.SZ,0.9864457831325302
20241108,000099.SZ,0.9917168674698795
20241108,000016.SZ,0.9932228915662651
20241108,003016.SZ,0.9871987951807228
20241108,002416.SZ,1.0
20241108,002041.SZ,0.9879518072289156
20241108,002674.SZ,0.9939759036144579
