,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1096707.6826732818
Total Return [%],9.67076826732817
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000019
Total Fees Paid,0.0
Max Drawdown [%],20.756618657371103
Max Drawdown Duration,166 days 00:00:00
Total Trades,49157
Total Closed Trades,48897
Total Open Trades,260
Open Trade PnL,-7116.802977696495
Win Rate [%],64.95490520890851
Best Trade [%],199.41668750705404
Worst Trade [%],-30.12690582388247
Avg Winning Trade [%],5.626603589595615
Avg Losing Trade [%],-3.2765209030762783
Avg Winning Trade Duration,4 days 09:51:59.183904788
Avg Losing Trade Duration,4 days 15:24:57.213182651
Profit Factor,1.0736414675260837
Expectancy,1.7224169557648956
Sharpe Ratio,0.5164452924138235
Calmar Ratio,0.4740705796390254
Omega Ratio,1.079543692925475
Sortino Ratio,0.6632667965422493
