factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate,abs_rank_ic_mean,abs_rank_ic_ir,selected,drop_reason
alpha101__alpha041,-0.0959671723255363,0.044096251695732766,-2.176311333392156,-0.12797193575902596,0.06327355108303875,-2.0225186285353027,0.011019283746556474,0.12797193575902596,2.0225186285353027,True,
alpha101__alpha042,0.12680565494050997,0.06046616672266668,2.0971340141688675,0.12643590436479246,0.06313993865366599,2.0024711309638157,0.9559228650137741,0.12643590436479246,2.0024711309638157,True,
alpha101__alpha024,-0.10494281941971552,0.05116534591804599,-2.0510526712319606,-0.12811051015131536,0.0840105793814351,-1.524933063128304,0.013774104683195593,0.12811051015131536,1.524933063128304,True,
alpha101__alpha053,-0.08738614430216243,0.053225980520657315,-1.6417949175825395,-0.08770004579681082,0.06289916489408588,-1.394295869340816,0.046831955922865015,0.08770004579681082,1.394295869340816,True,
alpha101__alpha068,-0.08697082081244828,0.05415156742738196,-1.606062851810844,-0.08641933372414566,0.062119856533082024,-1.3911708517569243,0.05785123966942149,0.08641933372414566,1.3911708517569243,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha073,-0.08588065269545661,0.05296584818544962,-1.6214344834951422,-0.08642913704363807,0.06262568866473064,-1.3800908043716729,0.049586776859504134,0.08642913704363807,1.3800908043716729,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha063,-0.07909355580384829,0.05029215872770577,-1.5726816626043125,-0.08058808958511499,0.05845447221613629,-1.3786471168046701,0.05234159779614325,0.08058808958511499,1.3786471168046701,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha088,-0.08578761236512236,0.05397066529922342,-1.5895229730724991,-0.08537194151537546,0.062143755424191906,-1.3737814995670679,0.06060606060606061,0.08537194151537546,1.3737814995670679,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha083,-0.08621468876599073,0.05553665606241768,-1.5523925075556222,-0.0851951652457458,0.06203184480030657,-1.3734101495773146,0.06611570247933884,0.0851951652457458,1.3734101495773146,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha058,-0.0853637710536557,0.05200665019790396,-1.641401065610185,-0.08709639358257824,0.063549548597435,-1.370527336618936,0.0440771349862259,0.08709639358257824,1.370527336618936,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha093,-0.08400535908744265,0.0524674403251303,-1.6010950518431648,-0.0849304498489495,0.06200982413766922,-1.369628942349421,0.05509641873278237,0.0849304498489495,1.369628942349421,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha078,-0.08328912535498477,0.05110421771616988,-1.6297896548885291,-0.08522522300633949,0.0626114691785685,-1.3611759015473084,0.05509641873278237,0.08522522300633949,1.3611759015473084,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha098,-0.08016365896329697,0.04988276017347541,-1.6070413642812629,-0.08247553619340389,0.06144842029743778,-1.3421913174364042,0.05234159779614325,0.08247553619340389,1.3421913174364042,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
alpha101__alpha016,-0.09651941032823173,0.06692877412305251,-1.4421212937618593,-0.0845635818745724,0.09131160952507487,-0.9260989080621844,0.0743801652892562,0.0845635818745724,0.9260989080621844,True,
alpha101__alpha031,-0.10462705629931811,0.06665166774915439,-1.569759014779424,-0.08497417627810287,0.09462293077795937,-0.8980294266883563,0.06336088154269973,0.08497417627810287,0.8980294266883563,True,
alpha101__alpha013,-0.04853011216515814,0.04164459151843331,-1.1653400932910354,-0.04631028836393755,0.05539967756453897,-0.8359306479715057,0.11570247933884298,0.04631028836393755,0.8359306479715057,True,
alpha101__alpha015,-0.03630104765467413,0.035583482236144506,-1.020165688500288,-0.03569864686247045,0.046176144284474856,-0.7730971785462152,0.18181818181818182,0.03569864686247045,0.7730971785462152,True,
alpha101__alpha032,0.009127824112803561,0.07749920009632554,0.11777959129201823,0.06034816878009254,0.08601862801370651,0.7015709291535834,0.17079889807162535,0.06034816878009254,0.7015709291535834,True,
alpha101__alpha002,-0.04008664322147006,0.04375805833547393,-0.9160973943163399,-0.03558857284806029,0.0514540555944999,-0.6916572938103731,0.18732782369146006,0.03558857284806029,0.6916572938103731,True,
