datetime,benchmark,score_equal_weight,score_ic_weighted,score_rule_based,score_ml_lightgbm,score_ml_ridge,score_ml_lasso
2026-01-12,0.0065140724,0.004196419860563516,0.004692298015932961,0.003601965026608145,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-13,-0.0060313344,0.004196419860563516,0.004692298015932961,0.003601965026608145,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-14,-0.00401175,0.004196419860563516,0.004692298015932961,0.003601965026608145,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-15,0.002003312,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-16,-0.004116595,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-19,0.00054740906,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-20,-0.0032907724,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-21,0.0008878708,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-22,0.00013542175,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-23,-0.0044900775,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-26,0.0009484291,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-27,-0.00026983023,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-28,0.002613902,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-29,0.0076048374,0.003735677788738734,0.004622672654886584,0.0029647485479578073,-0.002049412445644161,-0.004778707583414699,5.708243997526452e-05
2026-01-30,-0.009998143,0.003735677788738734,0.004622672654886584,0.0029647485479578073,0.007395638501329627,0.006081512854514415,0.004231900784288145
