datetime,benchmark,score_ml_lightgbm,score_ml_ridge,score_ml_lasso
2024-11-01,0.0,,,
2024-11-04,0.014071941,,,
2024-11-05,0.025301933,,,
2024-11-06,-0.0050165653,,,
2024-11-07,0.030171871,,,
2024-11-08,-0.010046542,,,
2024-11-11,0.0065983534,,,
2024-11-12,-0.010987222,,,
2024-11-13,0.00615561,,,
2024-11-14,-0.017336965,,,
2024-11-15,-0.017523944,,,
2024-11-18,-0.004648745,,,
2024-11-19,0.0067107677,,,
2024-11-20,0.0022329092,,,
2024-11-21,0.000885725,,,
2024-11-22,-0.030982912,,,
2024-11-25,-0.004555464,,,
2024-11-26,-0.0020555854,,,
2024-11-27,0.017410636,,,
2024-11-28,-0.008827686,,,
2024-11-29,0.011369705,,,
2024-12-02,0.007927895,,,
2024-12-03,0.0010790825,,,
2024-12-04,-0.0053973794,,,
2024-12-05,-0.002282083,,,
2024-12-06,0.013145089,,,
2024-12-09,-0.001653552,,,
2024-12-10,0.0073286295,,,
2024-12-11,-0.0017042756,,,
2024-12-12,0.009945154,,,
2024-12-13,-0.023661435,,,
2024-12-16,-0.0054255724,,,
2024-12-17,0.0026048422,,,
2024-12-18,0.005063653,,,
2024-12-19,0.000905633,,,
2024-12-20,-0.00449121,,,
2024-12-23,0.0014843941,,,
2024-12-24,0.012741566,,,
2024-12-25,0.00048685074,,,
2024-12-26,0.00046420097,,,
2024-12-27,-0.0016176105,,,
2024-12-30,0.004526496,,,
2024-12-31,-0.016038835,,,
2025-01-02,-0.029101014,,,
2025-01-03,-0.011841714,,,
2025-01-06,-0.0016397238,,,
2025-01-07,0.0072009563,,,
2025-01-08,-0.001815021,,,
2025-01-09,-0.0024648905,,,
2025-01-10,-0.012540042,,,
2025-01-13,-0.0026711226,,,
2025-01-14,0.026334286,,,
2025-01-15,-0.0064153075,,,
2025-01-16,0.0011458397,,,
2025-01-17,0.0031471252,,,
2025-01-20,0.0045484304,,,
2025-01-21,0.0007650852,,,
2025-01-22,-0.009286106,,,
2025-01-23,0.0017697811,,,
2025-01-24,0.0076556206,,,
2025-01-27,-0.004117012,,,
2025-02-05,-0.0057635903,,,
2025-02-06,0.012582064,,,
2025-02-07,0.012977481,,,
2025-02-10,0.0021476746,,,
2025-02-11,-0.0045936108,,,
2025-02-12,0.009456158,,,
2025-02-13,-0.0037552118,,,
2025-02-14,0.008673191,,,
2025-02-17,0.0021299124,,,
2025-02-18,-0.008770287,,,
2025-02-19,0.0069975853,,,
2025-02-20,-0.0028577447,,,
2025-02-21,0.012609124,,,
2025-02-24,-0.0021919012,,,
2025-02-25,-0.011101484,,,
2025-02-26,0.008734822,,,
2025-02-27,0.0020656586,,,
2025-02-28,-0.019674301,,,
2025-03-03,-0.00040614605,,,
2025-03-04,-0.00083583593,,,
2025-03-05,0.004465699,,,
2025-03-06,0.01375258,,,
2025-03-07,-0.003091395,,,
2025-03-10,-0.0038564801,,,
2025-03-11,0.0032122135,,,
2025-03-12,-0.0036002398,,,
2025-03-13,-0.0039850473,,,
2025-03-14,0.02428174,,,
2025-03-17,-0.0024384856,,,
2025-03-18,0.0027347803,,,
2025-03-19,0.00061130524,,,
2025-03-20,-0.008772731,,,
2025-03-21,-0.015167356,,,
2025-03-24,0.0051472187,,,
2025-03-25,-0.0006480217,,,
2025-03-26,-0.0032907128,,,
2025-03-27,0.0033295155,,,
2025-03-28,-0.004384041,,,
2025-03-31,-0.00711596,,,
2025-04-01,9.512901e-05,,,
2025-04-02,-0.00084626675,,,
2025-04-03,-0.005892813,,,
2025-04-07,-0.07045448,,,
2025-04-08,0.017083406,,,
2025-04-09,0.009869218,,,
2025-04-10,0.013108969,,,
2025-04-11,0.0041229725,,,
2025-04-14,0.002298355,,,
2025-04-15,0.0005559921,,,
2025-04-16,0.003081441,,,
2025-04-17,-0.00015902519,,,
2025-04-18,7.9512596e-05,,,
2025-04-21,0.003276348,,,
2025-04-22,-0.00024569035,,,
2025-04-23,0.00077438354,,,
2025-04-24,-0.00066548586,,,
2025-04-25,0.00069499016,,,
2025-04-28,-0.0014179945,,,
2025-04-29,-0.0017294288,,,
2025-04-30,-0.0011946559,,,
2025-05-06,0.0100700855,,,
2025-05-07,0.006062746,,,
2025-05-08,0.0055511,,,
2025-05-09,-0.0017493367,,,
2025-05-12,0.011556983,,,
2025-05-13,0.0014522076,,,
2025-05-14,0.012050033,,,
2025-05-15,-0.009132087,,,
2025-05-16,-0.004635036,,,
2025-05-19,-0.003070116,,,
2025-05-20,0.0054215193,,,
2025-05-21,0.0046714544,,,
2025-05-22,-0.00064086914,,,
2025-05-23,-0.008073866,,,
2025-05-26,-0.005708039,,,
2025-05-27,-0.0053651333,,,
2025-05-28,-0.00082302094,,,
2025-05-29,0.005854726,,,
2025-05-30,-0.0047866106,,,
2025-06-03,0.0030674934,,,
2025-06-04,0.0043432713,,,
2025-06-05,0.0022797585,,,
2025-06-06,-0.00092321634,,,
2025-06-09,0.0029091835,,,
2025-06-10,-0.0050911307,,,
2025-06-11,0.007543683,,,
2025-06-12,-0.0006239414,,,
2025-06-13,-0.0071989894,,,
2025-06-16,0.0024895668,,,
2025-06-17,-0.000882864,,,
2025-06-18,0.001185894,,,
2025-06-19,-0.0082271695,,,
2025-06-20,0.0009237528,,,
2025-06-23,0.002927184,,,
2025-06-24,0.011957288,,,
2025-06-25,0.014354348,,,
2025-06-26,-0.0035479069,,,
2025-06-27,-0.006147921,,,
2025-06-30,0.0036514997,,,
2025-07-01,0.0016970634,,,
2025-07-02,0.00023329258,,,
2025-07-03,0.006184578,,,
2025-07-04,0.00356102,,,
2025-07-07,-0.004276514,,,
2025-07-08,0.008393168,,,
2025-07-09,-0.0017632246,,,
2025-07-10,0.004664898,,,
2025-07-11,0.0011945963,,,
2025-07-14,0.0007123947,,,
2025-07-15,0.00034594536,,,
2025-07-16,-0.0029509664,,,
2025-07-17,0.0068101883,,,
2025-07-18,0.005963564,,,
2025-07-21,0.006667495,,,
2025-07-22,0.008162856,,,
2025-07-23,0.00019657612,,,
2025-07-24,0.0071048737,,,
2025-07-25,-0.0052734613,,,
2025-07-28,0.0020982027,,,
2025-07-29,0.003916979,,,
2025-07-30,-0.00018793344,,,
2025-07-31,-0.018223405,,,
2025-08-01,-0.005069196,,,
2025-08-04,0.0038890839,,,
2025-08-05,0.0080451965,,,
2025-08-06,0.0024467707,,,
2025-08-07,0.00028681755,,,
2025-08-08,-0.002357483,,,
2025-08-11,0.0042728186,,,
2025-08-12,0.0051715374,,,
2025-08-13,0.0079033375,,,
2025-08-14,-0.0007829666,,,
2025-08-15,0.0069584846,,,
2025-08-18,0.008818865,,,
2025-08-19,-0.003783524,,,
2025-08-20,0.011372447,,,
2025-08-21,0.0039026737,,,
2025-08-22,0.020972133,,,
2025-08-25,0.020835996,,,
2025-08-26,-0.0037209988,,,
2025-08-27,-0.014926076,,,
2025-08-28,0.017703533,,,
2025-08-29,0.0073883533,,,
2025-09-01,0.005993247,,,
2025-09-02,-0.0073522925,,,
2025-09-03,-0.00681901,,,
2025-09-04,-0.021216035,,,
2025-09-05,0.02178824,,,
2025-09-08,0.0016254187,,,
2025-09-09,-0.007008195,,,
2025-09-10,0.0020512342,,,
2025-09-11,0.023095965,,,
2025-09-12,-0.005723357,,,
2025-09-15,0.002445817,,,
2025-09-16,-0.0021442175,,,
2025-09-17,0.0061192513,,,
2025-09-18,-0.011625946,,,
2025-09-19,0.000846982,,,
2025-09-22,0.0045958757,,,
2025-09-23,-0.00062572956,,,
2025-09-24,0.010241628,,,
2025-09-25,0.006005168,,,
2025-09-26,-0.009456813,,,
2025-09-29,0.015384436,,,
2025-09-30,0.0044674873,,,
2025-10-09,0.014823198,,,
2025-10-10,-0.01967305,,,
2025-10-13,-0.0049492717,,,
2025-10-14,-0.011954844,,,
2025-10-15,0.014811516,,,
2025-10-16,0.0026333332,,,
2025-10-17,-0.022559702,,,
2025-10-20,0.00531435,,,
2025-10-21,0.015347362,,,
2025-10-22,-0.003320396,,,
2025-10-23,0.0029982328,,,
2025-10-24,0.011796832,,,
2025-10-27,0.011873841,,,
2025-10-28,-0.005099654,,,
2025-10-29,0.0119075775,,,
2025-10-30,-0.00798893,,,
2025-10-31,-0.014700949,,,
2025-11-03,0.0027432442,,,
2025-11-04,-0.0074569583,,,
2025-11-05,0.0018533468,,,
2025-11-06,0.014293551,,,
2025-11-07,-0.0031129122,,,
2025-11-10,0.0034753084,,,
2025-11-11,-0.009133041,,,
2025-11-12,-0.0013455749,,,
2025-11-13,0.01208806,,,
2025-11-14,-0.015722811,,,
2025-11-17,-0.006501496,,,
2025-11-18,-0.006494105,,,
2025-11-19,0.004400015,,,
2025-11-20,-0.005086899,,,
2025-11-21,-0.024390101,,,
2025-11-24,-0.0012484789,,,
2025-11-25,0.009521008,,,
2025-11-26,0.0060640574,,,
2025-11-27,-0.00049358606,,,
2025-11-28,0.00249362,,,
2025-12-01,0.011008143,,,
2025-12-02,-0.004842043,,,
2025-12-03,-0.0051116347,,,
2025-12-04,0.0034252405,,,
2025-12-05,0.008351326,,,
2025-12-08,0.0081163645,,,
2025-12-09,-0.0050911307,,,
2025-12-10,-0.0013896227,,,
2025-12-11,-0.008634865,,,
2025-12-12,0.0063199997,,,
2025-12-15,-0.0063064694,,,
2025-12-16,-0.011974812,,,
2025-12-17,0.01830554,,,
2025-12-18,-0.0059150457,,,
2025-12-19,0.0033804178,,,
2025-12-22,0.009509206,,,
2025-12-23,0.0019755363,,,
2025-12-24,0.0028847456,,,
2025-12-25,0.0018299818,,,
2025-12-26,0.003166318,,,
2025-12-29,-0.0038371086,,,
2025-12-30,0.002567172,,,
2025-12-31,-0.004588008,,,
2026-01-05,0.018965721,,,
2026-01-06,0.01546061,,,
2026-01-07,-0.0029264092,,,
2026-01-08,-0.008168876,,,
2026-01-09,0.004489541,,,
2026-01-12,0.0065140724,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-13,-0.0060313344,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-14,-0.00401175,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-15,0.002003312,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-16,-0.004116595,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-19,0.00054740906,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-20,-0.0032907724,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-21,0.0008878708,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-22,0.00013542175,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-23,-0.0044900775,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-26,0.0009484291,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-27,-0.00026983023,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-28,0.002613902,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-29,0.0076048374,-0.0015107994701490934,-0.006487496642264667,5.708243997526452e-05
2026-01-30,-0.009998143,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-02,-0.021324456,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-03,0.011752129,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-04,0.008276701,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-05,-0.006014526,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-06,-0.0057424903,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-09,0.016250253,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-10,0.0011103153,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-11,-0.002218306,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-12,0.0012220144,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-13,-0.012537181,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-24,0.010112882,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-25,0.006022215,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-26,-0.0019046664,0.0064692375051051965,0.006793056792700369,0.004231900784288145
2026-02-27,-0.0034313798,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-02,0.003825307,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-03,-0.015389085,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-04,-0.011443555,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-05,0.009792328,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-06,0.0027433634,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-09,-0.009651482,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-10,0.012848139,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-11,0.006361842,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-12,-0.0036008358,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-13,-0.0039295554,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-16,0.000518322,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-17,-0.0073037744,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-18,0.0045046806,-0.002780162712191947,-0.004174279882556586,-0.005443244553789084
2026-03-19,-0.016117394,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-03-20,-0.0035411716,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-03-23,-0.03262955,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-03-24,0.012838483,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-03-25,0.014023185,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-03-26,-0.013209939,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-03-27,0.005592346,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-03-30,-0.002358675,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-03-31,-0.009327769,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-04-01,0.01708293,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-04-02,-0.010419548,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-04-03,-0.008511066,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-04-07,-3.8325787e-05,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-04-08,0.034891605,0.0037585853565205163,0.002166204634003188,-0.0001882689681985683
2026-04-09,-0.0063844323,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-10,0.015406609,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-13,0.0020662546,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-14,0.011865735,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-15,-0.0034096837,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-16,0.010962009,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-17,-0.001676321,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-20,0.0060842037,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-21,0.002219677,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-22,0.0066337585,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-23,-0.00277102,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-24,-0.0035434961,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-27,0.00033128262,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-28,-0.0026703477,0.011955965469056418,0.010858238114876517,0.003373321785281602
2026-04-29,0.010957837,0.0,0.0,0.0
2026-04-30,-0.00063198805,0.0,0.0,0.0
