step,kept,dropped,examples
"market_cap [20,150] 亿",3668,2135,"BJ430017,BJ430047,BJ430090,BJ430139,BJ430198"
"price [2.00,15.00] 元 (last)",1234,2434,"SH600017,SH600037,SH600051,SH600052,SH600073"
FINAL,1234,4569,
