datetime,alpha360__close_0,alpha360__close_1,alpha360__close_10,alpha360__close_11,alpha360__close_12,alpha360__close_13,alpha360__close_14,alpha360__close_15,alpha360__close_16,alpha360__close_17,alpha360__close_18,alpha360__close_19,alpha360__close_2,alpha360__close_20,alpha360__close_21,alpha360__close_22,alpha360__close_23,alpha360__close_24,alpha360__close_25,alpha360__close_26,alpha360__close_27,alpha360__close_28,alpha360__close_29,alpha360__close_3,alpha360__close_30,alpha360__close_31,alpha360__close_32,alpha360__close_33,alpha360__close_34,alpha360__close_35,alpha360__close_36,alpha360__close_37,alpha360__close_38,alpha360__close_39,alpha360__close_4,alpha360__close_40,alpha360__close_41,alpha360__close_42,alpha360__close_43,alpha360__close_44,alpha360__close_45,alpha360__close_46,alpha360__close_47,alpha360__close_48,alpha360__close_49,alpha360__close_5,alpha360__close_50,alpha360__close_51,alpha360__close_52,alpha360__close_53,alpha360__close_54,alpha360__close_55,alpha360__close_56,alpha360__close_57,alpha360__close_58,alpha360__close_59,alpha360__close_6,alpha360__close_7,alpha360__close_8,alpha360__close_9,alpha360__high_0,alpha360__high_1,alpha360__high_10,alpha360__high_11,alpha360__high_12,alpha360__high_13,alpha360__high_14,alpha360__high_15,alpha360__high_16,alpha360__high_17,alpha360__high_18,alpha360__high_19,alpha360__high_2,alpha360__high_20,alpha360__high_21,alpha360__high_22,alpha360__high_23,alpha360__high_24,alpha360__high_25,alpha360__high_26,alpha360__high_27,alpha360__high_28,alpha360__high_29,alpha360__high_3,alpha360__high_30,alpha360__high_31,alpha360__high_32,alpha360__high_33,alpha360__high_34,alpha360__high_35,alpha360__high_36,alpha360__high_37,alpha360__high_38,alpha360__high_39,alpha360__high_4,alpha360__high_40,alpha360__high_41,alpha360__high_42,alpha360__high_43,alpha360__high_44,alpha360__high_45,alpha360__high_46,alpha360__high_47,alpha360__high_48,alpha360__high_49,alpha360__high_5,alpha360__high_50,alpha360__high_51,alpha360__high_52,alpha360__high_53,alpha360__high_54,alpha360__high_55,alpha360__high_56,alpha360__high_57,alpha360__high_58,alpha360__high_59,alpha360__high_6,alpha360__high_7,alpha360__high_8,alpha360__high_9,alpha360__low_0,alpha360__low_1,alpha360__low_10,alpha360__low_11,alpha360__low_12,alpha360__low_13,alpha360__low_14,alpha360__low_15,alpha360__low_16,alpha360__low_17,alpha360__low_18,alpha360__low_19,alpha360__low_2,alpha360__low_20,alpha360__low_21,alpha360__low_22,alpha360__low_23,alpha360__low_24,alpha360__low_25,alpha360__low_26,alpha360__low_27,alpha360__low_28,alpha360__low_29,alpha360__low_3,alpha360__low_30,alpha360__low_31,alpha360__low_32,alpha360__low_33,alpha360__low_34,alpha360__low_35,alpha360__low_36,alpha360__low_37,alpha360__low_38,alpha360__low_39,alpha360__low_4,alpha360__low_40,alpha360__low_41,alpha360__low_42,alpha360__low_43,alpha360__low_44,alpha360__low_45,alpha360__low_46,alpha360__low_47,alpha360__low_48,alpha360__low_49,alpha360__low_5,alpha360__low_50,alpha360__low_51,alpha360__low_52,alpha360__low_53,alpha360__low_54,alpha360__low_55,alpha360__low_56,alpha360__low_57,alpha360__low_58,alpha360__low_59,alpha360__low_6,alpha360__low_7,alpha360__low_8,alpha360__low_9,alpha360__open_0,alpha360__open_1,alpha360__open_10,alpha360__open_11,alpha360__open_12,alpha360__open_13,alpha360__open_14,alpha360__open_15,alpha360__open_16,alpha360__open_17,alpha360__open_18,alpha360__open_19,alpha360__open_2,alpha360__open_20,alpha360__open_21,alpha360__open_22,alpha360__open_23,alpha360__open_24,alpha360__open_25,alpha360__open_26,alpha360__open_27,alpha360__open_28,alpha360__open_29,alpha360__open_3,alpha360__open_30,alpha360__open_31,alpha360__open_32,alpha360__open_33,alpha360__open_34,alpha360__open_35,alpha360__open_36,alpha360__open_37,alpha360__open_38,alpha360__open_39,alpha360__open_4,alpha360__open_40,alpha360__open_41,alpha360__open_42,alpha360__open_43,alpha360__open_44,alpha360__open_45,alpha360__open_46,alpha360__open_47,alpha360__open_48,alpha360__open_49,alpha360__open_5,alpha360__open_50,alpha360__open_51,alpha360__open_52,alpha360__open_53,alpha360__open_54,alpha360__open_55,alpha360__open_56,alpha360__open_57,alpha360__open_58,alpha360__open_59,alpha360__open_6,alpha360__open_7,alpha360__open_8,alpha360__open_9,alpha360__volume_0,alpha360__volume_1,alpha360__volume_10,alpha360__volume_11,alpha360__volume_12,alpha360__volume_13,alpha360__volume_14,alpha360__volume_15,alpha360__volume_16,alpha360__volume_17,alpha360__volume_18,alpha360__volume_19,alpha360__volume_2,alpha360__volume_20,alpha360__volume_21,alpha360__volume_22,alpha360__volume_23,alpha360__volume_24,alpha360__volume_25,alpha360__volume_26,alpha360__volume_27,alpha360__volume_28,alpha360__volume_29,alpha360__volume_3,alpha360__volume_30,alpha360__volume_31,alpha360__volume_32,alpha360__volume_33,alpha360__volume_34,alpha360__volume_35,alpha360__volume_36,alpha360__volume_37,alpha360__volume_38,alpha360__volume_39,alpha360__volume_4,alpha360__volume_40,alpha360__volume_41,alpha360__volume_42,alpha360__volume_43,alpha360__volume_44,alpha360__volume_45,alpha360__volume_46,alpha360__volume_47,alpha360__volume_48,alpha360__volume_49,alpha360__volume_5,alpha360__volume_50,alpha360__volume_51,alpha360__volume_52,alpha360__volume_53,alpha360__volume_54,alpha360__volume_55,alpha360__volume_56,alpha360__volume_57,alpha360__volume_58,alpha360__volume_59,alpha360__volume_6,alpha360__volume_7,alpha360__volume_8,alpha360__volume_9,alpha360__vwap_0,alpha360__vwap_1,alpha360__vwap_10,alpha360__vwap_11,alpha360__vwap_12,alpha360__vwap_13,alpha360__vwap_14,alpha360__vwap_15,alpha360__vwap_16,alpha360__vwap_17,alpha360__vwap_18,alpha360__vwap_19,alpha360__vwap_2,alpha360__vwap_20,alpha360__vwap_21,alpha360__vwap_22,alpha360__vwap_23,alpha360__vwap_24,alpha360__vwap_25,alpha360__vwap_26,alpha360__vwap_27,alpha360__vwap_28,alpha360__vwap_29,alpha360__vwap_3,alpha360__vwap_30,alpha360__vwap_31,alpha360__vwap_32,alpha360__vwap_33,alpha360__vwap_34,alpha360__vwap_35,alpha360__vwap_36,alpha360__vwap_37,alpha360__vwap_38,alpha360__vwap_39,alpha360__vwap_4,alpha360__vwap_40,alpha360__vwap_41,alpha360__vwap_42,alpha360__vwap_43,alpha360__vwap_44,alpha360__vwap_45,alpha360__vwap_46,alpha360__vwap_47,alpha360__vwap_48,alpha360__vwap_49,alpha360__vwap_5,alpha360__vwap_50,alpha360__vwap_51,alpha360__vwap_52,alpha360__vwap_53,alpha360__vwap_54,alpha360__vwap_55,alpha360__vwap_56,alpha360__vwap_57,alpha360__vwap_58,alpha360__vwap_59,alpha360__vwap_6,alpha360__vwap_7,alpha360__vwap_8,alpha360__vwap_9
2024-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33359177412322244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1492021862842942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31530287068341084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29678141547060216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04,,-0.11398401087551809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08553722800676695,0.21473801484245972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19700001701908224,-0.05804229170522047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14486151008983264,0.21645125697672493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15596661548460364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06371065714954131,0.07865349830614408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05,,-0.19109067758341103,,,,,,,,,,,-0.18732066573189268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016765122168648835,-0.15267936755135114,,,,,,,,,,,0.07169743295932393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13688882419736548,-0.21804625938430722,,,,,,,,,,,-0.14561727619063186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13729873506404852,-0.19262623142526816,,,,,,,,,,,0.08714867813569208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0063732960921912,,,,,,,,,,,0.11425962410289082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07360489383581657,-0.1968434731128537,,,,,,,,,,,-0.07735490326104531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06,,-0.029434749116853034,,,,,,,,,,,-0.10783277385649234,,,,,,,,,,,-0.12535833541159408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0461996116032577,-0.023098195765508547,,,,,,,,,,,-0.07839220818409774,,,,,,,,,,,0.07132845665828072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014746853268102333,-0.09458620173356884,,,,,,,,,,,-0.1411974509591156,,,,,,,,,,,-0.08349154186005443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004146620742707349,-0.08948129528433733,,,,,,,,,,,-0.14109509234422535,,,,,,,,,,,0.0840500191198023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026879046311531384,,,,,,,,,,,-0.03484247251458968,,,,,,,,,,,0.07920523744123416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05541786902786215,-0.04612871823479543,,,,,,,,,,,-0.1047350154536298,,,,,,,,,,,-0.03830101786185484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07,,0.07925423299913134,,,,,,,,,,,0.06492909994501941,,,,,,,,,,,-0.03177933669301818,,,,,,,,,,,-0.12015466235922477,,,,,,,,,,,,,,,,,,,,,,,,,,0.038102831093531256,0.1402294490245001,,,,,,,,,,,0.07591830834796663,,,,,,,,,,,-0.01224202284026123,,,,,,,,,,,0.09114983942764371,,,,,,,,,,,,,,,,,,,,,,,,,,0.03447899181707125,0.08144819445533122,,,,,,,,,,,-0.02614084951333586,,,,,,,,,,,-0.11136282981559203,,,,,,,,,,,-0.0732682184951909,,,,,,,,,,,,,,,,,,,,,,,,,,0.10877612789751306,0.08895461595694382,,,,,,,,,,,-0.013909187053076292,,,,,,,,,,,-0.14405692732920797,,,,,,,,,,,0.1153386452825431,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1402731923737689,,,,,,,,,,,0.1023932140791088,,,,,,,,,,,0.06755123029346193,,,,,,,,,,,0.12947021297913314,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0019421307125373837,0.1330598680283003,,,,,,,,,,,0.045163176291751865,,,,,,,,,,,-0.03257161737568234,,,,,,,,,,,-0.01969034769144832,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08,,-0.1787139927570964,,,,,,,,,,,-0.10632976044033708,,,,,,,,,,,-0.1002337146604754,,,,,,,,,,,-0.1375078876202781,,,,,,,,,,,-0.16981638106039926,,,,,,,,,,,,,,,-0.052250894834539395,-0.156895838513981,,,,,,,,,,,-0.041269549542350376,,,,,,,,,,,-0.0889430743538967,,,,,,,,,,,-0.12253589867772803,,,,,,,,,,,-0.014250765040941476,,,,,,,,,,,,,,,-0.06724223637684737,-0.12697039307185723,,,,,,,,,,,-0.0961189408860737,,,,,,,,,,,-0.12154617988578616,,,,,,,,,,,-0.1643254451638695,,,,,,,,,,,-0.1369135001850882,,,,,,,,,,,,,,,-0.16861240766225216,-0.09592376472379897,,,,,,,,,,,-0.09965165299041552,,,,,,,,,,,-0.11642634549391835,,,,,,,,,,,-0.18064052814198567,,,,,,,,,,,0.007930656495005616,,,,,,,,,,,,,,,,-0.07533134030247625,,,,,,,,,,,0.013628708562926249,,,,,,,,,,,-0.03080509695772708,,,,,,,,,,,-0.04327944826364359,,,,,,,,,,,0.028172447763584078,,,,,,,,,,,,,,,-0.02298131075801175,-0.1727862933222524,,,,,,,,,,,-0.06840429449250715,,,,,,,,,,,-0.10729912710194206,,,,,,,,,,,-0.13274798264368182,,,,,,,,,,,-0.10719637664876026,,,,,,,,,,,,,,
2024-11-11,,0.0055540331942139105,,,,,,,,,,,0.009429864660011675,,,,,,,,,,,-0.0698547859634373,,,,,,,,,,,-0.09550648779821411,,,,,,,,,,,-0.06050101133144689,,,,,,,,,,,-0.04527509055541728,,,,-0.07292460642900908,-0.014580797062450001,,,,,,,,,,,-0.012153534243231607,,,,,,,,,,,-0.08474760322104305,,,,,,,,,,,-0.1034421594568024,,,,,,,,,,,-0.06405458624257832,,,,,,,,,,,-0.040470379533588105,,,,-0.0358560964107323,-0.0023772643393813343,,,,,,,,,,,-0.030718356061092866,,,,,,,,,,,-0.07620732159737506,,,,,,,,,,,-0.038234779891624486,,,,,,,,,,,-0.04214049898396662,,,,,,,,,,,-0.024312960559281435,,,,-0.039236013034771124,0.007285479115553586,,,,,,,,,,,-0.0414921737097533,,,,,,,,,,,-0.09402635231740897,,,,,,,,,,,-0.03630355713756185,,,,,,,,,,,-0.044131067532594895,,,,,,,,,,,-0.00848133461709067,,,,,-0.002106458725269157,,,,,,,,,,,0.03208840453899544,,,,,,,,,,,-0.03896912991642846,,,,,,,,,,,-0.07296667761865361,,,,,,,,,,,-0.05072337323760439,,,,,,,,,,,-0.0294996014392138,,,,-0.04300529988959357,0.00029674349683834393,,,,,,,,,,,-0.008516794863138631,,,,,,,,,,,-0.08490374628402783,,,,,,,,,,,-0.08002854664234492,,,,,,,,,,,-0.056208361361478505,,,,,,,,,,,-0.0446565266357119,,,
2024-11-12,,0.03467210037954084,,,,,,,,,,,0.021872805741321277,,,,,,,,,,,0.029297302305297084,,,,,,,,,,,-0.01794510938973289,,,,,,,,,,,-0.07353215218533704,,,,,,,,,,,-0.06772169153790816,-0.08536812568651357,,,-0.011803600946411856,0.03492722163008435,,,,,,,,,,,0.01269540851225898,,,,,,,,,,,0.025526410486054918,,,,,,,,,,,-0.03246117606417053,,,,,,,,,,,-0.07200771385176549,,,,,,,,,,,-0.07207614037229826,-0.0643372025252116,,,0.03001205646203477,0.006778149180523763,,,,,,,,,,,0.03079553510344346,,,,,,,,,,,0.01240964756986654,,,,,,,,,,,-0.05891724869368749,,,,,,,,,,,-0.045103716699171584,,,,,,,,,,,-0.06554172190906145,-0.06591770284530538,,,0.03898119481816231,0.0029035057692087026,,,,,,,,,,,0.02897106987704768,,,,,,,,,,,0.012114157499678457,,,,,,,,,,,-0.0817513600908326,,,,,,,,,,,-0.047835057357667916,,,,,,,,,,,-0.06374373428415733,-0.04244745558373023,,,,0.06147448760023987,,,,,,,,,,,0.01232012377966922,,,,,,,,,,,0.057849428097499246,,,,,,,,,,,0.017404714838738962,,,,,,,,,,,-0.03211341353507833,,,,,,,,,,,-0.021957756457542946,-0.029979244193363345,,,0.010115078139530342,0.03181889325265849,,,,,,,,,,,0.024716046141127736,,,,,,,,,,,0.02381715868767393,,,,,,,,,,,-0.033704060252501236,,,,,,,,,,,-0.06361432032562536,,,,,,,,,,,-0.07277008418654102,-0.08312134625879701,,
2024-11-13,,-0.11633492782244248,,,,,,,,,,,-0.1065492152623072,,,,,,,,,,,-0.030660496015659282,,,,,,,,,,,0.0027083983463520147,,,,,,,,,,,-0.040692065297812184,,,,,,,,,,,-0.08944313856903553,-0.0657041789431352,-0.07619601223121869,,-0.007191741346309027,-0.11327589065825033,,,,,,,,,,,-0.07735224755154604,,,,,,,,,,,-0.03445405447757745,,,,,,,,,,,0.011141957120262513,,,,,,,,,,,-0.057932416895696136,,,,,,,,,,,-0.08772048039369088,-0.07240509430080777,-0.06655914570907936,,-0.12611217373299635,-0.1126316254436287,,,,,,,,,,,-0.06072380388974299,,,,,,,,,,,-0.028649802983854403,,,,,,,,,,,-0.026544926195888455,,,,,,,,,,,-0.07731275715273181,,,,,,,,,,,-0.05024277368887914,-0.06123079768021492,-0.04708313759030348,,-0.0999018927062393,-0.1035464357794725,,,,,,,,,,,-0.05205065268761251,,,,,,,,,,,-0.013634125245225833,,,,,,,,,,,-0.02100785008268987,,,,,,,,,,,-0.0892488082041007,,,,,,,,,,,-0.05247315778352782,-0.062111874113971406,-0.03279199985443026,,,-0.16110600102864928,,,,,,,,,,,-0.0849776066995557,,,,,,,,,,,-0.06298212519321054,,,,,,,,,,,0.003158312087121594,,,,,,,,,,,-0.048837174045676376,,,,,,,,,,,-0.08755245383141844,-0.07854390620052724,-0.10743380550714836,,-0.06825315349834522,-0.12078791551177565,,,,,,,,,,,-0.09140892879677708,,,,,,,,,,,-0.03679544038510149,,,,,,,,,,,-0.0022298431123658475,,,,,,,,,,,-0.06356786627756278,,,,,,,,,,,-0.07240104989723524,-0.06961951085685626,-0.07555789044778811,
2024-11-14,,0.017854074662313212,,,,,,,,,,,-0.05812035734973467,,,,,,,,,,,-0.0731044357267114,,,,,,,,,,,-0.01311563417550374,,,,,,,,,,,0.007730307608398343,,,,,,,,,,,-0.03636800751403388,-0.08875571612396801,-0.07700479542899431,-0.08293855121514536,0.06609351654329945,0.008063246758823375,,,,,,,,,,,-0.0502549698105979,,,,,,,,,,,-0.052592401468536484,,,,,,,,,,,-0.01658128250534318,,,,,,,,,,,0.008712070903929767,,,,,,,,,,,-0.05905952026805415,-0.08766765436265747,-0.07998396410681698,-0.07756291344390655,-0.04396696233865199,-0.06003165911086808,,,,,,,,,,,-0.0700317419542228,,,,,,,,,,,-0.03264233814602121,,,,,,,,,,,-0.011932590960722404,,,,,,,,,,,-0.018350298895585457,,,,,,,,,,,-0.07910673949542496,-0.05508927367512571,-0.0789233648688175,-0.056882922192347876,0.014148700765773816,-0.04091205638380695,,,,,,,,,,,-0.0685458391405738,,,,,,,,,,,-0.026195793379329063,,,,,,,,,,,-0.0031308033662631146,,,,,,,,,,,-0.028432028145156763,,,,,,,,,,,-0.09052239537013486,-0.06097454849632486,-0.07508498572435345,-0.03344229181517038,,-0.0013532540301501408,,,,,,,,,,,-0.10550363668141213,,,,,,,,,,,-0.12478011454805615,,,,,,,,,,,-0.09087244853516677,,,,,,,,,,,-0.023480188656071585,,,,,,,,,,,-0.07665654134575509,-0.1170697857633066,-0.10952849483647178,-0.1477879543513677,0.006931995875042124,-0.006929708532782596,,,,,,,,,,,-0.056977542318572445,,,,,,,,,,,-0.05940723632787777,,,,,,,,,,,-0.018150752891512616,,,,,,,,,,,0.00020064748683488374,,,,,,,,,,,-0.0627805618102972,-0.07583322258793075,-0.08251647410788453,-0.08745289048688555
