datetime,benchmark,score_equal_weight,score_ic_weighted,score_rule_based
2024-11-01,0.0,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-04,0.014071941,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-05,0.025301933,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-06,-0.0050165653,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-07,0.030171871,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-08,-0.010046542,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-11,0.0065983534,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-12,-0.010987222,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-13,0.00615561,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-14,-0.017336965,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-15,-0.017523944,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-18,-0.004648745,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-19,0.0067107677,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-20,0.0022329092,0.003349360489898201,0.005077115378306685,0.003349360489898201
2024-11-21,0.000885725,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-11-22,-0.030982912,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-11-25,-0.004555464,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-11-26,-0.0020555854,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-11-27,0.017410636,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-11-28,-0.008827686,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-11-29,0.011369705,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-12-02,0.007927895,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-12-03,0.0010790825,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-12-04,-0.0053973794,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-12-05,-0.002282083,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
2024-12-06,0.013145089,0.0034694896228955052,0.004000649315075933,0.0034694896228955052
