factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate
alpha158__ma_240_ratio,0.22357733897823434,0.06402655928441735,3.4919468026551934,0.2345848782706066,0.07650195430456934,3.066390661559808,0.30578512396694213
alpha158__ret_240,0.18136884922795793,0.06455284561499297,2.8096181895633334,0.21678441443628876,0.08279856522722116,2.618214625354618,0.30303030303030304
alpha158__price_volume_ratio,-0.15302231804264152,0.04458964325956845,-3.4317905876002857,-0.18756542989274108,0.07588248453265581,-2.471788200503936,0.0
alpha191__alpha149,-0.13874133696231872,0.04189423659115231,-3.31170462219664,-0.15343082131520724,0.06696213052949229,-2.2913073419554855,0.0
alpha158__ma_120_ratio,0.19580866666266156,0.05945303159637513,3.2935018014220163,0.17344040876330877,0.07876761893532619,2.2019252467910153,0.6363636363636364
alpha158__ret_120,0.17137537443139458,0.05269719882670436,3.2520774964712156,0.16686169945578644,0.07608637992867548,2.193056097716899,0.6336088154269972
alpha158__amplitude_5,0.21997463545724658,0.07982498164178597,2.755711694922539,0.23643781719855184,0.10917249671503337,2.16572693959461,0.9504132231404959
alpha158__amplitude_10,0.22579970759836698,0.08300358898952452,2.720360774121033,0.2444682119460463,0.11291898260930715,2.164987730999061,0.9338842975206612
alpha191__alpha153,-0.10223250246063746,0.0432295751061504,-2.364874098568055,-0.1318382029065523,0.06168501076484347,-2.137281022923833,0.0027548209366391185
alpha191__alpha159,0.22861925728892393,0.08127605740011083,2.812873367656884,0.25026672233417746,0.11758674692043053,2.1283582451985836,0.8898071625344353
alpha158__std_120,0.17622222590427009,0.06657660886742964,2.646909010568138,0.21013225669235158,0.09950650307870798,2.1117439583435114,0.6336088154269972
alpha191__alpha140,-0.14868129507731806,0.0632276555468914,-2.351523139539024,-0.1591039756505301,0.07680640176239423,-2.071493677606835,0.005509641873278237
alpha191__alpha173,-0.10003342189541879,0.044933139066036694,-2.2262727237552467,-0.12852715112240723,0.06271197156691881,-2.049483502288845,0.0027548209366391185
alpha158__price_range_position_120,0.17019937427327422,0.05766399666254597,2.9515708956022197,0.16298160411216808,0.07956338508785252,2.048449848283939,0.6363636363636364
alpha101__alpha041,-0.0959671723255363,0.044096251695732766,-2.176311333392156,-0.12797193575902596,0.06327355108303875,-2.0225186285353027,0.011019283746556474
alpha191__alpha013,-0.0959671723255363,0.044096251695732766,-2.176311333392156,-0.12797193575902596,0.06327355108303875,-2.0225186285353027,0.011019283746556474
alpha158__kbar_high_low_ratio,0.18325168874145817,0.06855201913542698,2.673177115023233,0.20048136632235758,0.09927539244979683,2.019446726677411,0.9559228650137741
alpha191__alpha158,0.18338762204226977,0.06893636234394707,2.660245127633603,0.20051040063309786,0.09948572175239752,2.015469125631244,0.9559228650137741
alpha158__intraday_range_ratio,0.18338762204226977,0.06893636234394707,2.660245127633603,0.20051040063309786,0.09948572175239752,2.015469125631244,0.9559228650137741
alpha191__alpha126,-0.09560826208436628,0.04414078474264272,-2.1659846475724933,-0.12768967031809805,0.06337335456027005,-2.0148794584743213,0.008264462809917356
alpha158__turnover_amount_ratio,-0.0955277879196299,0.044128905388510796,-2.164744107713605,-0.12756086287173252,0.06337370759522987,-2.012835728129847,0.008264462809917356
alpha191__alpha012,0.09464039130620418,0.04577686311270755,2.067428497081361,0.12737553949818378,0.06357208222180938,2.003639570177326,0.9201101928374655
alpha191__alpha120,0.12680565494050997,0.06046616672266668,2.0971340141688675,0.12643590436479246,0.06313993865366599,2.0024711309638157,0.9559228650137741
alpha101__alpha042,0.12680565494050997,0.06046616672266668,2.0971340141688675,0.12643590436479246,0.06313993865366599,2.0024711309638157,0.9559228650137741
alpha158__amplitude_20,0.22116167263307931,0.09077187076117742,2.4364560384015883,0.24454651548490974,0.12223169275690852,2.0006801016104556,0.8898071625344353
alpha158__std_10,0.1942296996381612,0.07642609205155376,2.541405617169882,0.2113588647471177,0.10836119065160113,1.9505033441970092,0.928374655647383
alpha158__amplitude_30,0.2149564025772914,0.09659714565024072,2.2252873118591547,0.2432268588364658,0.12943339322689706,1.8791662087548653,0.8567493112947658
alpha158__std_5,0.1774581983402116,0.07302947640792753,2.429953041823371,0.1891916826170177,0.10336153039124694,1.830387784516,0.9393939393939394
alpha158__std_20,0.19714829488025892,0.08467540666446692,2.328282823151648,0.21630068609038194,0.11874412591555003,1.821569567527184,0.8925619834710744
alpha158__amplitude_60,0.1945674703584857,0.08907183652298752,2.184388219145701,0.23126482299756873,0.129564897880772,1.7849342436126712,0.7768595041322314
alpha158__return_mean_60,0.17101180365979574,0.06847607613024752,2.4973949052588273,0.14356965907190175,0.08236357194129851,1.7431208444216764,0.7851239669421488
