factor,auto_label,usage,ic_future,ic_past_5d,ic_risk,ic_stability,monotonicity,top_bottom_spread,ic_future_vol,ic_future_drawdown,ic_past_1d,ic_past_3d,ic_past_10d
alpha158__std_120,trend,alpha_core,0.21489845625455967,0.003665061965933087,0.2681795274344848,1.0,1.0,0.06297616615140128,0.37631373211106117,0.16004532275790845,-0.02601313513598351,-0.012393111394776475,0.04672348221996949
alpha158__price_range_position_120,trend,alpha_core,0.12087545073888337,0.3168842271294051,0.16551723826677808,0.9902912621359223,1.0,0.04627396204550144,0.21498621588815311,0.11604826064540305,0.13776631699353606,0.2508879082407474,0.42109461835072265
alpha158__ma_120_ratio,trend,alpha_core,0.14939204155425742,0.25421551397214537,0.24471124392849958,0.9805825242718447,1.0,0.05587399131513135,0.30882624627661714,0.18059624158038204,0.08428862764369383,0.18527892527784387,0.3830916178649267
alpha101__alpha042,trend,alpha_core,0.1172808937762649,0.002107200877942948,-0.02810978723106293,0.9774774774774775,0.75,0.033275898146740646,0.008015722981446646,-0.06423529744357251,0.0034546011297187586,0.0019430861606997722,0.0031022845731114713
alpha191__alpha120,trend,alpha_core,0.1172808937762649,0.002107200877942948,-0.02810978723106293,0.9774774774774775,0.75,0.033275898146740646,0.008015722981446646,-0.06423529744357251,0.0034546011297187586,0.0019430861606997722,0.0031022845731114713
alpha191__alpha012,trend,alpha_core,0.11668521290301889,0.007442993408855935,-0.025075183387717616,0.9765258215962441,0.75,0.0327142311092708,0.011605706785957261,-0.0617560735613925,0.020053799782562807,0.010036257416076656,0.006930753803056456
alpha158__amplitude_5,trend,alpha_core,0.220312891005766,0.2106208227667128,0.3359095135491689,0.9724770642201835,1.0,0.07190054174817305,0.44232585848004685,0.229493168618291,-0.016408407767542463,0.08866411900889064,0.3276551208050369
alpha158__ret_120,trend,alpha_core,0.12336200174656256,0.11792755345637507,0.2046449259044767,0.9705882352941176,0.75,0.04553976527666677,0.2578619880529385,0.1514278637560149,0.032773607518805786,0.0822307600882936,0.19309271294001218
alpha158__kbar_high_low_ratio,trend,alpha_core,0.18713224312698576,0.2621134117060157,0.29467637027825133,0.963963963963964,1.0,0.06166908153165758,0.3849749121007255,0.20437782845577718,0.1490628098146748,0.23137322940830388,0.3046997954543924
alpha158__intraday_range_ratio,trend,alpha_core,0.18712853105158053,0.25879679038055065,0.29438160128719026,0.963963963963964,1.0,0.06158336473889087,0.3847315557325634,0.20403164684181707,0.13953683164574504,0.22659241713009945,0.3026659109872686
