factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate
alpha101__alpha041,-0.0969505879376647,0.042986043061076604,-2.255396892426519,-0.1288268966934838,0.06274121867175173,-2.0533056166390042,0.005509641873278237
alpha101__alpha042,0.12734588924617748,0.05983906134848338,2.1281398199840758,0.12731392006613687,0.06262174205080746,2.0330625737438304,0.9559228650137741
alpha101__alpha024,-0.10540333729659881,0.051039911821767384,-2.065115975604931,-0.12861514011075725,0.08424070011701439,-1.5267577303144992,0.013774104683195593
alpha101__alpha053,-0.0878845365843647,0.0527525216791423,-1.6659779245986863,-0.08822936330147706,0.06260072593662266,-1.4093984052325683,0.04132231404958678
alpha101__alpha068,-0.08751185596356735,0.05366410457681195,-1.630733553716666,-0.08698464182068862,0.061799974442222794,-1.4075190581512478,0.05785123966942149
alpha101__alpha073,-0.08635503619997384,0.05255108409380412,-1.6432588915925956,-0.08695316599264656,0.06234015625652903,-1.394817902522337,0.049586776859504134
alpha101__alpha063,-0.07961582914887573,0.0500534591892643,-1.5906159222248542,-0.08119504281575038,0.05826112976577849,-1.3936400331090533,0.046831955922865015
alpha101__alpha083,-0.08681025267732227,0.0550553947711368,-1.5767801327769826,-0.08578662398738293,0.06171169838777194,-1.3901193165732317,0.05509641873278237
alpha101__alpha088,-0.08631268494496656,0.05353040882056666,-1.612404740533287,-0.08593826091344735,0.061823160623129696,-1.3900657948777784,0.05509641873278237
alpha101__alpha093,-0.08445910587705205,0.052111184909848125,-1.620748137336841,-0.08544547603593308,0.061741918061685656,-1.3839135342469515,0.05509641873278237
alpha101__alpha058,-0.08578759484391976,0.05162426120312161,-1.6617689598768024,-0.08756649210904717,0.06331044712329625,-1.383128631811944,0.0440771349862259
alpha101__alpha078,-0.08369178379700937,0.05078552295179813,-1.6479456926424372,-0.08568872153331487,0.0624066173175775,-1.3730710815050013,0.05234159779614325
alpha101__alpha098,-0.08054600089731395,0.04964106578065253,-1.6225679209471473,-0.08294781858105911,0.06128802940741079,-1.3534097830045302,0.046831955922865015
alpha101__alpha016,-0.09655562725884691,0.06721706805501239,-1.436474842666791,-0.08472277189536574,0.0915856370638105,-0.9250661414992049,0.0743801652892562
alpha101__alpha031,-0.10434958645031531,0.06678280832928334,-1.5625216887526345,-0.08497905133837048,0.09483953870261183,-0.8960297835783358,0.06611570247933884
alpha101__alpha013,-0.04852992924516515,0.04183392161099488,-1.1600616766564482,-0.0463626369839914,0.05569808355487798,-0.8323919608169537,0.12121212121212122
alpha101__alpha015,-0.03683532835752547,0.034537320511782175,-1.0665369464593915,-0.035855192992937476,0.046145670830217825,-0.7770001464462019,0.1652892561983471
alpha101__alpha032,0.009526728157266835,0.07757353259650343,0.12280900248310009,0.060791117848620284,0.0862312123427554,0.7049781186768572,0.17079889807162535
alpha101__alpha002,-0.040136187683772195,0.043721635387329025,-0.9179937421875137,-0.035509589561658644,0.05167989600545085,-0.6871064438270799,0.18457300275482094
alpha101__alpha050,-0.04482455516727829,0.03904253164101233,-1.1480955072132724,-0.035469581854660995,0.05257977458456098,-0.6745860387365743,0.09641873278236915
alpha101__alpha099,-0.04037212515763903,0.04871122695303533,-0.8288053428948443,-0.04465346186124428,0.06870530373297257,-0.6499274355120056,0.18181818181818182
alpha101__alpha084,-0.04291633032090316,0.047122374158977166,-0.9107421068411359,-0.04166743009693567,0.06575948935635456,-0.6336337235092779,0.1652892561983471
alpha101__alpha079,-0.03991379861939301,0.05017183068476941,-0.7955420018490492,-0.04394023946536668,0.07142472748524059,-0.6151964594397173,0.19559228650137742
alpha101__alpha064,-0.043689360434475105,0.04872453833631234,-0.8966603261157073,-0.04180434190549716,0.06883593933188357,-0.6073040087960874,0.16804407713498623
alpha101__alpha094,-0.04095191644856836,0.05153621917279673,-0.7946239965966446,-0.043326133281719394,0.07251386616118187,-0.5974875644530555,0.18181818181818182
alpha101__alpha059,-0.03942277431186438,0.051733807102321304,-0.7620311846350755,-0.04371704846927802,0.07369837995151139,-0.5931887308518982,0.18732782369146006
alpha101__alpha074,-0.04075703485039448,0.05277809367503652,-0.7722339329143321,-0.04365383682803614,0.07400450500604985,-0.5898808028574403,0.18181818181818182
alpha101__alpha054,-0.04022363761966959,0.053242586265971,-0.7554786579813043,-0.04368359717273271,0.07459514199921716,-0.5856091429277144,0.1928374655647383
alpha101__alpha089,-0.04219801939651774,0.053515206062435,-0.788523907528007,-0.04336425621468117,0.07501312836856391,-0.5780888913420391,0.18181818181818182
