关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,stock_code
000001,25股受融资客青睐，净买入超亿元,0.4215064.381770266.580.99食品饮料002384东山精密-0.1015033.82608988.466.35电子000001,2025-11-05 09:31:01,证券时报网,http://finance.eastmoney.com/a/202511053555582378.html,000001
000001,主力动向：11月4日特大单净流出518.32亿元,子300058蓝色光标7.863.692.84传媒000001平安银行11.591.402.,2025-11-04 17:13:25,证券时报网,http://finance.eastmoney.com/a/202511043554728032.html,000001
000001,险资三季度A股调仓动向：一手加码“压舱石”银行股，一手增配科技股要收益,除去平安系对于中国平安、平安银行（000001.SZ），,2025-11-03 19:27:02,界面新闻,http://finance.eastmoney.com/a/202511033553659375.html,000001
000001,上市银行三季报扫描：万亿城商行再添一员，营收增速三年来首度转正,值得注意的是，平安银行（000001.SZ）总资产相比去年末微降25亿元，是唯一一家缩表的上市银行，主要因为个人贷款收缩，,2025-11-03 19:13:59,界面新闻,http://finance.eastmoney.com/a/202511033553652824.html,000001
000001,银行ETF指数(512730)涨超1.2%，三季度险资频繁增持银行,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-11-03 10:48:59,界面新闻,http://finance.eastmoney.com/a/202511033553291088.html,000001
000001,银行鏖战“双十一” 存量时代信用卡营销策略生变,例如，平安银行（000001.SZ）的“三省”策略，覆盖从消费到还款的整个周期，,2025-11-01 03:01:27,中国经营网,http://finance.eastmoney.com/a/202511013552250874.html,000001
000001,金价波动银行出新招：积存金起点金额启动“浮动”机制,同日，平安银行（000001.SZ）公告称，自2025年10月24日起，该行平安金积存业务按金额设定的定投计划起投金额由900,2025-10-31 12:59:33,中国经营报,http://finance.eastmoney.com/a/202510313551744071.html,000001
000001,华夏成长混合A：2025年第三季度利润7.78亿元 净值增长率31.05%,AI基金华夏成长混合A（000001）披露2025年三季报，第三季度基金利润7.78亿元，加权平均基金份额本期利润0.2667,2025-10-30 12:54:18,中国证券报·中证网,http://finance.eastmoney.com/a/202510303549935445.html,000001
000001,天地科技：2025年前三季度净利润23.40亿元 同比增长7.55%,(百分点)中国煤炭科工集团有限公司229875.755.544464不变北京诚通金控投资有限公司20692.955.000001,2025-10-30 02:52:29,中国证券报·中证网,http://finance.eastmoney.com/a/202510303549107816.html,000001
000001,君逸数码：2025年前三季度净利润1714.34万元,股东名称持流通股数(万股)占总股本比例(%)变动比例(百分点)成都高新投资集团有限公司215612.5不变徐飞344.962.000001,2025-10-29 23:41:07,中国证券报·中证网,http://finance.eastmoney.com/a/202510293549033112.html,000001
000001,汇纳科技：2025年前三季度净利润同比减亏297.3万元,上海金石一号智能科技合伙企业(有限合伙)1201.149.999978新进上海宝金石一号智能科技合伙企业(有限合伙)600.575.000001,2025-10-29 22:57:03,中国证券报·中证网,http://finance.eastmoney.com/a/202510293549006390.html,000001
