,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,857488.9438630546
Total Return [%],-14.251105613694534
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000135
Total Fees Paid,0.0
Max Drawdown [%],24.387676840608037
Max Drawdown Duration,352 days 00:00:00
Total Trades,47484
Total Closed Trades,47224
Total Open Trades,260
Open Trade PnL,13117.965218990208
Win Rate [%],68.24707775707267
Best Trade [%],333.81635152470517
Worst Trade [%],-31.375938170218376
Avg Winning Trade [%],9.269772165582149
Avg Losing Trade [%],-3.9660893003683855
Avg Winning Trade Duration,7 days 12:13:33.627478358
Avg Losing Trade Duration,6 days 02:03:37.534394389
Profit Factor,0.877288912556964
Expectancy,-3.598016260541428
Sharpe Ratio,-0.4594997350645679
Calmar Ratio,-0.5933800976097013
Omega Ratio,0.9366555647676641
Sortino Ratio,-0.5794324468817087
