factor,direction,strict_decreasing,strict_increasing,decreasing_score,increasing_score,best_monotonic_score,spearman,top_bottom_spread,abs_top_bottom_spread,g1_return,g2_return,g3_return,g4_return,g5_return
alpha158.amount_mean_10_ratio,increasing,False,True,0.0,1.0,1.0,1.0,-0.0054704336443008,0.0054704336443008,0.0010506671405427,0.0040901545939163,0.0053318680761655,0.0065171718180646,0.0065211007848436
alpha158.amount_mean_20_ratio,increasing,False,True,0.0,1.0,1.0,1.0,-0.0043068951247557,0.0043068951247557,0.0007895247364899,0.0031583056875788,0.004107085718035,0.0049256890586035,0.0050964198612456
