date,code
20250127,603601.SH
20250127,601326.SH
20250127,603408.SH
20250127,600758.SH
20250127,601515.SH
20250127,600261.SH
20250127,600052.SH
20250127,600821.SH
20250127,600313.SH
20250127,600300.SH
20250127,600971.SH
20250127,603636.SH
20250127,600717.SH
20250127,003015.SZ
20250127,000042.SZ
20250127,002394.SZ
20250127,002398.SZ
20250127,002973.SZ
20250127,002098.SZ
20250127,000532.SZ
20250127,002256.SZ
20250127,000061.SZ
20250127,000818.SZ
20250127,002445.SZ
20250127,002088.SZ
20250127,002014.SZ
20250205,601801.SH
20250205,600537.SH
20250205,600173.SH
20250205,600261.SH
20250205,601789.SH
20250205,603316.SH
20250205,600916.SH
20250205,600055.SH
20250205,600633.SH
20250205,603636.SH
20250205,600271.SH
20250205,002609.SZ
20250205,002406.SZ
20250205,002153.SZ
20250205,000503.SZ
20250205,002197.SZ
20250205,002313.SZ
20250205,002276.SZ
20250205,000532.SZ
20250205,002268.SZ
20250205,002410.SZ
20250205,002675.SZ
20250205,002067.SZ
20250205,002373.SZ
20250205,000818.SZ
20250205,002123.SZ
20250206,601801.SH
20250206,600308.SH
20250206,605055.SH
20250206,600155.SH
20250206,603066.SH
20250206,600821.SH
20250206,603693.SH
20250206,600366.SH
20250206,600552.SH
20250206,002845.SZ
20250206,003015.SZ
20250206,002413.SZ
20250206,000868.SZ
20250206,002036.SZ
20250206,002363.SZ
20250206,002284.SZ
20250206,002197.SZ
20250206,002823.SZ
20250206,002590.SZ
20250206,002373.SZ
20250206,002053.SZ
20250206,002448.SZ
20250206,002125.SZ
20250206,002724.SZ
20250206,000818.SZ
20250206,002526.SZ
20250207,603300.SH
20250207,600207.SH
20250207,600785.SH
20250207,603390.SH
20250207,603108.SH
20250207,600523.SH
20250207,600596.SH
20250207,600666.SH
20250207,600203.SH
20250207,600633.SH
20250207,600756.SH
20250207,601636.SH
20250207,000779.SZ
20250207,000042.SZ
20250207,002369.SZ
20250207,002010.SZ
20250207,002036.SZ
20250207,000536.SZ
20250207,002849.SZ
20250207,002577.SZ
20250207,002098.SZ
20250207,002063.SZ
20250207,002250.SZ
20250207,002448.SZ
20250207,002674.SZ
20250207,000520.SZ
20250210,600537.SH
20250210,600718.SH
20250210,600785.SH
20250210,600996.SH
20250210,600603.SH
20250210,601568.SH
20250210,600846.SH
20250210,600814.SH
20250210,600526.SH
20250210,600770.SH
20250210,600589.SH
20250210,603189.SH
20250210,002571.SZ
20250210,002386.SZ
20250210,002093.SZ
20250210,002197.SZ
20250210,000419.SZ
20250210,002033.SZ
20250210,002229.SZ
20250210,002987.SZ
20250210,002059.SZ
20250210,002382.SZ
20250210,002573.SZ
20250210,002951.SZ
20250210,000948.SZ
20250210,000818.SZ
20250211,603020.SH
20250211,600081.SH
20250211,603660.SH
20250211,603703.SH
20250211,600746.SH
20250211,603956.SH
20250211,600739.SH
20250211,600596.SH
20250211,603107.SH
20250211,601811.SH
20250211,600666.SH
20250211,600916.SH
20250211,600054.SH
20250211,603126.SH
20250211,601921.SH
20250211,600633.SH
20250211,603610.SH
20250211,600422.SH
20250211,603608.SH
20250211,002426.SZ
20250211,002441.SZ
20250211,002577.SZ
20250211,000890.SZ
20250211,000156.SZ
20250211,002867.SZ
20250211,002948.SZ
20250212,600611.SH
20250212,600173.SH
20250212,600797.SH
20250212,600310.SH
20250212,600172.SH
20250212,601116.SH
20250212,600133.SH
20250212,600996.SH
20250212,600386.SH
20250212,600651.SH
20250212,603956.SH
20250212,601177.SH
20250212,603327.SH
20250212,600596.SH
20250212,600405.SH
20250212,603848.SH
20250212,603010.SH
20250212,605008.SH
20250212,603206.SH
20250212,600409.SH
20250212,002811.SZ
20250212,002153.SZ
20250212,002649.SZ
20250212,000156.SZ
20250212,000682.SZ
20250212,002123.SZ
20250213,600868.SH
20250213,600081.SH
20250213,603477.SH
20250213,601116.SH
20250213,601177.SH
20250213,600975.SH
20250213,603278.SH
20250213,603918.SH
20250213,601789.SH
20250213,600658.SH
20250213,600199.SH
20250213,600986.SH
20250213,603636.SH
20250213,603086.SH
20250213,601599.SH
20250213,002761.SZ
20250213,002254.SZ
20250213,002238.SZ
20250213,000892.SZ
20250213,002649.SZ
20250213,001330.SZ
20250213,002091.SZ
20250213,002307.SZ
20250213,002110.SZ
20250213,002567.SZ
20250213,000506.SZ
20250214,603566.SH
20250214,600718.SH
20250214,601116.SH
20250214,603108.SH
20250214,603085.SH
20250214,600229.SH
20250214,603258.SH
20250214,600539.SH
20250214,600055.SH
20250214,600861.SH
20250214,603739.SH
20250214,603990.SH
20250214,600012.SH
20250214,002030.SZ
20250214,002550.SZ
20250214,002183.SZ
20250214,000695.SZ
20250214,002254.SZ
20250214,002191.SZ
20250214,000503.SZ
20250214,002632.SZ
20250214,000710.SZ
20250214,002410.SZ
20250214,002091.SZ
20250214,002208.SZ
20250214,000948.SZ
20250217,600127.SH
20250217,600101.SH
20250217,603222.SH
