,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1445441.8566814899
Total Return [%],44.544185668148984
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000135
Total Fees Paid,0.0
Max Drawdown [%],14.87852899211547
Max Drawdown Duration,64 days 00:00:00
Total Trades,38403
Total Closed Trades,38143
Total Open Trades,260
Open Trade PnL,-36719.75082376859
Win Rate [%],58.385549117793566
Best Trade [%],184.58061218487674
Worst Trade [%],-36.46012901045982
Avg Winning Trade [%],6.16995303122974
Avg Losing Trade [%],-4.639848692435793
Avg Winning Trade Duration,19 days 09:01:16.623259990
Avg Losing Trade Duration,21 days 05:05:55.141608059
Profit Factor,2.0696812451256545
Expectancy,12.57350664125013
Sharpe Ratio,1.7610878634806193
Calmar Ratio,3.0538597735768214
Omega Ratio,1.3113023527799499
Sortino Ratio,2.3163415037800754
