,G1,G2,G3,G4,G5
20241104,0.07070251988885284,0.0648322787456763,0.069898331573601,0.06646300788983406,0.07782412828385016
20241111,-0.0778098566965035,-0.0610455872197274,-0.04204335325781621,-0.050659408326411824,-0.06989862165990282
20241118,0.037903109983937554,0.03756706278210543,0.03667270714586854,0.03120944866954447,0.033254734019901616
20241125,0.04386834057172696,0.06051461694500848,0.05657001843582292,0.05161713141260725,0.043882488303418545
20241202,0.017192971968146602,0.019092734149309357,0.01282288833278145,0.01162973340795026,0.005521356574695437
20241209,0.02131007465815275,0.016454585243137223,0.025446700276223238,0.013776813773072823,0.030695674969638365
20241216,-0.09145711901131198,-0.06045285602190364,-0.0667940456682673,-0.056927970565711826,-0.0742320466477923
20241223,0.004053728390883242,0.009805120540484472,0.018051166289839556,0.006160552702961814,-0.009394386064836256
20241230,-0.07407948829466497,-0.06481250964055102,-0.06868005080336993,-0.07225302404928345,-0.09106530419253023
20250106,-0.022283866016910677,-0.01252876965891242,-0.011053491497404293,-0.010319020661705472,-0.016743865565530085
20250113,0.052024416851027114,0.05151432626263516,0.05481525339217412,0.06690757521345664,0.07158449510460754
20250120,-0.021786278212529632,-0.009115320041745777,-0.011835905128545581,-0.009370111813476462,-0.03047010248413267
20250127,0.015612004174068215,0.005350841306003987,4.267388467405392e-05,0.0016782155899216342,0.001735414582790717
20250205,0.07750562871876565,0.04661931804326109,0.041227910936156895,0.03445686784559471,0.04100316136403387
20250210,0.023985341740058702,0.010437320735322766,0.008487816242686325,0.007039983099423156,0.008198953123896532
20250217,0.014108803050495035,0.0072034116266500485,0.0037515578116953385,0.006906947375589467,0.006465756629611763
20250224,-0.010011387307508135,-0.007963100129853769,-0.006376347287523308,-0.008204707949372834,-0.027188557615263835
20250303,0.03109113592773045,0.019714772131710964,0.021362181150126267,0.024362904874462004,0.028623488086358822
20250310,0.024129399960084844,0.026357585425747117,0.0307799766384231,0.03463869103624042,0.019193407018338115
20250317,-0.015405833575341562,-0.014726344428313125,-0.016616426461984215,-0.021541200207969645,-0.03135428179816841
20250324,-0.03509691571868083,-0.017615152876229574,-0.019062219140943658,-0.021102787002771135,-0.03221937009488366
20250331,-0.07199768322488043,-0.07310631286510172,-0.07912523201428125,-0.08097880743001641,-0.08563705282186233
20250407,0.0734734612114229,0.07105996101368567,0.07385781580505185,0.052448921501638275,0.03269506420813281
20250414,0.010186123917530982,0.01309954008834868,0.015012529987061993,0.01503416556188378,0.005624671247161162
20250421,-0.00894630475649152,0.002929811616090634,-0.0009906648571350934,-0.006137129058033911,-0.017779809232630946
20250428,0.026530388168406475,0.034555334404500065,0.03514673504546347,0.03472919132317461,0.031405524506626994
20250506,0.02347735545645024,0.019005855075384354,0.01623541417850428,0.014228503382381488,0.009738094321047943
20250512,0.012430036251554701,0.016562614333690683,0.022908147757767724,0.016000911898621704,0.023786757099917528
20250519,-0.0038191020217608726,-0.011013994544363961,-0.010188883199155936,-0.009022149577549597,-0.01417114253816908
20250526,0.014813503633752778,0.012050122375831628,0.015570849717313002,0.016068017475258264,0.017549517594252963
20250603,0.025998390049021283,0.020268690199607132,0.018878503211118114,0.024798498267822183,0.01428851124363773
20250609,-0.009326928136854696,-0.011849304576032685,-0.012122335919060952,-0.015290269642885958,-0.015091571986138762
20250616,-0.0032083773825633006,-0.013441827904748618,-0.015425343285896162,-0.013602583980433456,-0.030094643036786516
20250623,0.022059069713015633,0.028378307737015395,0.043723298698985585,0.04703960324069243,0.04873208961151922
20250630,0.009171829151540708,0.01521555119395527,0.015008051492263932,0.015604559786209444,0.009549004535336273
20250707,0.018827276103105358,0.023663711967210545,0.02260708697123725,0.0247637749271693,0.02136707709701215
20250714,0.01951374797344354,0.015509572138477621,0.017541333359409658,0.012819930511808353,0.005633779574936864
20250721,0.001919767237960165,0.006001937156750696,0.007420615016751456,0.007621080229889589,0.0011665297501726806
20250728,-0.003319136472209957,-0.008488256956135974,-0.005657299885822444,-0.004039656940819683,-0.012456893924688253
20250804,0.029771479344510302,0.02659280965581398,0.027968260844258505,0.026137248161931387,0.028664397117164904
20250811,0.009274126017181687,0.00602211993929311,0.013416800574479422,0.011311234940516337,0.014375986408826799
20250818,0.019932094275214217,0.03196598210847847,0.024857145877873833,0.029555585396956484,0.024483974252526755
20250825,-0.013406975659553066,-0.00688974048627312,-0.014863385358929247,-0.013635030518795242,-0.013295769424628307
20250901,-0.01187192915903749,0.0005504224403512686,0.0008600881824421073,0.0019421456559957342,-0.008153162741645494
