,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1334754.442709813
Total Return [%],33.4754442709813
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000202
Total Fees Paid,0.0
Max Drawdown [%],14.14860715226878
Max Drawdown Duration,60 days 00:00:00
Total Trades,44113
Total Closed Trades,43853
Total Open Trades,260
Open Trade PnL,-25289.058055386766
Win Rate [%],61.630903244931936
Best Trade [%],122.57100149476834
Worst Trade [%],-30.37691859090483
Avg Winning Trade [%],3.9768444681416812
Avg Losing Trade [%],-3.16363195390252
Avg Winning Trade Duration,5 days 23:22:19.860139860
Avg Losing Trade Duration,7 days 11:47:53.817873987
Profit Factor,1.3799006082852838
Expectancy,7.833883666266569
Sharpe Ratio,1.465908976224622
Calmar Ratio,2.4116250150537546
Omega Ratio,1.254690958203291
Sortino Ratio,1.9224699665438683
