,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1038515.5718545321
Total Return [%],3.851557185453216
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000186
Total Fees Paid,0.0
Max Drawdown [%],20.863823830295
Max Drawdown Duration,159 days 00:00:00
Total Trades,48454
Total Closed Trades,48194
Total Open Trades,260
Open Trade PnL,-3674.675137041922
Win Rate [%],63.16968917292609
Best Trade [%],287.72761748186275
Worst Trade [%],-32.42860144843949
Avg Winning Trade [%],6.339902382829813
Avg Losing Trade [%],-3.6619728564218175
Avg Winning Trade Duration,4 days 11:29:12.463539613
Avg Losing Trade Duration,4 days 17:55:07.277075503
Profit Factor,1.02903688753846
Expectancy,0.5526852171776184
Sharpe Ratio,0.2801265978170931
Calmar Ratio,0.1877495420973772
Omega Ratio,1.0418166849180472
Sortino Ratio,0.3575515092182204
