,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1184056.8236732758
Total Return [%],18.40568236732759
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000138
Total Fees Paid,0.0
Max Drawdown [%],20.5908596012478
Max Drawdown Duration,111 days 00:00:00
Total Trades,4786
Total Closed Trades,4760
Total Open Trades,26
Open Trade PnL,-12633.672112506669
Win Rate [%],61.53361344537815
Best Trade [%],115.54496724240614
Worst Trade [%],-30.13448891297869
Avg Winning Trade [%],5.217558487798509
Avg Losing Trade [%],-4.199127930006626
Avg Winning Trade Duration,3 days 23:31:29.108910891
Avg Losing Trade Duration,5 days 03:48:08.089887640
Profit Factor,1.1285855134756413
Expectancy,32.114184841928704
Sharpe Ratio,0.8129643042230216
Calmar Ratio,0.9101362306446791
Omega Ratio,1.1263758037387774
Sortino Ratio,1.0856833570278706
Excess Return [%],-33.663167478335765
