,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,815274.8592305705
Total Return [%],-18.472514076942943
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000244
Total Fees Paid,0.0
Max Drawdown [%],28.249795263873356
Max Drawdown Duration,329 days 00:00:00
Total Trades,39671
Total Closed Trades,39411
Total Open Trades,260
Open Trade PnL,-3292.146742284211
Win Rate [%],58.656212732485855
Best Trade [%],166.69042429930346
Worst Trade [%],-38.98035094748558
Avg Winning Trade [%],13.917891620999848
Avg Losing Trade [%],-7.716927993674067
Avg Winning Trade Duration,26 days 15:43:28.314227625
Avg Losing Trade Duration,21 days 02:38:56.247924737
Profit Factor,0.7549784718819635
Expectancy,-4.6394272814130595
Sharpe Ratio,-0.5199598976528403
Calmar Ratio,-0.6637329031285889
Omega Ratio,0.926505623854609
Sortino Ratio,-0.6593647208899706
