buy_trade_id,buy_order_id,buy_ts,buy_px,sell_trade_id,sell_order_id,sell_ts,sell_px,qty,pnl
7,540298964,2026-02-27 09:30:54,0.818000,2,540289960,2026-02-27 09:30:06,0.822000,100,0.400000
12,540307940,2026-02-27 09:31:33,0.821000,2,540289960,2026-02-27 09:30:06,0.822000,100,0.100000
17,540328959,2026-02-27 09:32:45,0.821000,2,540289960,2026-02-27 09:30:06,0.822000,100,0.100000
16,540320905,2026-02-27 09:32:21,0.822000,19,540331951,2026-02-27 09:32:57,0.823000,100,0.100000
15,540318911,2026-02-27 09:32:15,0.823000,20,540334944,2026-02-27 09:33:06,0.824000,100,0.100000
23,540346419,2026-02-27 09:33:45,0.821000,3,540289960,2026-02-27 09:30:09,0.822000,100,0.100000
25,540349411,2026-02-27 09:33:57,0.821000,3,540289960,2026-02-27 09:30:09,0.822000,100,0.100000
27,540353925,2026-02-27 09:34:12,0.821000,4,540289960,2026-02-27 09:30:12,0.822000,100,0.100000
22,540338933,2026-02-27 09:33:21,0.822000,29,540377350,2026-02-27 09:35:30,0.823000,100,0.100000
30,540379344,2026-02-27 09:35:33,0.821000,4,540289960,2026-02-27 09:30:12,0.822000,100,0.100000
31,540379344,2026-02-27 09:35:33,0.821000,11,540306943,2026-02-27 09:31:27,0.822000,100,0.100000
33,540389857,2026-02-27 09:36:06,0.821000,11,540306943,2026-02-27 09:31:27,0.822000,100,0.100000
35,540391848,2026-02-27 09:36:15,0.821000,13,540308937,2026-02-27 09:31:36,0.822000,100,0.100000
37,540397886,2026-02-27 09:36:33,0.821000,18,540329957,2026-02-27 09:32:48,0.822000,100,0.100000
38,540404848,2026-02-27 09:36:57,0.820000,24,540349411,2026-02-27 09:33:54,0.822000,100,0.200000
40,540422800,2026-02-27 09:37:57,0.820000,26,540351406,2026-02-27 09:34:03,0.822000,100,0.200000
41,540495146,2026-02-27 09:42:03,0.819000,28,540354901,2026-02-27 09:34:15,0.822000,100,0.300000
43,540527097,2026-02-27 09:43:51,0.819000,32,540388335,2026-02-27 09:36:00,0.822000,100,0.300000
44,540547583,2026-02-27 09:44:57,0.818000,34,540391848,2026-02-27 09:36:12,0.822000,100,0.400000
