,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,923859.7016302473
Total Return [%],-7.61402983697527
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000256
Total Fees Paid,0.0
Max Drawdown [%],23.482217356683464
Max Drawdown Duration,242 days 00:00:00
Total Trades,49645
Total Closed Trades,49385
Total Open Trades,260
Open Trade PnL,7001.111743532516
Win Rate [%],66.70041510580135
Best Trade [%],232.40514075887396
Worst Trade [%],-32.014740777465114
Avg Winning Trade [%],8.083131843941931
Avg Losing Trade [%],-3.744397346299639
Avg Winning Trade Duration,4 days 22:27:32.459016393
Avg Losing Trade Duration,4 days 11:58:13.648449039
Profit Factor,0.9436673673335403
Expectancy,-2.045885966513943
Sharpe Ratio,-0.1810414028908692
Calmar Ratio,-0.32945059531543447
Omega Ratio,0.9739641951400837
Sortino Ratio,-0.228670288066677
