date,returns
2024-11-01,0.0
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-11,0.0
2024-11-12,0.0
2024-11-13,0.0
2024-11-14,0.0
2024-11-15,3.4924596548080445e-16
2024-11-18,-0.02666289921044092
2024-11-19,0.02001242270741985
2024-11-20,0.023060566937630735
2024-11-21,0.019273057319428008
2024-11-22,-0.03046031865971199
2024-11-25,0.013027609466135454
2024-11-26,-0.0027416087170049736
2024-11-27,0.009861315390922701
2024-11-28,0.0021467181660922018
2024-11-29,0.018595956428441904
2024-12-02,0.01481553076208429
2024-12-03,0.0012912745938296348
2024-12-04,-0.0014013965118960393
2024-12-05,0.0029708845388832505
2024-12-06,0.008787128170705422
2024-12-09,-0.0014330511088688654
2024-12-10,0.01304423008194411
2024-12-11,0.010667848196634536
2024-12-12,0.012086160014675267
2024-12-13,-0.015098031002301568
2024-12-16,-0.007780772074507186
2024-12-17,-0.043213191223615964
2024-12-18,0.004803412411399534
2024-12-19,0.0018718449519764674
2024-12-20,0.0024095696625162496
2024-12-23,-0.029035075617270503
2024-12-24,0.009070232669420848
2024-12-25,-0.021701298860024587
2024-12-26,0.005901010181346286
2024-12-27,0.017069147821430517
2024-12-30,-0.004955129011188147
2024-12-31,-0.007120181411660219
2025-01-02,-0.016666111749228604
2025-01-03,-0.021654684030299777
2025-01-06,-0.01021477269568064
2025-01-07,-0.003343832203000488
2025-01-08,-0.010622683558700266
2025-01-09,-0.00966723982273519
2025-01-10,-0.015889021521096607
2025-01-13,0.003512825048177276
2025-01-14,0.0392209011321891
2025-01-15,-0.006681346817327397
2025-01-16,0.00540005241152482
2025-01-17,0.0016524940913540138
2025-01-20,0.01240082904740556
2025-01-21,-0.009407530090064474
2025-01-22,-0.013324666922045496
2025-01-23,-0.0004220131332105649
2025-01-24,0.006893306516199595
2025-01-27,-0.0014033231229764961
2025-02-05,0.004400931718505046
2025-02-06,0.015329436630042815
2025-02-07,0.014325640701574941
2025-02-10,0.011795767437476214
2025-02-11,0.000363916788200692
2025-02-12,0.007109135228327552
2025-02-13,-0.00565126961354828
2025-02-14,0.0006461117029058837
2025-02-17,0.012209509039159284
2025-02-18,-0.0123940690967978
2025-02-19,0.014967526456564748
2025-02-20,0.014563384038566602
2025-02-21,-0.0019341762401848318
2025-02-24,0.011494099140178574
2025-02-25,0.0019143141961390886
2025-02-26,0.016048852205879403
2025-02-27,0.010398585152607125
2025-02-28,-0.015165366510261334
2025-03-03,-0.002929001655396596
2025-03-04,-0.0013572542906589487
2025-03-05,-0.004977175984213104
2025-03-06,0.012709974890258484
2025-03-07,2.9184638186844998e-05
2025-03-10,0.01880304784068432
2025-03-11,0.014547962845733812
2025-03-12,-0.0015727026693786454
2025-03-13,-0.004640188012657511
2025-03-14,0.015828992102966073
2025-03-17,0.004609868970380565
2025-03-18,0.0009170497648780889
2025-03-19,-0.0020802893980201125
2025-03-20,-0.00249334516521018
2025-03-21,-0.00895717358359564
2025-03-24,-0.01799617776069846
2025-03-25,0.0037895214444910383
2025-03-26,0.003181422057918188
2025-03-27,0.0015428920527513824
2025-03-28,-0.013123566021040627
2025-03-31,-0.010950258894016698
2025-04-01,0.016991968509685516
2025-04-02,0.00033434978461329497
2025-04-03,0.007105416881026298
2025-04-07,-0.07478243718688844
2025-04-08,0.028191172889152787
2025-04-09,0.008977862248756938
2025-04-10,0.02659932773290103
2025-04-11,0.009055059374128227
2025-04-14,0.019899137008711067
2025-04-15,-0.0067605041865320984
2025-04-16,-0.010717817126317874
2025-04-17,0.007272080318159607
2025-04-18,0.010267877288495814
2025-04-21,0.01836429990984032
2025-04-22,0.009157661907824136
2025-04-23,0.0008010527347036924
2025-04-24,0.0010609489950663682
2025-04-25,0.008442123555402628
2025-04-28,-0.008383093070998784
2025-04-29,0.013290811282872243
2025-04-30,-0.0022355342496271006
2025-05-06,0.02956941943313226
2025-05-07,0.010447082520511268
2025-05-08,0.011289185311139965
2025-05-09,-0.0003954877786973006
2025-05-12,0.007874729030410246
2025-05-13,0.00100879408908459
2025-05-14,0.0021861012838362845
2025-05-15,-0.006140706578215424
2025-05-16,0.0045428373581787185
2025-05-19,0.013663489496182187
2025-05-20,0.007276496530479498
2025-05-21,-0.00015131360072035278
2025-05-22,-0.01294239487941471
2025-05-23,-0.007400589092796002
2025-05-26,0.01598401394888796
2025-05-27,0.004997018952737232
2025-05-28,-0.0033417895227439167
2025-05-29,0.012284745094828641
2025-05-30,-0.010186670745058945
2025-06-03,0.009151974752144989
2025-06-04,0.004949429323856659
2025-06-05,-0.0033288887528168873
2025-06-06,0.007734680649452851
2025-06-09,0.0031668293975168566
2025-06-10,0.00034199318827567794
2025-06-11,0.0027079842552685607
2025-06-12,-0.001055020945240596
2025-06-13,-0.02088178241000246
2025-06-16,0.007849372704639916
2025-06-17,-0.001820283111247674
2025-06-18,-0.001887474005557363
2025-06-19,-0.014413843639954243
2025-06-20,-0.006248781230715119
2025-06-23,0.014154237920430718
2025-06-24,0.015543950141411354
2025-06-25,0.008991703523252074
2025-06-26,0.0035597659254229274
2025-06-27,0.009289396100426462
2025-06-30,0.02018438537489372
2025-07-01,0.011975741269665408
2025-07-02,0.00339140647887387
2025-07-03,0.0006709949573549203
2025-07-04,-0.0034619753995705493
2025-07-07,0.012628475003082531
2025-07-08,0.006006823621831369
2025-07-09,-0.0020533293694521217
2025-07-10,0.0075226455688633675
2025-07-11,0.00486993763950882
2025-07-14,0.0010911684976556075
2025-07-15,-0.01174077080586042
2025-07-16,0.004867264638711799
2025-07-17,0.008806067694347488
2025-07-18,0.002536076386742836
2025-07-21,0.019748203683582582
2025-07-22,0.0032702105519602557
2025-07-23,0.004379536649987457
2025-07-24,0.01643442635409839
2025-07-25,-0.005128708393571016
2025-07-28,-0.0028452896287600718
2025-07-29,0.009734057080386157
2025-07-30,0.00544003238447004
2025-07-31,-0.016976448094782406
2025-08-01,0.00670022401568779
2025-08-04,0.00870214159270037
2025-08-05,0.005111105589684134
2025-08-06,0.0005722601022786529
2025-08-07,0.0010111727192572005
2025-08-08,0.002281473450430432
2025-08-11,0.015925341693781028
2025-08-12,0.007240020562304254
2025-08-13,0.005466108860127476
2025-08-14,-0.010138884805018403
2025-08-15,0.013236637455207187
2025-08-18,0.020024871645991114
2025-08-19,0.010595475368349408
2025-08-20,0.00920321319647141
2025-08-21,0.0047967047023070915
2025-08-22,-0.004002556049109003
2025-08-25,0.001648358266817901
2025-08-26,0.015740627853108865
2025-08-27,-0.024041663625539736
2025-08-28,-0.0022217893433058348
2025-08-29,-0.0022205560020510935
2025-09-01,0.005050902748013009
2025-09-02,-0.013742737507809199
2025-09-03,-0.01994818984582836
2025-09-04,0.006574902959967632
2025-09-05,0.010941915687442929
2025-09-08,0.013179448747235319
2025-09-09,-0.010508890642378432
2025-09-10,0.001829068000299685
2025-09-11,0.003627101717852705
2025-09-12,-0.004576408346809952
2025-09-15,0.0007933832208470682
2025-09-16,0.0026530220703734264
2025-09-17,-0.0007797942256479336
2025-09-18,-0.01223623580417864
2025-09-19,0.0010290029848484992
2025-09-22,-0.00752675428148519
2025-09-23,-0.01050575759585322
2025-09-24,0.01780447506611383
2025-09-25,-0.006823243382662682
2025-09-26,-0.002408313405569667
2025-09-29,0.009465595725150988
2025-09-30,0.005303058979640756
2025-10-09,0.0005177024970430865
2025-10-10,0.011225443866341452
2025-10-13,0.0004697616757330481
2025-10-14,-0.007123747994024819
2025-10-15,0.015918378082088236
2025-10-16,-0.008409065909177033
2025-10-17,-0.017349234805487095
2025-10-20,0.010307123908575215
2025-10-21,0.02289587318363832
2025-10-22,-0.0005547824074774763
2025-10-23,0.004549810047615109
2025-10-24,-0.004947009147326449
2025-10-27,0.005362495045501986
2025-10-28,-0.002812182960067995
2025-10-29,-0.0012855271074472983
2025-10-30,-0.011115158042885265
2025-10-31,0.012224241484373429
2025-11-03,0.013142034665525194
2025-11-04,0.0022557781109269993
2025-11-05,0.01187271017613299
2025-11-06,0.0009542377647724324
2025-11-07,0.0016752317677198396
2025-11-10,0.010037888550086584
2025-11-11,0.00890023597663228
2025-11-12,0.0003389166759092058
2025-11-13,0.00400948036255055
2025-11-14,-0.0012012688163929456
2025-11-17,-0.0010101657765146069
2025-11-18,-0.013507034681122703
2025-11-19,-0.015712696754354945
2025-11-20,-0.0016579728826372634
2025-11-21,-0.04130462392700741
2025-11-24,0.004802521310011616
2025-11-25,0.021432139080394545
2025-11-26,0.0006058511163792435
2025-11-27,0.004898076368226366
2025-11-28,0.0031539764680908575
2025-12-01,0.0010394007058943451
2025-12-02,-0.004113057133270623
2025-12-03,-0.011877870128694571
2025-12-04,-0.010324809112925831
2025-12-05,0.008938768777374451
2025-12-08,0.007373158192838485
2025-12-09,-0.004860594573483361
2025-12-10,0.0020901261584889545
2025-12-11,-0.005233587526160703
2025-12-12,0.0014994198432968842
2025-12-15,0.002540966357650132
2025-12-16,-0.011393392477932652
2025-12-17,0.0022340019833287247
2025-12-18,0.0020339815585954523
2025-12-19,0.01451107235485798
2025-12-22,0.003565156103450787
2025-12-23,-0.012055074735648529
2025-12-24,0.008091024579872957
2025-12-25,0.008078759902064189
2025-12-26,0.0049257599074611245
2025-12-29,-0.0025240259065139837
2025-12-30,-0.00866958992001709
2025-12-31,-0.0018041660856066566
2026-01-05,0.004883698748398326
2026-01-06,0.016950842654206703
2026-01-07,0.0027666977766911283
2026-01-08,0.004741783449971923
2026-01-09,0.005358409405390065
2026-01-12,0.005199707739468849
2026-01-13,-0.00766432100668158
2026-01-14,-0.003227876709853586
2026-01-15,0.004336241354820792
2026-01-16,0.001128522583454753
2026-01-19,0.013749439410144795
2026-01-20,0.008263144956750167
2026-01-21,0.0034468454042890116
2026-01-22,0.01269284740540056
2026-01-23,0.0059909870101162825
2026-01-26,-0.011625440980108965
2026-01-27,-0.00718142933597418
2026-01-28,-0.0013668343526830368
2026-01-29,0.006639540032621984
2026-01-30,0.006905250049771755
2026-02-02,-0.02977756642718701
2026-02-03,0.01851830186335119
2026-02-04,0.009524793052554966
2026-02-05,-0.0018186088189729886
2026-02-06,-0.0033388460270071213
2026-02-09,0.01633797769042705
2026-02-10,-0.003963606792540965
2026-02-11,-0.010773688571296096
2026-02-12,-0.0063748430226873085
2026-02-13,-0.0042612911628768955
2026-02-24,0.013968384046802462
2026-02-25,0.010738862528411686
2026-02-26,-0.001994461599096385
2026-02-27,0.011473756828443576
2026-03-02,-0.02121848140098268
2026-03-03,-0.0346614397105164
2026-03-04,-0.008925482852648905
2026-03-05,0.018197856996216837
2026-03-06,0.010820070172800409
2026-03-09,-0.005139422171247271
2026-03-10,0.017695700469425757
2026-03-11,0.006295495625538254
2026-03-12,-0.0019218846596559041
2026-03-13,-0.007155829863114705
2026-03-16,0.009256161396586129
2026-03-17,-0.011916337887188972
2026-03-18,0.00202989444647033
2026-03-19,-0.021663380297479704
2026-03-20,-0.026148267845331852
2026-03-23,-0.06574142532495321
2026-03-24,0.03534305486319309
2026-03-25,0.016593925131089156
2026-03-26,-0.0038762829560430047
2026-03-27,0.01630702077720029
2026-03-30,0.01406196129078393
2026-03-31,-0.00966295082833337
2026-04-01,0.011197661340616928
2026-04-02,-0.010586139000463304
2026-04-03,-0.025176666164494887
2026-04-07,0.02135799991654354
2026-04-08,0.021477920643443504
2026-04-09,-0.010641335670084327
2026-04-10,0.000783850681495362
2026-04-13,-0.004369423848133455
2026-04-14,-0.0014554943581822114
2026-04-15,-0.008435664730318733
2026-04-16,0.009514722629203982
2026-04-17,-0.0033294434844370418
2026-04-20,0.004153794780755178
2026-04-21,0.0017722190440555062
2026-04-22,0.002414384722610486
2026-04-23,-0.008769183163130183
2026-04-24,-0.001543882192507828
