,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1118463.481989937
Total Return [%],11.8463481989937
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000269
Total Fees Paid,0.0
Max Drawdown [%],16.553739880218696
Max Drawdown Duration,83 days 00:00:00
Total Trades,39878
Total Closed Trades,39618
Total Open Trades,260
Open Trade PnL,-5630.766269517398
Win Rate [%],61.02529153415114
Best Trade [%],172.82924563619463
Worst Trade [%],-34.47839675362855
Avg Winning Trade [%],8.616498879418298
Avg Losing Trade [%],-4.998813683213651
Avg Winning Trade Duration,10 days 01:01:20.853703933
Avg Losing Trade Duration,10 days 02:59:07.975524020
Profit Factor,1.1557436215684582
Expectancy,3.02884375118429
Sharpe Ratio,0.5772688849530067
Calmar Ratio,0.7282839458940865
Omega Ratio,1.0923612453858182
Sortino Ratio,0.7526750308793884
