,G1,G2,G3,G4,G5
20241202,0.023615002009895615,0.01134501139777597,0.011250902879036049,0.0038777705325961035,0.015939056341532754
20241209,0.029153280810916556,0.01750960789131502,0.0168625337565155,0.0194766764749398,0.024871751851310592
20241216,-0.09037118829092682,-0.07369081045250041,-0.06867985807436726,-0.05866810145682799,-0.058486256817683484
20241223,-0.0069295442446842955,0.002811486430679563,0.012165334649122169,0.01015435284733872,0.010798193446075056
20241230,-0.09947954846263463,-0.08169946045424813,-0.07110628321654493,-0.061460824302284695,-0.057330062260873144
20250106,-0.01174034236022863,-0.007649164627809204,-0.019241761567715572,-0.01598104617223724,-0.018364830800001695
20250113,0.0744309213304581,0.054704898535911775,0.055210506564484854,0.05158898042549384,0.061257377416761766
20250120,-0.03698804727849382,-0.019368871620043186,-0.011518982626109817,-0.011338818020763437,-0.003353080817522908
20250127,0.016179147131974655,0.0076316693244606396,0.004883427974475672,-0.0015567629208158163,-0.0028192027141639418
20250205,0.07304770501812761,0.052124643674705894,0.04344430336441851,0.03825338670720645,0.03402509397859069
20250210,0.02039471454887338,0.014941989354722227,0.012279142590667794,0.003847522120396614,0.0067414090109135395
20250217,0.010779083967781095,0.014897912676945554,0.0049568444780472305,0.002820455085218805,0.004884311150524414
20250224,-0.027592410460188108,-0.016605801776552628,-0.0059195493327323075,-0.005069670224298503,-0.004469591752336012
20250303,0.039068120917270445,0.030078973004732862,0.02065843535755445,0.019306161273450015,0.016131432627469505
20250310,0.017376491154759862,0.023903368153171414,0.028365547631456697,0.02889175333319593,0.03656149097558291
20250317,-0.04079457993797508,-0.01922412151541994,-0.015149783805690776,-0.010627177345960352,-0.013686611145386215
20250324,-0.045578472857153274,-0.03287778428958176,-0.02038588738806794,-0.01309656530389007,-0.013189928628647834
20250331,-0.09708570476523695,-0.08476368780440012,-0.07043439977164355,-0.06887380570532307,-0.06982707333181418
20250407,0.0619642591752844,0.065587377679583,0.053244992730916665,0.06040905105352504,0.0625255529236602
20250414,0.001762848881282391,0.012449466236013503,0.01098512434777726,0.01373358035702499,0.020509877316311494
20250421,-0.014418218756481853,-0.0034935452276819495,-0.007205030162323711,-0.0033508258215530808,-0.0025517313341288164
20250428,0.026661979332287877,0.030496769926132986,0.038942713270392525,0.03120794498921307,0.03501002139259096
20250506,0.006863134773076485,0.01502018700572888,0.01953975125813993,0.017064800616913452,0.02403559315550311
20250512,0.030226914110375928,0.014500812617652745,0.010925399776451706,0.017591416233949976,0.01843858520749832
20250519,-0.02043348797014526,-0.014284569822310432,-0.004683577598464385,-0.0053831531399751095,-0.00349393710780984
20250526,0.009888300807401289,0.01180166874295304,0.015287865279437334,0.01863624437223872,0.020299130955047703
20250603,0.02110678810585481,0.020712587263045305,0.023882986393606153,0.017506372610363738,0.02081231842780216
20250609,-0.014888910029369514,-0.011895094719448277,-0.015616263062196854,-0.011751326886407612,-0.0104377053115064
20250616,-0.022189235310689275,-0.019770569353416072,-0.015407922658607912,-0.010705102495267793,-0.007346178239376614
20250623,0.04349104702090904,0.04014009652952078,0.037746656979548786,0.0346678889604022,0.03374875845829716
20250630,0.010244647038208338,0.009728734042828355,0.012369902730011194,0.01673320554118919,0.0156775390530415
20250707,0.011435896613813251,0.027848035376289264,0.022246670065580808,0.023017781280495295,0.026811465858946136
20250714,0.003570228527590447,0.012643559008657651,0.019673330588844015,0.01778905385911968,0.017356288429916357
20250721,0.001259695266813191,0.001821249407482438,0.005871498621974123,0.006453970582500468,0.008745588815844495
20250728,-0.015171234327902086,-0.009452316336306908,-0.0018967589813718112,-0.0030749510467828023,-0.004290619522326462
20250804,0.03225416323301803,0.02703111116904766,0.023909061850114807,0.026881136264679476,0.028979915339820316
20250811,0.02339483530634902,0.016547806358288925,0.006720384428148641,0.0054071637662377265,0.0022284917548813323
20250818,0.022567844998682706,0.027701483880313536,0.025705900793705237,0.026190309935338586,0.02850277132475708
20250825,-0.010648715472495664,-0.015599449125372727,-0.010340915242650722,-0.014685751813180175,-0.011160330727712211
20250901,-0.02309983597845944,-0.004901798898918966,0.0012242567499268393,0.005578243375159449,0.004375471609901458
20250908,0.018634376909347508,0.006237557785668623,0.0015687540104355004,0.0004024270058352217,-0.0069329172208643505
20250915,-0.010594317628257268,-0.01440456095047266,-0.007937865514109747,-0.01280995446723145,-0.0183349760712748
20250922,-0.01668369200540707,-0.010136918107513437,-0.0018029005839588696,0.0022177956571273836,-0.002021859729160376
20250929,0.014042302496351404,0.010910989878448971,0.010849833954853023,0.006303317197727872,-0.0004705474931784788
20251009,-0.004758294360596374,0.005844838106094175,0.0035556171515400054,0.00843032264335434,0.006906166816469608
20251013,-0.020868205421214057,-0.0037743322657956217,-0.004759726653426894,0.004918623060450284,0.005985669604979954
20251020,0.013661942399373714,0.026447897692203622,0.019798886257684143,0.019765956513863814,0.01875426872238174
20251027,0.013309016773505076,0.007052380988944995,0.010746613230280182,0.00967628025873398,0.012299213704608802
20251103,0.022749515671182205,0.019146142017096912,0.020160087759934314,0.030151000236223545,0.02189298344155509
20251110,0.020446493691892952,0.00789576034863623,0.015071585562180733,0.006428278159372839,0.012581167094591119
20251117,-0.0915470254452634,-0.06379531971165417,-0.061866131556955625,-0.04483777227292506,-0.04153245883136833
20251124,0.04336157314617418,0.03254618009621867,0.03215516182428075,0.02363074228271944,0.020206517971126253
20251201,0.01503844674122169,0.0046720878929981955,0.0029788059988455568,-9.552827751089074e-05,-0.005050349967304455
20251208,-0.02004711937926105,-0.01514199780680885,-0.016298166371711303,-0.016817942595376674,-0.022930590791786106
20251215,0.001947629833692481,0.014999482294400368,0.013844348079883233,0.020580173251559974,0.016199174148651047
20251222,0.00971194689432387,0.013517640609248465,0.008056281858039922,0.004161855865206273,0.0011821088553814775
20251229,-0.001141217500202817,0.0025715171375414593,0.005829780222517228,0.0067456098212681,0.010079328652903634
20260105,0.08492434246760808,0.052927220046405356,0.045320058437191106,0.03827608450147194,0.035611692966393826
20260112,-0.034859963191024995,-0.007455368378499241,0.0027061229297166644,0.007587002369192612,0.010571684628711954
20260119,0.010971576462490392,0.018922346765771696,0.018744554627978638,0.022857587274742342,0.018461228047489314
20260126,-0.04649643445926674,-0.04057224022157786,-0.033665253009905347,-0.029213543544676073,-0.02597546449118365
20260202,0.04149110797105062,0.0399367907852213,0.030519793699763428,0.03271522334313314,0.030387266344467593
20260209,-0.0019194128436561132,0.0017680855605156083,0.004464927841873174,-0.0038853743466642147,-0.0017435398643384106
20260224,0.01106997724535488,0.007732812206689482,0.0026238097037971416,-0.002980752076187759,-0.013609581460913614
20260302,-0.010583190468589496,-0.0110376842109261,-0.012260002436434922,-0.006594336631149777,-0.00901663284680972
20260309,-0.005872777186671101,0.0024795784573934387,0.0016579591473484673,0.005973348069964546,0.005375423680499228
20260316,-0.09490601005197104,-0.1053518648226684,-0.09849865539755058,-0.1028780110985959,-0.09872735475019263
20260323,0.05924007844417917,0.060724223246121437,0.06410079732797347,0.06570522327763433,0.06215665914653319
20260330,-0.048944055482300755,-0.02551568306542622,-0.023781739018783873,-0.013596231328035559,-0.014258052634153744
20260407,0.026162154491488995,0.021219088771220036,0.02169041767933999,0.02692691107182265,0.01990778387811004
20260413,0.025187916497288448,0.015169593008656952,0.015262827596004265,0.01851826799517789,0.015431452284821928
