date,601222.SH,603237.SH,600865.SH,600548.SH,600127.SH,603033.SH,603999.SH,600738.SH,600255.SH,605208.SH,601801.SH,603916.SH,603020.SH,603122.SH,600232.SH,605169.SH,600876.SH,603170.SH,600693.SH,600288.SH,601827.SH,603006.SH,600791.SH,600509.SH,600824.SH,603300.SH,601678.SH,600064.SH,600586.SH,600843.SH,603696.SH,600101.SH,603313.SH,603708.SH,603367.SH,600207.SH,600273.SH,600668.SH,603015.SH,600782.SH,600399.SH,600305.SH,600880.SH,600531.SH,600545.SH,600868.SH,600433.SH,600982.SH,603527.SH,600643.SH,600258.SH,600650.SH,603819.SH,601038.SH,601890.SH,603987.SH,605388.SH,603229.SH,600556.SH,600420.SH,600979.SH,605066.SH,603949.SH,600676.SH,603566.SH,600081.SH,603660.SH,605136.SH,600829.SH,600461.SH,600178.SH,600308.SH,600713.SH,603018.SH,603477.SH,603858.SH,600611.SH,603969.SH,600720.SH,605366.SH,603883.SH,601908.SH,600997.SH,600452.SH,605162.SH,600984.SH,605007.SH,600537.SH,600158.SH,603038.SH,600328.SH,603878.SH,603601.SH,603777.SH,600094.SH,603318.SH,603703.SH,605055.SH,600278.SH,601949.SH,600617.SH,600789.SH,601512.SH,601566.SH,600761.SH,603928.SH,600698.SH,600283.SH,600604.SH,603079.SH,600502.SH,600576.SH,603209.SH,600185.SH,600959.SH,603866.SH,601033.SH,601999.SH,600336.SH,603639.SH,603222.SH,605500.SH,600906.SH,600155.SH,600121.SH,600817.SH,601326.SH,605108.SH,603333.SH,600057.SH,603558.SH,603801.SH,600227.SH,600648.SH,603903.SH,600325.SH,603977.SH,600351.SH,601156.SH,603035.SH,601619.SH,600933.SH,600173.SH,600718.SH,603408.SH,600784.SH,603165.SH,605228.SH,600686.SH,603111.SH,600201.SH,605339.SH,601163.SH,600797.SH,603936.SH,600310.SH,600212.SH,600609.SH,600266.SH,601015.SH,603519.SH,600479.SH,600062.SH,600822.SH,603012.SH,600785.SH,603066.SH,600376.SH,600719.SH,600302.SH,601199.SH,601007.SH,601375.SH,600830.SH,600106.SH,600172.SH,600490.SH,600063.SH,600478.SH,603299.SH,603682.SH,601366.SH,600189.SH,603001.SH,601116.SH,603518.SH,600267.SH,601956.SH,600528.SH,600133.SH,600805.SH,603223.SH,600973.SH,605018.SH,605268.SH,600758.SH,603027.SH,603053.SH,600649.SH,600226.SH,603136.SH,603230.SH,600120.SH,600056.SH,600960.SH,603332.SH,603169.SH,600616.SH,601096.SH,603181.SH,600662.SH,600279.SH,600510.SH,603600.SH,600197.SH,601798.SH,600475.SH,603711.SH,601019.SH,601500.SH,600380.SH,600368.SH,600996.SH,601339.SH,600551.SH,600894.SH,603980.SH,600721.SH,600755.SH,600623.SH,603128.SH,600746.SH,605300.SH,603456.SH,603520.SH,600630.SH,600644.SH,605006.SH,603390.SH,600571.SH,603689.SH,600505.SH,600828.SH,600775.SH,600386.SH,603567.SH,600284.SH,603108.SH,600603.SH,600218.SH,601515.SH,600395.SH,603085.SH,600712.SH,600610.SH,603187.SH,600664.SH,603500.SH,600488.SH,600191.SH,603269.SH,600179.SH,601968.SH,603909.SH,600740.SH,600530.SH,600446.SH,600983.SH,603339.SH,600557.SH,600523.SH,600138.SH,603633.SH,603535.SH,600651.SH,600727.SH,603058.SH,600851.SH,603277.SH,600825.SH,605555.SH,600594.SH,600508.SH,601388.SH,600167.SH,600496.SH,600261.SH,600215.SH,603105.SH,603007.SH,600790.SH,600681.SH,603116.SH,603162.SH,603956.SH,603088.SH,603060.SH,601177.SH,603697.SH,603210.SH,600587.SH,603366.SH,600076.SH,603970.SH,600739.SH,603998.SH,601965.SH,600966.SH,600152.SH,600864.SH,600810.SH,600037.SH,600458.SH,600975.SH,603327.SH,600135.SH,603055.SH,603861.SH,600628.SH,603815.SH,603889.SH,603123.SH,601101.SH,600769.SH,603856.SH,600683.SH,603310.SH,600936.SH,603609.SH,603212.SH,600834.SH,603303.SH,600925.SH,600408.SH,600067.SH,600853.SH,605138.SH,600596.SH,603201.SH,600827.SH,600361.SH,600792.SH,603071.SH,603107.SH,601952.SH,600678.SH,600217.SH,600558.SH,603648.SH,601330.SH,603227.SH,600903.SH,600035.SH,603155.SH,603863.SH,601900.SH,603817.SH,603915.SH,600333.SH,600728.SH,600222.SH,600639.SH,603898.SH,600354.SH,600320.SH,601811.SH,600866.SH,605179.SH,600812.SH,600449.SH,600052.SH,603759.SH,603336.SH,600666.SH,600710.SH,600397.SH,600560.SH,605050.SH,600416.SH,601700.SH,603278.SH,600168.SH,600573.SH,600507.SH,600405.SH,600928.SH,603848.SH,603511.SH,603008.SH,600318.SH,603328.SH,605167.SH,603918.SH,600725.SH,600751.SH,600248.SH,603158.SH,600736.SH,600742.SH,603997.SH,603809.SH,600640.SH,600969.SH,600129.SH,600084.SH,600403.SH,600575.SH,600186.SH,601369.SH,600771.SH,605337.SH,600382.SH,603178.SH,600280.SH,600268.SH,603069.SH,600716.SH,603081.SH,600379.SH,600293.SH,601008.SH,603387.SH,600195.SH,603602.SH,603219.SH,603676.SH,601789.SH,600229.SH,601886.SH,600730.SH,600744.SH,600819.SH,600059.SH,600987.SH,605189.SH,603637.SH,603258.SH,600908.SH,600425.SH,600621.SH,600655.SH,600757.SH,603668.SH,600590.SH,600821.SH,603680.SH,600163.SH,603399.SH,603305.SH,601609.SH,603586.SH,603101.SH,600794.SH,601188.SH,600708.SH,600313.SH,603166.SH,600619.SH,600300.SH,600787.SH,601107.SH,603010.SH,601568.SH,603693.SH,600846.SH,600198.SH,603316.SH,600481.SH,601686.SH,600006.SH,600072.SH,600469.SH,600749.SH,600326.SH,601121.SH,600250.SH,600916.SH,600020.SH,600054.SH,600539.SH,600888.SH,600156.SH,600860.SH,600814.SH,600033.SH,603357.SH,600971.SH,603323.SH,605577.SH,603025.SH,605368.SH,603967.SH,600335.SH,600658.SH,603811.SH,600237.SH,603153.SH,600055.SH,600917.SH,601226.SH,600963.SH,605008.SH,600815.SH,603628.SH,600861.SH,600123.SH,600538.SH,603043.SH,603458.SH,603037.SH,600327.SH,603901.SH,600748.SH,600353.SH,603803.SH,600251.SH,603877.SH,603135.SH,601022.SH,603912.SH,603966.SH,601528.SH,603126.SH,603739.SH,600429.SH,603587.SH,601921.SH,600210.SH,600366.SH,603002.SH,600579.SH,600116.SH,603681.SH,601311.SH,600820.SH,603206.SH,603669.SH,600088.SH,600199.SH,605158.SH,603289.SH,600468.SH,600073.SH,603317.SH,601200.SH,600480.SH,603363.SH,600203.SH,600618.SH,601098.SH,603167.SH,603113.SH,600684.SH,603065.SH,603927.SH,600375.SH,600986.SH,600058.SH,600633.SH,600731.SH,603990.SH,605377.SH,603421.SH,600654.SH,600620.SH,600756.SH,600722.SH,603636.SH,600526.SH,600897.SH,600552.SH,605188.SH,600798.SH,600770.SH,603488.SH,600269.SH,601086.SH,603309.SH,603712.SH,601368.SH,600859.SH,603610.SH,600500.SH,601279.SH,601616.SH,603386.SH,600108.SH,603677.SH,603218.SH,600717.SH,600292.SH,603599.SH,600724.SH,603887.SH,600249.SH,600626.SH,600422.SH,605166.SH,603630.SH,605077.SH,605399.SH,600635.SH,603808.SH,603551.SH,600192.SH,600589.SH,600838.SH,600463.SH,600078.SH,603368.SH,603707.SH,603118.SH,603577.SH,600396.SH,603086.SH,601068.SH,600776.SH,600319.SH,601599.SH,603466.SH,603291.SH,600572.SH,603279.SH,600929.SH,601218.SH,603788.SH,600470.SH,603439.SH,600800.SH,600874.SH,600559.SH,605183.SH,605069.SH,600125.SH,600867.SH,600965.SH,603758.SH,600053.SH,603528.SH,600638.SH,600223.SH,603871.SH,600075.SH,600103.SH,603213.SH,603608.SH,600841.SH,600373.SH,600780.SH,603017.SH,601002.SH,600682.SH,603189.SH,603823.SH,600271.SH,603070.SH,601113.SH,600793.SH,603098.SH,600216.SH,600679.SH,603569.SH,601065.SH,603106.SH,601011.SH,600691.SH,600409.SH,600012.SH,603719.SH,600495.SH,600597.SH,600826.SH,600110.SH,603687.SH,002107.SZ,002568.SZ,002845.SZ,001217.SZ,000850.SZ,002099.SZ,000509.SZ,000791.SZ,002686.SZ,000779.SZ,002275.SZ,002201.SZ,002303.SZ,002212.SZ,002609.SZ,000782.SZ,003015.SZ,002695.SZ,000680.SZ,002160.SZ,002016.SZ,002479.SZ,002062.SZ,000837.SZ,002491.SZ,002030.SZ,000913.SZ,002132.SZ,000025.SZ,000802.SZ,002023.SZ,002438.SZ,002057.SZ,002121.SZ,000036.SZ,000042.SZ,002863.SZ,000900.SZ,002351.SZ,000570.SZ,002467.SZ,002413.SZ,001318.SZ,000829.SZ,002094.SZ,002196.SZ,002511.SZ,001286.SZ,002392.SZ,002761.SZ,000676.SZ,000700.SZ,002617.SZ,002278.SZ,002706.SZ,002369.SZ,002772.SZ,000665.SZ,002698.SZ,002283.SZ,000713.SZ,000767.SZ,000563.SZ,002474.SZ,002400.SZ,000735.SZ,002550.SZ,000868.SZ,002452.SZ,000531.SZ,002426.SZ,002543.SZ,002537.SZ,000420.SZ,002441.SZ,002984.SZ,000726.SZ,002631.SZ,002328.SZ,000650.SZ,000715.SZ,002676.SZ,000789.SZ,002285.SZ,002387.SZ,002774.SZ,002183.SZ,002570.SZ,000565.SZ,001391.SZ,002406.SZ,002081.SZ,000848.SZ,002563.SZ,002178.SZ,002092.SZ,002489.SZ,000576.SZ,002296.SZ,002611.SZ,000670.SZ,002394.SZ,001338.SZ,000809.SZ,000524.SZ,002735.SZ,000720.SZ,002637.SZ,002643.SZ,002258.SZ,002726.SZ,000631.SZ,002752.SZ,002349.SZ,000543.SZ,002454.SZ,000886.SZ,002556.SZ,002139.SZ,002522.SZ,000686.SZ,003013.SZ,001300.SZ,002010.SZ,002166.SZ,000099.SZ,002418.SZ,002003.SZ,002077.SZ,002941.SZ,001313.SZ,000822.SZ,000920.SZ,002101.SZ,001696.SZ,000016.SZ,002399.SZ,000695.SZ,002668.SZ,003000.SZ,000906.SZ,002811.SZ,002127.SZ,000030.SZ,002153.SZ,002548.SZ,000529.SZ,002051.SZ,000759.SZ,002255.SZ,002221.SZ,002357.SZ,002232.SZ,002344.SZ,000989.SZ,002140.SZ,000863.SZ,002036.SZ,002042.SZ,000758.SZ,002254.SZ,002322.SZ,002356.SZ,000045.SZ,001236.SZ,000528.SZ,000899.SZ,002141.SZ,002135.SZ,002458.SZ,002043.SZ,002037.SZ,000816.SZ,000862.SZ,002233.SZ,002628.SZ,003040.SZ,002331.SZ,002345.SZ,002011.SZ,002927.SZ,002953.SZ,002167.SZ,002363.SZ,000719.SZ,002215.SZ,002692.SZ,003012.SZ,002370.SZ,002398.SZ,002783.SZ,000796.SZ,002681.SZ,002206.SZ,002669.SZ,000823.SZ,002419.SZ,002174.SZ,002100.SZ,002587.SZ,002836.SZ,000755.SZ,002259.SZ,002642.SZ,000721.SZ,000525.SZ,002029.SZ,000551.SZ,002446.SZ,002530.SZ,000048.SZ,000536.SZ,000159.SZ,002455.SZ,002523.SZ,002892.SZ,000919.SZ,002348.SZ,002727.SZ,003039.SZ,002651.SZ,002571.SZ,002182.SZ,000510.SZ,002068.SZ,000788.SZ,002284.SZ,002677.SZ,002218.SZ,002701.SZ,002386.SZ,000707.SZ,002766.SZ,002712.SZ,002309.SZ,002191.SZ,002516.SZ,000401.SZ,002562.SZ,000503.SZ,002488.SZ,002093.SZ,002996.SZ,000530.SZ,000881.SZ,002427.SZ,000544.SZ,002453.SZ,002238.SZ,002755.SZ,000753.SZ,002644.SZ,002746.SZ,000990.SZ,000421.SZ,000978.SZ,000523.SZ,000892.SZ,002434.SZ,000557.SZ,002440.SZ,000677.SZ,002393.SZ,002788.SZ,002291.SZ,002662.SZ,002279.SZ,000701.SZ,002616.SZ,000599.SZ,000828.SZ,002095.SZ,000505.SZ,002412.SZ,000571.SZ,002510.SZ,000407.SZ,002564.SZ,000068.SZ,002849.SZ,002197.SZ,000516.SZ,002401.SZ,002958.SZ,002577.SZ,002707.SZ,000712.SZ,002282.SZ,002907.SZ,000810.SZ,002973.SZ,002045.SZ,002031.SZ,000912.SZ,000966.SZ,002337.SZ,002758.SZ,002235.SZ,002324.SZ,002350.SZ,002226.SZ,002649.SZ,002439.SZ,002022.SZ,000803.SZ,002960.SZ,002154.SZ,000037.SZ,000778.SZ,002274.SZ,002302.SZ,002376.SZ,000065.SZ,002106.SZ,000011.SZ,002004.SZ,002483.SZ,002098.SZ,002161.SZ,002115.SZ,000419.SZ,001299.SZ,002823.SZ,002490.SZ,002063.SZ,002478.SZ,002267.SZ,002365.SZ,002224.SZ,002250.SZ,002749.SZ,000035.SZ,002539.SZ,002860.SZ,000801.SZ,001330.SZ,002962.SZ,002054.SZ,000558.SZ,002020.SZ,002807.SZ,000910.SZ,002145.SZ,002033.SZ,000812.SZ,002905.SZ,002237.SZ,002243.SZ,002658.SZ,002061.SZ,002492.SZ,002923.SZ,001207.SZ,002590.SZ,000936.SZ,002855.SZ,002163.SZ,002578.SZ,002117.SZ,002708.SZ,002313.SZ,002367.SZ,003016.SZ,002300.SZ,000678.SZ,002374.SZ,000690.SZ,002685.SZ,002276.SZ,002481.SZ,002930.SZ,002469.SZ,002006.SZ,002170.SZ,002104.SZ,002832.SZ,002583.SZ,000925.SZ,002198.SZ,002846.SZ,002646.SZ,000751.SZ,002229.SZ,002632.SZ,000890.SZ,002987.SZ,000521.SZ,002442.SZ,002059.SZ,000555.SZ,002540.SZ,002425.SZ,000532.SZ,002451.SZ,000546.SZ,002527.SZ,002148.SZ,001258.SZ,002723.SZ,002575.SZ,002186.SZ,000839.SZ,002403.SZ,000514.SZ,002268.SZ,000710.SZ,000612.SZ,002705.SZ,002382.SZ,002660.SZ,002293.SZ,002688.SZ,002391.SZ,000601.SZ,000928.SZ,002109.SZ,002410.SZ,000507.SZ,000573.SZ,002097.SZ,002521.SZ,000059.SZ,000885.SZ,002038.SZ,002457.SZ,000819.SZ,002248.SZ,002627.SZ,002725.SZ,002640.SZ,000723.SZ,000655.SZ,002546.SZ,000553.SZ,000607.SZ,002612.SZ,001369.SZ,002091.SZ,002416.SZ,000501.SZ,002079.SZ,002462.SZ,000403.SZ,002560.SZ,002839.SZ,002588.SZ,002471.SZ,000566.SZ,002928.SZ,000949.SZ,000410.SZ,002507.SZ,002573.SZ,002777.SZ,002675.SZ,000716.SZ,002286.SZ,000860.SZ,002041.SZ,000156.SZ,000888.SZ,002035.SZ,000539.SZ,002137.SZ,002333.SZ,002728.SZ,002347.SZ,002320.SZ,002354.SZ,002256.SZ,003025.SZ,002449.SZ,002052.SZ,002026.SZ,000905.SZ,000428.SZ,002204.SZ,002298.SZ,002769.SZ,002372.SZ,000089.SZ,002585.SZ,002840.SZ,000957.SZ,000061.SZ,002519.SZ,002165.SZ,000006.SZ,002111.SZ,000930.SZ,002596.SZ,002951.SZ,002067.SZ,002408.SZ,002690.SZ,002678.SZ,002263.SZ,000685.SZ,000014.SZ,002103.SZ,002177.SZ,001213.SZ,000088.SZ,002584.SZ,000922.SZ,002075.SZ,002682.SZ,000795.SZ,002373.SZ,002307.SZ,002216.SZ,002793.SZ,000931.SZ,000007.SZ,002110.SZ,002164.SZ,002012.SZ,001376.SZ,002950.SZ,001914.SZ,002332.SZ,003037.SZ,000889.SZ,002034.SZ,002040.SZ,000917.SZ,002136.SZ,002559.SZ,002911.SZ,002053.SZ,002448.SZ,000429.SZ,000998.SZ,002125.SZ,002867.SZ,000970.SZ,000659.SZ,002355.SZ,002638.SZ,002090.SZ,000859.SZ,002589.SZ,002561.SZ,000019.SZ,002515.SZ,000672.SZ,002765.SZ,002208.SZ,002613.SZ,000798.SZ,002385.SZ,002674.SZ,002083.SZ,000567.SZ,002404.SZ,002572.SZ,002169.SZ,000411.SZ,000096.SZ,002181.SZ,000948.SZ,002626.SZ,000731.SZ,002249.SZ,002724.SZ,000058.SZ,002554.SZ,002520.SZ,000818.SZ,000541.SZ,002547.SZ,002533.SZ,002445.SZ,002635.SZ,000722.SZ,002641.SZ,000756.SZ,002737.SZ,002358.SZ,002606.SZ,002672.SZ,002798.SZ,002383.SZ,000090.SZ,002187.SZ,000078.SZ,000417.SZ,002500.SZ,002476.SZ,000561.SZ,002019.SZ,000589.SZ,002567.SZ,000404.SZ,002108.SZ,000498.SZ,002194.SZ,002096.SZ,002948.SZ,000572.SZ,000506.SZ,002292.SZ,000600.SZ,002390.SZ,002443.SZ,002437.SZ,000520.SZ,002986.SZ,000422.SZ,000993.SZ,002818.SZ,000626.SZ,000652.SZ,002745.SZ,002228.SZ,002647.SZ,002722.SZ,002339.SZ,002654.SZ,000533.SZ,000968.SZ,002526.SZ,002366.SZ,000682.SZ,002795.SZ,002697.SZ,002264.SZ,002088.SZ,002014.SZ,002060.SZ,002116.SZ,002579.SZ,002162.SZ,000937.SZ,002073.SZ,000852.SZ,002480.SZ,000597.SZ,000950.SZ,002582.SZ,000012.SZ,000409.SZ,002171.SZ,002786.SZ,002375.SZ,002301.SZ,002277.SZ,002815.SZ,000902.SZ,002889.SZ,002123.SZ,002021.SZ,002917.SZ,002251.SZ,002225.SZ,002748.SZ,002327.SZ,002659.SZ,002242.SZ,002334.SZ,000965.SZ,000813.SZ,001322.SZ,000151.SZ
20241101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
