,ga_final_0000,ga_final_0001,ga_final_0002,ga_final_0003,ga_final_0004,ga_final_0005,ga_final_0006,ga_final_0007,ga_final_0008,ga_final_0009,ga_final_0010,ga_final_0011,ga_final_0012,ga_final_0013,ga_final_0014,ga_final_0015,ga_final_0016,ga_final_0017,ga_final_0018,ga_final_0019,ga_final_0020,ga_final_0021,ga_final_0022,ga_final_0023,ga_final_0024,ga_final_0025,ga_final_0026,ga_final_0027,ga_final_0028,ga_final_0029,ga_final_0030,ga_final_0031,ga_final_0032,ga_final_0033,ga_final_0034,ga_final_0035,ga_final_0036,ga_final_0037,ga_final_0038,ga_final_0039,ga_final_0040,ga_final_0041,ga_final_0042,ga_final_0043,ga_final_0044,ga_final_0045,ga_final_0046,ga_final_0047,ga_final_0048,ga_final_0049
ga_final_0000,1.0,1.0,1.0,0.9977104984156165,0.9988616633853791,0.9979620941419219,-0.9747956312387345,-0.9316974414927891,-0.9508895266492963,-0.9428863445592458,0.9761906757788169,0.9761906757788169,0.9761906757788169,0.9751041466012729,0.9761906757788169,0.9771893295359592,0.23461246399399838,0.975192389711589,0.975104146601273,-0.9305849138717245,0.7369665743443642,0.9806895064404492,0.9933578246709849,0.9933578246709849,-0.18820843187651773,0.9806895064404492,-0.9276226142677731,-0.16515729485947883,-0.18820843187651776,0.9774875198673517,0.9769928207158654,-0.20446350337341265,-0.9216938638914369,0.9752171189101329,0.9850630870667275,0.9705873158092035,-0.9268743825971776,0.9899419355306598,0.9618912253690955,0.9561576841922406,0.9545920385086355,0.9602080101558604,0.9595372025589428,-0.9255435452582924,-0.9261937874794727,0.9511745730812352,0.8572103677864814,-0.2777597161069788,0.9314282764278855,-0.18653337381191187
ga_final_0001,1.0,1.0,1.0,0.9977104984156165,0.9988616633853791,0.9979620941419219,-0.9747956312387345,-0.9316974414927891,-0.9508895266492963,-0.9428863445592458,0.9761906757788169,0.9761906757788169,0.9761906757788169,0.9751041466012729,0.9761906757788169,0.9771893295359592,0.23461246399399838,0.975192389711589,0.975104146601273,-0.9305849138717245,0.7369665743443642,0.9806895064404492,0.9933578246709849,0.9933578246709849,-0.18820843187651773,0.9806895064404492,-0.9276226142677731,-0.16515729485947883,-0.18820843187651776,0.9774875198673517,0.9769928207158654,-0.20446350337341265,-0.9216938638914369,0.9752171189101329,0.9850630870667275,0.9705873158092035,-0.9268743825971776,0.9899419355306598,0.9618912253690955,0.9561576841922406,0.9545920385086355,0.9602080101558604,0.9595372025589428,-0.9255435452582924,-0.9261937874794727,0.9511745730812352,0.8572103677864814,-0.2777597161069788,0.9314282764278855,-0.18653337381191187
ga_final_0002,1.0,1.0,1.0,0.9977104984156165,0.9988616633853791,0.9979620941419219,-0.9747956312387345,-0.9316974414927891,-0.9508895266492963,-0.9428863445592458,0.9761906757788169,0.9761906757788169,0.9761906757788169,0.9751041466012729,0.9761906757788169,0.9771893295359592,0.23461246399399838,0.975192389711589,0.975104146601273,-0.9305849138717245,0.7369665743443642,0.9806895064404492,0.9933578246709849,0.9933578246709849,-0.18820843187651773,0.9806895064404492,-0.9276226142677731,-0.16515729485947883,-0.18820843187651776,0.9774875198673517,0.9769928207158654,-0.20446350337341265,-0.9216938638914369,0.9752171189101329,0.9850630870667275,0.9705873158092035,-0.9268743825971776,0.9899419355306598,0.9618912253690955,0.9561576841922406,0.9545920385086355,0.9602080101558604,0.9595372025589428,-0.9255435452582924,-0.9261937874794727,0.9511745730812352,0.8572103677864814,-0.2777597161069788,0.9314282764278855,-0.18653337381191187
ga_final_0003,0.9977104984156165,0.9977104984156165,0.9977104984156165,1.0,0.998980711399615,0.9975096915593051,-0.977923983498981,-0.9350006979915665,-0.9525117286366455,-0.9459622672456566,0.979182029804597,0.979182029804597,0.979182029804597,0.9782108030265618,0.9791820298045971,0.9802153576184047,0.24832516135030908,0.9781583331442413,0.9782108030265619,-0.9329426199867537,0.739319174931517,0.9837533626158913,0.9950726342022984,0.9950726342022984,-0.19459033500499434,0.9837533626158913,-0.9301004005243717,-0.16659470195346748,-0.1945903350049944,0.9810114734216556,0.9804292728581755,-0.21157537146639838,-0.9201127732607218,0.9783618988777012,0.9878780118014547,0.9736099453535778,-0.9292789196075982,0.99221159158267,0.9646215412999626,0.9589613818845363,0.9568189643379502,0.9633121050022551,0.9624290795722892,-0.9280437574924276,-0.9285471157987074,0.9543061195197587,0.8583569956354695,-0.27781078795419667,0.9347239809325532,-0.19547054755396723
ga_final_0004,0.9988616633853791,0.9988616633853791,0.9988616633853791,0.998980711399615,1.0,0.9991648584694753,-0.978159887043803,-0.9365340593942577,-0.9535571482368261,-0.9470514855394121,0.9794452996479839,0.9794452996479839,0.9794452996479839,0.9784308887706719,0.9794452996479839,0.980468575763082,0.23388316344706886,0.9784357474862769,0.9784308887706721,-0.9346952555858223,0.7371345324728801,0.9839968950831438,0.9955736349613538,0.9955736349613538,-0.18980651629498013,0.9839968950831438,-0.9319019744488988,-0.16239738801094064,-0.18980651629498022,0.9806195607424077,0.9800787290835932,-0.20536500892501286,-0.9214017186613817,0.9785499259371165,0.9881846086436531,0.9740443761445227,-0.9311119815765251,0.9926083407840578,0.9650311450051023,0.9599321900400485,0.9582707055981009,0.9638853774886251,0.9631708051480307,-0.9298925362295821,-0.9304105843622043,0.9554016237659113,0.860589108335386,-0.2762775107456445,0.9362671756775156,-0.19076526242817357
ga_final_0005,0.9979620941419219,0.9979620941419219,0.9979620941419219,0.9975096915593051,0.9991648584694753,1.0,-0.9788930847297573,-0.938638253341157,-0.955295704985294,-0.9487760532078375,0.9798427098828383,0.9798427098828383,0.9798427098828383,0.9791332223990633,0.9798427098828383,0.9808239032034805,0.2204754012711579,0.9788747748439063,0.9791332223990635,-0.9368895380650617,0.7327228500108749,0.9842024056020737,0.9951772825176307,0.9951772825176307,-0.18350094303014405,0.9842024056020737,-0.9341766803155217,-0.15697623724907125,-0.18350094303014403,0.9807900187008528,0.980202537296872,-0.1975454540230885,-0.9221587650716079,0.9791684135815251,0.9882319427868086,0.9747883594007409,-0.9334038085357415,0.9924203271445265,0.9658867064595126,0.9613861129440615,0.9601147176532968,0.9649416528569659,0.9644043642620053,-0.9322268534222776,-0.9327529669846055,0.9568882322331872,0.8612406227074709,-0.2722149114361098,0.9383786092088725,-0.1842714018966483
ga_final_0006,-0.9747956312387345,-0.9747956312387345,-0.9747956312387345,-0.977923983498981,-0.978159887043803,-0.9788930847297573,1.0,0.9687029638945048,0.9841208621543153,0.9782009403217724,-0.9996006981176699,-0.9996006981176699,-0.9996006981176699,-0.9998330503531478,-0.9996006981176699,-0.9992935330025086,-0.2062763586977945,-0.9994481442114315,-0.9998330503531482,0.9655186223161063,-0.7083629041913458,-0.9974437494106974,-0.9869713559091849,-0.9869713559091849,0.13919506257864553,-0.9974437494106974,0.9638347296377398,0.11698982783744709,0.13919506257864553,-0.9989511330147708,-0.9989937182279583,0.14824820445888945,0.9288627606855562,-0.9997832086959106,-0.9943809922089193,-0.9968819097443267,0.9629175289527486,-0.990398864817254,-0.9889562605717898,-0.987651046323846,-0.9858770750742242,-0.9892248153545116,-0.9896675524867523,0.9623550819544143,0.9622297432362229,-0.9829878073855995,-0.883960111159815,0.2312625511177913,-0.9684517138904586,0.13470768254438686
ga_final_0007,-0.9316974414927891,-0.9316974414927891,-0.9316974414927891,-0.9350006979915665,-0.9365340593942577,-0.938638253341157,0.9687029638945048,1.0,0.9732579726863547,0.9838580737515424,-0.967503057263128,-0.967503057263128,-0.967503057263128,-0.9682822312169187,-0.9675030572631282,-0.9662593581010348,-0.1595663892709712,-0.9687254451766495,-0.9682822312169189,0.9918667407189923,-0.6536316761479731,-0.9619056709653158,-0.9473215134390686,-0.9473215134390686,0.0016282383821746356,-0.9619056709653158,0.9922190223446601,0.005989362119886938,0.0016282383821746074,-0.96540003985893,-0.9658078735611162,0.03237991257414609,0.8953409625548401,-0.9680171785211293,-0.9565759847186028,-0.9789232336815836,0.991081544877816,-0.9511932938789001,-0.9833137136464187,-0.9869268185226504,-0.9884389640686819,-0.9847311838574346,-0.984844119581135,0.9917216471151292,0.9908680467336195,-0.9918534889466655,-0.8915007534475289,0.14648719829028184,-0.9998823284505245,-0.012155384037478182
ga_final_0008,-0.9508895266492963,-0.9508895266492963,-0.9508895266492963,-0.9525117286366455,-0.9535571482368261,-0.955295704985294,0.9841208621543153,0.9732579726863547,1.0,0.986899381479091,-0.9831397394482186,-0.9831397394482186,-0.9831397394482186,-0.983854810508631,-0.9831397394482188,-0.9822079681056851,-0.18134937461749917,-0.9840123614595113,-0.9838548105086311,0.9691698066443163,-0.6780895148512429,-0.978963510149753,-0.9627776503575131,-0.9627776503575131,0.10180098010817432,-0.978963510149753,0.9682369729128562,0.08973836798614844,0.10180098010817433,-0.9808232664659678,-0.9811175412610637,0.11049545855293069,0.9146008043735369,-0.983648858758336,-0.9741458275492076,-0.9880207552400988,0.967281857897877,-0.9679551803508908,-0.9851461987535443,-0.988250451461741,-0.989167633999255,-0.9869759219583025,-0.9889489889783081,0.9671682015718429,0.9668805242755131,-0.9828256799631949,-0.8835729327318885,0.19855239641804204,-0.9729426247248659,0.09234183052715303
ga_final_0009,-0.9428863445592458,-0.9428863445592458,-0.9428863445592458,-0.9459622672456566,-0.9470514855394121,-0.9487760532078375,0.9782009403217724,0.9838580737515424,0.986899381479091,1.0,-0.9772089868888635,-0.9772089868888635,-0.9772089868888635,-0.9779464790776917,-0.9772089868888638,-0.9761052555715787,-0.1749188058314374,-0.9782513735984837,-0.9779464790776922,0.9783646822527097,-0.6710930508271492,-0.9720790045751809,-0.9555301360693979,-0.9555301360693979,0.07184128392595929,-0.9720790045751809,0.9777617835653376,0.06722815461069173,0.0718412839259593,-0.9750267026580581,-0.9753860781751488,0.08493621195313325,0.9070558645432335,-0.9777364763383198,-0.9666773566741227,-0.9873052009614656,0.9767487790459837,-0.9601691273723295,-0.9893361206215748,-0.9933341184390472,-0.9939488876131501,-0.9911710812413763,-0.9918357267446479,0.9768232585002067,0.9764573972366463,-0.991607269995145,-0.8909952688901328,0.18211554574923028,-0.9835289975168725,0.048533671119605916
