datetime,ga_final_0000,ga_final_0001,ga_final_0002,ga_final_0003,ga_final_0004,ga_final_0005,ga_final_0006,ga_final_0007,ga_final_0008,ga_final_0009,ga_final_0010,ga_final_0011,ga_final_0012,ga_final_0013,ga_final_0014,ga_final_0015,ga_final_0016,ga_final_0017,ga_final_0018,ga_final_0019,ga_final_0020,ga_final_0021,ga_final_0022,ga_final_0023,ga_final_0024,ga_final_0025,ga_final_0026,ga_final_0027,ga_final_0028,ga_final_0029,ga_final_0030,ga_final_0031,ga_final_0032,ga_final_0033,ga_final_0034,ga_final_0035,ga_final_0036,ga_final_0037,ga_final_0038,ga_final_0039,ga_final_0040,ga_final_0041,ga_final_0042,ga_final_0043,ga_final_0044,ga_final_0045
2024-11-01,,,,,,,,,,,,,,,,,,,,,0.22631766179322796,,0.22631766179322796,0.226597743114264,,,,,,,,,,,,,-0.13443455278176808,-0.13443455278176808,-0.11713588041854163,-0.11713588041854163,-0.12887577891348106,-0.13648722436383723,-0.12887577891348106,,-0.11948116536663639,
2024-11-04,,,,,,,,,,,,,,,,,,,,,0.19413414752595903,,0.19413414752595903,0.19476173714316108,,,,,,,,,,,,,-0.11112311794312961,-0.11112311794312961,-0.10921607993958168,-0.10921607993958168,-0.10570958110883084,-0.10516765036993342,-0.10570958110883084,,-0.10290451192219954,
2024-11-05,,,,,,,,,,,,,,,,,,,,,0.12719417540033645,,0.12719417540033645,0.12688323059690473,,0.143582748483814,0.143582748483814,,,0.14810753648809938,0.14810753648809938,,,-0.13063069784772632,-0.13063069784772632,-0.13063069784772632,-0.12808545635979968,-0.12808545635979968,-0.1289549404231328,-0.1289549404231328,-0.12366872845989335,-0.12268546778932761,-0.12366872845989335,,-0.12271612003286639,
2024-11-06,,,,,,,,,,,,,,,,,,,,,0.07298640554354163,,0.07298640554354163,0.07292385597798606,,0.07364975180552441,0.07364975180552441,,,0.07910945070014595,0.07910945070014595,,,-0.14398308961336848,-0.14398308961336848,-0.14398308961336848,-0.1388535441273033,-0.1388535441273033,-0.14052039669125277,-0.14052039669125277,-0.13811478979387018,-0.13849979698696407,-0.13811478979387018,,-0.13793690513575674,
2024-11-07,,,,,,,,,,,,,,,,,,,,,0.11802121351912123,,0.11802121351912123,0.11797667916280583,,0.1418669895815187,0.1418669895815187,,,0.14353871417739536,0.14353871417739536,,-0.14745960546504722,-0.14499597397007877,-0.14499597397007877,-0.14499597397007877,-0.14235786345211002,-0.14235786345211002,-0.13852789346901428,-0.13852789346901428,-0.14196379370223566,-0.14169101567466685,-0.14196379370223566,,-0.13963319585791217,
2024-11-08,,,,,,,,,,,,,,,,,,,,,0.07965563736713745,,0.07965563736713745,0.0792212359572824,,0.06913518808666516,0.06913518808666516,,-0.16251301055743206,0.06698408000949813,0.06698408000949813,,-0.16902937780118857,-0.1647859728627388,-0.1647859728627388,-0.1647859728627388,-0.16118804457872551,-0.16118804457872551,-0.16590510452675983,-0.16590510452675983,-0.1580611807922747,-0.15647925024313575,-0.1580611807922747,,-0.15903415718477673,
2024-11-11,,,,,,,,,,,,,,,,,,,,,-0.06298541720108605,,-0.06298541720108605,-0.06265421147252874,,-0.06487682184396922,-0.06487682184396922,,-0.1426608477898626,-0.06100261955704576,-0.06100261955704576,,-0.13921614664525447,-0.13543129615722918,-0.13543129615722918,-0.13543129615722918,-0.13679250408604332,-0.13679250408604332,-0.1372318448922208,-0.1372318448922208,-0.13400184456120506,-0.1328964543192135,-0.13400184456120506,,-0.13356118166891764,
2024-11-12,,,,,,,,,,,,,,,,,,,,,-0.06084019514184017,,-0.06084019514184017,-0.061120437394465196,,-0.050679229764599966,-0.050679229764599966,,-0.22119723534614055,-0.05519724077626597,-0.05519724077626597,,-0.20903485757934503,-0.20775116159465912,-0.20775116159465912,-0.20775116159465912,-0.2096443728103817,-0.2096443728103817,-0.20798389651847873,-0.20798389651847873,-0.2090082870913183,-0.2090649516594301,-0.2090082870913183,,-0.20831113953757738,
2024-11-13,,,,,,,,,,,,,,,,,,,,,0.0036191262586044836,,0.0036191262586044836,0.003726869185257946,,-0.03691220745027041,-0.03691220745027041,,-0.19181017646884585,-0.04721131863955894,-0.04721131863955894,,-0.18151942251578776,-0.18265291507238457,-0.18265291507238457,-0.18265291507238457,-0.1831245246145612,-0.1831245246145612,-0.1848586098686414,-0.1848586098686414,-0.18112706996256242,-0.1798703215704257,-0.18112706996256242,,-0.1800649566071407,
2024-11-14,,,,,,,,,,,,,,,,,-0.19912168665421873,,,,0.05179594328676066,,0.05179594328676066,0.05197367736340263,,0.032038824878880594,0.032038824878880594,,-0.1936467507546985,0.001816069418846884,0.001816069418846884,0.08508665827137332,-0.18911061024654338,-0.19028670534923672,-0.19028670534923672,-0.19028670534923672,-0.19095861426709904,-0.19095861426709904,-0.18953516217742297,-0.18953516217742297,-0.18865998078381893,-0.18851712859088587,-0.18865998078381893,,-0.18638320204155037,
2024-11-15,0.1793212063834893,,,,,,,,,,,,,,,,-0.21582592727930375,,,,0.024150667468285238,,0.024150667468285238,0.024016598467497204,,0.037722802761617984,0.037722802761617984,0.027853945503189356,-0.20157931681699853,0.030158690323069826,0.030158690323069826,0.10408296941051225,-0.20776451376684246,-0.21077031632203697,-0.21077031632203697,-0.21077031632203697,-0.2114597817877801,-0.2114597817877801,-0.21078468713320508,-0.21078468713320508,-0.2095147486465977,-0.20937878210332095,-0.2095147486465977,,-0.20794627340529107,
2024-11-18,0.1869835304464288,,,,,,,,,,,,,,-0.21799439115312094,,-0.21215143655054589,,,,0.1768386220681075,,0.1768386220681075,0.17707492820230825,,0.20950910063032085,0.20950910063032085,0.15196162032697386,-0.19671162547954255,0.2151920896275603,0.2151920896275603,0.13750519821573562,-0.2004512601809851,-0.20907508445000772,-0.20907508445000772,-0.20907508445000772,-0.21194134413420704,-0.21194134413420704,-0.19496574555561286,-0.19496574555561286,-0.20679598316139325,-0.21001514558569223,-0.20679598316139325,,-0.19499856498694926,
2024-11-19,0.19405621935082307,,,,,,,,,,,,,,-0.2193515482598105,,-0.2135818072837874,,,,0.14237256099127563,,0.14237256099127563,0.14276798274539548,,0.1561100164683023,0.1561100164683023,0.1384701315064876,-0.19792291541837082,0.15814592445457923,0.15814592445457923,0.1648808664499226,-0.2037857574517754,-0.2091260726517099,-0.2091260726517099,-0.2091260726517099,-0.21020521408149156,-0.21020521408149156,-0.20650965270738614,-0.20650965270738614,-0.20521447704400458,-0.2023518631108198,-0.20521447704400458,,-0.20099839830260477,
2024-11-20,0.19080814415642564,,,,,,,,,,,,,,-0.21677764713626316,,-0.21626742606175312,,,,0.07803463021871616,,0.07803463021871616,0.07900490014017085,,0.07389315376426786,0.07389315376426786,0.08737404966205133,-0.2057735442074997,0.07894190889643628,0.07894190889643628,0.1124270210757039,-0.2137166473223572,-0.21442968189276218,-0.21442968189276218,-0.21442968189276218,-0.2096638664848246,-0.2096638664848246,-0.20960333066176787,-0.20960333066176787,-0.2048405675278194,-0.20338643412263943,-0.2048405675278194,,-0.20256699499687775,
2024-11-21,0.18529986010501714,,,,,,,,,,,,,,-0.18518741384205353,,-0.1830247558526469,,,,0.07569923593624406,,0.07569923593624406,0.07568293022822306,,0.07325449460883669,0.07325449460883669,0.07009368141940901,-0.17157235276325433,0.07953993883165722,0.07953993883165722,0.10373657749857278,-0.18217803806700655,-0.1814986175887969,-0.1814986175887969,-0.1814986175887969,-0.17292622356662668,-0.17292622356662668,-0.17271654372098977,-0.17271654372098977,-0.17170924107514768,-0.1703921674851683,-0.17170924107514768,,-0.16982403315001499,
2024-11-22,0.14816407923311797,,,,,,,,,,,,,,-0.17447660723085,,-0.17205395897837525,,,,0.02195128255652527,,0.02195128255652527,0.021961944281938112,,0.03195461397801196,0.03195461397801196,0.03176804234900559,-0.15535870811358954,0.034813241663303886,0.034813241663303886,0.053518795264919046,-0.16876150453291736,-0.16691753159944483,-0.16691753159944483,-0.16691753159944483,-0.16762076901845294,-0.16762076901845294,-0.1682394099098068,-0.1682394099098068,-0.1642220320187062,-0.16607548807949693,-0.1642220320187062,,-0.16472964334739965,
