generation,factor,expr_key,operation,parents,mutation_op,first_generation,fitness,rank_ic_mean,rank_ic_ir,depth,complexity,survived
1,ga_g001_0028,zscore_cs(returns),random_init,,,1,0.24820818905835718,0.0244814264444767,0.17916600083602452,2,2,False
1,ga_g001_0023,"ts_std[10](correlation[3](demean(low),open))",mutate,"ts_std[20](correlation[3](demean(low),open))",ts_std,1,0.2420180109692029,-0.016838668708546143,-0.3255356813020443,4,5,False
1,ga_g001_0019,"delta[10](covariance[3](vwap,open))",random_init,,,1,0.1811838995587985,0.009500767558410976,0.13152896292761454,3,4,False
1,ga_g001_0014,"ts_std[20](correlation[3](demean(low),open))",random_init,,,1,0.1718451289052244,-0.015856334573511325,-0.24460470904218098,4,5,False
1,ga_g001_0032,ts_rank[5](volume),random_init,,,1,0.1447519879058288,0.004818161183188103,0.0671424640105565,2,2,False
1,ga_g001_0008,"ts_std[20](correlation[3](demean(amount),open))",crossover,"ts_std[20](correlation[3](demean(low),open))|amount",,1,0.08157279399804288,0.0009374946785954394,0.023570273424363675,4,5,False
2,ga_g002_0008,ts_std[20](returns),crossover,"ts_std[20](correlation[3](demean(open),open))|returns",,2,1.1319134925504133,0.21079385132562964,1.6466751140639904,2,2,False
2,ga_g002_0007,"sub(zscore_cs(covariance[30](amount,close)),open)",crossover,"sub(returns,open)|zscore_cs(covariance[30](amount,close))",,2,1.1248962357140113,0.1489775080290814,1.9645264749665217,4,6,False
2,ga_g002_0000,"sub(returns,open)",random_inject,,,1,1.0832460420777552,0.12034824216791487,1.8688295370238537,2,3,False
2,ga_g002_0001,ts_min[20](open),random_init,,,2,1.053503487098601,-0.13916267742658353,-2.2315796269448636,2,2,False
2,ga_g002_0003,volume,random_init,,,2,1.0427031839889789,0.15111908586663125,1.5141118841736263,1,1,False
2,ga_g002_0002,delay[5](delay[3](vwap)),crossover+mutate,ts_std[10](rank(returns))|ts_rank[3](log_abs(low)),delay,1,1.03812197149961,-0.12611791351457824,-2.104897472490801,3,3,False
2,ga_g002_0004,ts_std[10](rank(returns)),random_init,,,2,1.0109407842197973,0.12360802731883971,1.5455480002060895,3,3,False
2,ga_g002_0025,ts_min[3](abs(scale(open))),crossover,ts_min[3](vwap)|abs(scale(open)),,2,0.9697909508036773,-0.1236111699707432,-1.945551685260875,4,4,False
