generation,n_valid,best_fitness,mean_fitness,best_factor
0,34,1.0588244442772117,0.6243283581620892,ga_g000_0037
1,50,1.085804915482199,0.5911664367935281,ga_g001_0051
2,56,1.0862637502807793,0.6313272094064387,ga_g002_0045
3,57,1.2055316542119672,0.7548496919588974,ga_g003_0064
4,46,1.2023921032407832,0.7886663344879501,ga_g004_0000
5,45,1.200907763793963,0.8577503144559938,ga_g005_0000
6,41,1.1996533596442593,0.858353431485784,ga_g006_0000
7,49,1.2028435828421005,0.790006711515602,ga_g007_0000
8,44,1.1994593603288748,0.8630125522246985,ga_g008_0000
