factor,auto_label,usage,ic_future,ic_past_5d,ic_risk,ic_stability,monotonicity,top_bottom_spread,ic_future_vol,ic_future_drawdown,ic_past_1d,ic_past_3d,ic_past_10d
ga_final_0006,trend,alpha_core,0.1570394451241269,0.07053227453764754,0.03934529052607817,1.0,0.75,0.0528469297073767,0.09382990935913131,-0.015139328306974963,0.032772545083380754,0.058934161666164206,0.09943402900786455
ga_final_0008,trend,alpha_core,0.14146863230324477,0.06667062812856221,0.024036261568421494,0.9946236559139785,0.75,0.04652514395724139,0.0733906617954701,-0.02531813865862711,0.027700524667322746,0.051512218782841075,0.09876826572035263
ga_final_0009,trend,alpha_core,0.13156331969086857,0.06990479584647606,0.0197470499487104,0.98989898989899,0.75,0.042017739436514615,0.06492723310893178,-0.02543313321151098,0.027889494385924387,0.05205287631927512,0.10782698634182004
ga_final_0032,trend,alpha_core,0.1489775080290814,0.0012764099415027525,0.04002041781163816,0.9896373056994818,0.75,0.0461344459012413,0.09358379831113507,-0.013542962687858755,0.02524061847153592,0.003389308301638455,0.014017197766073946
ga_final_0007,trend,alpha_core,0.12612651892587531,0.08786543020151165,-0.004091106336753504,0.9859154929577465,1.0,0.03717765451284552,0.036809934717568465,-0.044992147391075474,0.03631003293313594,0.06546769572648167,0.11350204200944917
ga_final_0019,trend,alpha_core,0.12255795839228117,0.023550906032306352,-0.019260700295680257,0.9773755656108597,1.0,0.035144159920046616,0.019501071808386946,-0.058022472399747456,0.04192493758124194,0.027335561222511094,0.021121519291523564
ga_final_0036,trend,alpha_core,0.12034824216791487,0.025534581810021603,-0.02255335802349239,0.9773755656108597,0.75,0.034305668562437525,0.015093912849053365,-0.060200628896038146,0.05571812286673167,0.03205833847504524,0.02032191495737892
ga_final_0044,trend,alpha_core,0.11871163394356882,0.013542445338513127,-0.025844214456746933,0.9773755656108597,0.75,0.033611638823202894,0.01092055308247184,-0.0626089819959657,0.03047782748268107,0.017027602415473648,0.011262378909624102
ga_final_0026,trend,alpha_core,0.11996101831546196,0.033929751874651116,-0.02166139575099011,0.9771689497716894,1.0,0.03389229151842747,0.016299989052023265,-0.05962278055400348,0.0428073127066848,0.04351897902896846,0.025156101862232418
ga_final_0043,trend,alpha_core,0.11877056354498515,0.03187655232278816,-0.024050416380816765,0.9771689497716894,0.75,0.03363809646481003,0.013312692629540582,-0.06141352539117411,0.042465871486066564,0.04255406964089186,0.022458073735439097
ga_final_0027,trend,alpha_core,0.19643481861087364,0.02137501641380594,0.28683516197996106,0.9476190476190476,1.0,0.0617082589557076,0.3824262495661696,0.19124407439375257,-0.05655352064202082,-0.035923937987716544,0.20030718494691171
ga_final_0047,trend,alpha_core,0.15111908586663125,0.22126626750846506,0.2788722999481449,0.9459459459459459,1.0,0.05272341290185362,0.3555765809506195,0.20216801894567027,0.07511214245595914,0.18042278917920138,0.27675519445256147
ga_final_0031,trend,alpha_core,0.21079802911551188,0.018875750285751912,0.30017520196936,0.9356435643564357,1.0,0.06621463819348469,0.40260890920674214,0.19774149473197777,-0.038654712874738005,-0.01244488306413748,0.10779820937279151
ga_final_0024,trend,alpha_core,0.21079385132562964,0.018873245525410618,0.30017517329229587,0.9356435643564357,1.0,0.06621463819348469,0.4026071430114233,0.19774320357316846,-0.03865802377289973,-0.012447430667390062,0.10779292606511089
