datetime,ga_final_0000,ga_final_0001,ga_final_0002,ga_final_0003,ga_final_0004,ga_final_0005,ga_final_0006,ga_final_0007,ga_final_0008,ga_final_0009,ga_final_0010,ga_final_0011,ga_final_0012,ga_final_0013,ga_final_0014,ga_final_0015,ga_final_0016,ga_final_0017,ga_final_0018,ga_final_0019,ga_final_0020,ga_final_0021,ga_final_0022,ga_final_0023,ga_final_0024,ga_final_0025,ga_final_0026,ga_final_0027,ga_final_0028,ga_final_0029,ga_final_0030,ga_final_0031,ga_final_0032,ga_final_0033,ga_final_0034,ga_final_0035,ga_final_0036,ga_final_0037,ga_final_0038,ga_final_0039,ga_final_0040,ga_final_0041,ga_final_0042,ga_final_0043,ga_final_0044,ga_final_0045,ga_final_0046,ga_final_0047,ga_final_0048,ga_final_0049
2024-11-01,,,,,,,,,,,,,,,,,,,,,-0.2366037591291073,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22631766179322796,,
2024-11-04,,,,,,,,,,,,,,,,,,,,0.11319491448119676,-0.2029284904362589,,,,,,,,,,,,,,,,0.11121222898972671,,,,,,,,0.10803931817009776,,,0.19413414752595903,,
2024-11-05,,,,,,,,,,,,,,,,,,,,0.13138087535424245,-0.16271455063745924,,,,,,,,,,,,,,,,0.1320875203790096,,,,,,,,0.1269573218043812,,,0.12719417540033645,,
2024-11-06,,,,,,,,,,,,,,,,,,,,0.14083796596745804,-0.11491390925105568,,,,,,0.1404075925761951,,,,,,,,,,0.14229203674060004,,,,,,,0.14084897995356419,0.13946128890999354,,,0.07298640554354163,,
2024-11-07,,,,,,,,,,,,,,,,,,,,0.1421966164905929,-0.17042888355695815,,,,,,0.13998872455327727,,,,,,,,,,0.13852583767465548,,,,,,,0.13893522915501527,0.141842750970422,,,0.11802121351912123,,
2024-11-08,,,,,,,,,,,,,,,,,,,,0.16532269414197012,-0.14687282787837697,,,,,,0.16583559747481177,,,,,,,,,,0.17021574840879022,,,,,,,0.1667059904266832,0.1621636779260954,,,0.07965563736713745,,
2024-11-11,,,,,,,,,,,,,,,,,,,,0.13743088518020735,-0.035186188802991604,,,,,,0.13567516706774518,,,,,,,,,,0.13815335170917906,,,,,,,0.13578433842231075,0.1346688343493901,,,-0.06298541720108605,,
2024-11-12,,,,,,,,,,,,,,,,,,,,0.20803265376563093,-0.06902706653306655,,,,,,0.20644152129051582,,,,,,,,,,0.2063954336354684,,,,,,,0.2059721468875182,0.20730170213971547,,,-0.06084019514184017,,
2024-11-13,,,,,,,,,,,,,,,,,,,,0.1852169378510983,-0.10748906524356056,,,,,,0.18358345823884722,,,,,,,,,,0.18691860398076707,,,,,,,0.18265664097623271,0.18283244194109038,,,0.0036191262586044836,-0.19271247441531578,
2024-11-14,,,,,,,,0.20363911162981294,,,,,,,,,,,,0.1905048209693396,-0.1499159178555648,,,,,,0.18919471014632952,,,,,,,,,,0.18962571896519367,,,,,,,0.18833810641112733,0.1887170071942093,,,0.05179594328676066,-0.20265888176533467,
2024-11-15,,,,,,,,0.21487785264065237,,,,,,,,,,,,0.21293030528491558,-0.1271842000930725,,,,,,0.2076649241237655,,,,,,,,,,0.21202137624548034,,,,,,,0.2066218721430906,0.21048785992657532,,,0.024150667468285238,-0.21359576416457157,
2024-11-18,,,,,,,,0.20464528843014707,,,,,,,,,,,,0.20774416815743568,-0.25248779692636963,,,,,,0.19450161306556152,,,,,,,,,,0.19091574362929856,,,,,,,0.19246211651967607,0.20248513247572947,,,0.1768386220681075,-0.20232889057265308,
2024-11-19,,,,,,,,0.20555460702896514,,,,,,,,,,,,0.21115871538778894,-0.22427390972143993,,,,,,0.19740761802625498,0.19861952008321762,,,,,,,,,0.20727772364177927,,,,,,,0.19478157026593118,0.20618503858781423,,,0.14237256099127563,-0.2026458242088832,
2024-11-20,,,,,,,,0.20332904378680478,,,,,,,,,,,,0.2145120427018694,-0.1642464632436422,,,,,,0.21263903585560417,0.15974705820415233,,,,,,,,,0.21469241429057573,,,,,,,0.2080892862329835,0.20945384656575772,,,0.07803463021871616,-0.203979710367196,
2024-11-21,,,,,,,,0.17213277044679412,,,,,,,,,,,,0.17467511616920992,-0.13718316066013753,,,,,,0.1760013876094432,0.1418961177771865,,,,,,,,,0.17408222858692857,,,,,,,0.17458209659058174,0.17293873736043802,,,0.07569923593624406,-0.1725674674460049,
2024-11-22,,,,,,,,0.1593594110327879,,,,,,,,,,,,0.16804026389766108,-0.09521661233244665,,,,,,0.16693155008731836,0.11893089316907512,,,,,,,,,0.16840839746490127,,,,,,,0.16751468707266634,0.1648833257253965,,,0.02195128255652527,-0.1574272368435175,
2024-11-25,,,,,,,,0.08220457481396705,,,,,,,,,,,,0.0988267869112906,-0.08283736769846108,,,,,,0.09699675173993971,0.14006990719460088,,,,,,,,,0.09429926388916982,,,,,,,0.09678334342548002,0.09757343228007777,,,0.05127408396834673,-0.08189629199872753,
2024-11-26,,,,,,,,0.07270563822931844,,,,,,,,,,,,0.08215460794953207,-0.17845172158099612,,,,,,0.08105713852467941,0.24599057494257995,,,,,,,,,0.07799500158007264,,,,,,,0.07994033526312894,0.07703624715444593,,,0.17016019616323752,-0.0724541047536785,
