factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate,abs_rank_ic_mean,abs_rank_ic_ir,selected,drop_reason
ga_final_0000,-0.1329607378030537,0.03188402720534966,-4.170136254956678,-0.16055225768327377,0.053655443341578755,-2.992282752397992,0.0,0.16055225768327377,2.992282752397992,True,
ga_final_0002,-0.1329607378030537,0.03188402720534966,-4.170136254956678,-0.16055225768327377,0.053655443341578755,-2.992282752397992,0.0,0.16055225768327377,2.992282752397992,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0001,-0.1329607378030537,0.03188402720534966,-4.170136254956678,-0.16055225768327377,0.053655443341578755,-2.992282752397992,0.0,0.16055225768327377,2.992282752397992,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0003,-0.13693287475546012,0.03343448600396573,-4.095557943950992,-0.1679279558125919,0.0565969471938372,-2.9670850485532454,0.0,0.1679279558125919,2.9670850485532454,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0004,-0.13390284712445905,0.03295098839578111,-4.063697438029001,-0.16320906742819513,0.055146522104010144,-2.9595532265910003,0.0,0.16320906742819513,2.9595532265910003,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0005,-0.13078470895381591,0.032996970227545046,-3.9635368960220507,-0.15881508733884198,0.05498820763851695,-2.888166284358005,0.0,0.15881508733884198,2.888166284358005,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0016,-0.1541957839851432,0.04689374847352135,-3.2881948874743965,-0.1775375260064536,0.07329945440243633,-2.4220852317906556,0.0,0.1775375260064536,2.4220852317906556,True,
ga_final_0015,-0.13062552751712073,0.04012621183692448,-3.2553665431461933,-0.1593357141979532,0.06595307633125679,-2.4158951039322494,0.0,0.1593357141979532,2.4158951039322494,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0010,-0.1288525867846957,0.04081844391822711,-3.1567246179896076,-0.15776500075213795,0.06532975934889618,-2.414902524125149,0.0,0.15776500075213795,2.414902524125149,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0011,-0.1288525867846957,0.04081844391822711,-3.1567246179896076,-0.15776500075213795,0.06532975934889618,-2.414902524125149,0.0,0.15776500075213795,2.414902524125149,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0012,-0.1288525867846957,0.04081844391822711,-3.1567246179896076,-0.15776500075213795,0.06532975934889618,-2.414902524125149,0.0,0.15776500075213795,2.414902524125149,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
