factor,function,path,expression
ga_final_0000,compute_ga_1779326522_001,D:\pythonProject\sdufe-qlib\source\factors\custom\compute_ga_1779326522_001.py,ts_min[60](ts_min[10](ts_min[60](open)))
ga_final_0016,compute_ga_1779326522_002,D:\pythonProject\sdufe-qlib\source\factors\custom\compute_ga_1779326522_002.py,ts_min[60](ts_min[10](ts_min[60](returns)))
ga_final_0027,compute_ga_1779326522_003,D:\pythonProject\sdufe-qlib\source\factors\custom\compute_ga_1779326522_003.py,ts_min[3](ts_std[10](returns))
ga_final_0047,compute_ga_1779326522_004,D:\pythonProject\sdufe-qlib\source\factors\custom\compute_ga_1779326522_004.py,volume
