generation,factor,expr_key,operation,parents,mutation_op,first_generation,fitness,rank_ic_mean,rank_ic_ir,depth,complexity,survived
0,ga_g000_0037,ts_min[20](open),random_init,,,0,1.0588244442772117,-0.13916267742658353,-2.2315796269448636,2,2,False
0,ga_g000_0055,ts_min[10](open),random_init,,,0,1.0572021973891321,-0.13256457999934135,-2.1198766271005143,2,2,False
0,ga_g000_0017,volume,random_init,,,0,1.0377612817409014,0.15111908586663125,1.5141118841736263,1,1,False
0,ga_g000_0075,ts_mean[3](log_abs(volume)),random_init,,,0,1.0237114068225466,0.15301256519616907,1.4884600849184562,3,3,False
0,ga_g000_0004,ts_std[10](rank(returns)),random_init,,,0,1.009645294235402,0.12360802731883971,1.5455480002060895,3,3,False
0,ga_g000_0048,ts_min[3](vwap),random_init,,,0,0.9115123068320461,-0.12305313049882356,-1.9029814911745626,2,2,False
0,ga_g000_0013,low,random_init,,,0,0.9032153590624384,-0.1216946911884688,-1.8781254734849613,1,1,False
0,ga_g000_0070,scale(low),random_init,,,0,0.9012153590624384,-0.1216946911884688,-1.8781254734849613,2,2,False
0,ga_g000_0028,open,random_init,,,0,0.8919004752320924,-0.11944953630409957,-1.8536579023719182,1,1,False
0,ga_g000_0026,vwap,random_init,,,0,0.875002887694809,-0.11784377028777354,-1.8128440134174262,1,1,False
0,ga_g000_0005,close,random_init,,,0,0.8718729854357823,-0.1176817686714828,-1.805546477401925,1,1,False
0,ga_g000_0058,"min(vwap,amount)",random_init,,,0,0.871002887694809,-0.11784377028777354,-1.8128440134174262,2,3,False
0,ga_g000_0061,"zscore_cs(correlation[30](low,max(open,-0.5)))",random_init,,,0,0.8596800809618835,0.09659633798761041,1.2986978373101208,4,6,False
0,ga_g000_0046,high,random_init,,,0,0.8535685091043747,-0.11477891947661212,-1.7627850898831834,1,1,False
0,ga_g000_0029,"covariance[60](log_abs(scale(amount)),rank(low))",random_init,,,0,0.7450154940808014,0.07646635105922445,1.1069589801254889,4,6,False
0,ga_g000_0062,"ts_rank[60](mul(add(high,returns),close))",random_init,,,0,0.7405472576868672,0.1072374075072108,1.0344335086978318,4,6,False
0,ga_g000_0011,"rank(covariance[30](high,scale(volume)))",random_init,,,0,0.6679402467627756,0.09043892063443353,0.9854325215242676,4,5,False
0,ga_g000_0034,"covariance[30](amount,close)",random_init,,,0,0.6196251099558103,0.08011062481964144,0.7837273806487021,2,3,False
0,ga_g000_0024,amount,random_init,,,0,0.5404786557186009,0.0709708021485389,0.643295252632197,1,1,False
