,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,822373.7485524379
Total Return [%],-17.76262514475622
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000288
Total Fees Paid,0.0
Max Drawdown [%],25.43283800645601
Max Drawdown Duration,327 days 00:00:00
Total Trades,38488
Total Closed Trades,38228
Total Open Trades,260
Open Trade PnL,-14160.51348616747
Win Rate [%],52.62896306372292
Best Trade [%],156.20938593598999
Worst Trade [%],-38.214457296751
Avg Winning Trade [%],13.93892300423337
Avg Losing Trade [%],-8.51105944686457
Avg Winning Trade Duration,27 days 22:20:35.011680501
Avg Losing Trade Duration,23 days 06:06:33.161825726
Profit Factor,0.7558470088429889
Expectancy,-4.309018066254417
Sharpe Ratio,-0.5136955416214659
Calmar Ratio,-0.7089642307860025
Omega Ratio,0.9262048961535315
Sortino Ratio,-0.650765981437284
