datetime,ga_final_0000,ga_final_0001
2026-03-02,-0.2659929474558341,-0.2660693758895884
2026-03-03,0.09950747508334529,0.09649971396203982
2026-03-04,0.02415348004747882,0.023512518443519814
2026-03-05,-0.07309319155618321,-0.07431212634028281
2026-03-06,-0.09991343250409848,-0.09879497194400054
2026-03-09,0.137897766451554,0.14235567826008458
2026-03-10,-0.2058253774599591,-0.2059898396882925
2026-03-11,-0.18793926004429654,-0.18317232193075594
2026-03-12,-0.10563202262640875,-0.10801873833731555
2026-03-13,0.015593634708922437,0.014308958392279634
2026-03-16,-0.15299632721761314,-0.1555252160264133
2026-03-17,0.12365606235133497,0.12301458636580903
2026-03-18,-0.19212183143175676,-0.1929211991741082
2026-03-19,0.01895169810546252,0.019062453916203953
2026-03-20,-0.00825731181585969,-0.005140581375559708
2026-03-23,-0.0898042708299194,-0.08997760286534605
2026-03-24,0.14018697242172104,0.1411192792950592
2026-03-25,-0.021472387650069147,-0.019636290535190778
2026-03-26,0.08672936183230162,0.08649363164344635
2026-03-27,0.09395531587638756,0.0930797769138082
2026-03-30,-0.03979517040925406,-0.038933109563153566
2026-03-31,0.19771080465680868,0.19711039798241875
2026-04-01,-0.018168538425467676,-0.01848833032068937
2026-04-02,0.11472602461312179,0.11468866601711425
2026-04-03,-0.04331234594012059,-0.04431423594547556
2026-04-07,0.09286235104491494,0.09151833107902559
2026-04-08,0.1470498261297514,0.14658722920008257
2026-04-09,0.05308965392452461,0.05365100204233172
2026-04-10,-0.026717777044688466,-0.024269362645877084
