signal,annual_return,sharpe,max_drawdown,excess_return,ic_periods
score_equal_weight,-0.3419061440868838,-5.578442861815153,-0.014322467200338833,-0.7471896270807179,8
score_ic_weighted,-0.3419061440868838,-5.578442861815153,-0.014322467200338833,-0.7471896270807179,8
score_rule_based,-0.36253310517559345,-6.018769596949932,-0.015318443393665428,-0.778991200302195,8
