factor,function,path,expression
ga_final_0000,compute_ga_smoke_1779439841_001,D:\pythonProject\数据源\src\主升浪\factors\custom\compute_ga_smoke_1779439841_001.py,low
ga_final_0001,compute_ga_smoke_1779439841_002,D:\pythonProject\数据源\src\主升浪\factors\custom\compute_ga_smoke_1779439841_002.py,close
